cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,4.8,1766868118399
0,5.2,1766868119906
0,5.0,1766868121285
0,5.1,1766868122672
0,5.1,1766868124068
0,5.1,1766868125454
0,5.1,1766868126839
0,5.0,1766868128293
0,5.1,1766868129670
0,5.1,1766868131110
0,5.1,1766868132510
0,5.1,1766868134038
0,5.1,1766868135452
0,5.0,1766868136834
0,5.1,1766868138225
0,5.0,1766868139606
0,5.1,1766868141018
0,5.1,1766868142420
0,5.0,1766868143822
0,5.1,1766868145271
0,5.1,1766868146655
0,5.1,1766868148012
0,5.1,1766868149384
0,5.1,1766868150802
0,5.0,1766868152324
0,5.2,1766868153711
0,5.1,1766868155118
0,5.0,1766868156512
0,5.0,1766868157914
0,5.1,1766868159291
0,5.5,1766868160665
0,5.1,1766868162065
0,5.0,1766868163543
0,5.2,1766868164914
0,5.0,1766868166327
0,4.9,1766868167719
0,5.1,1766868169179
0,5.0,1766868170564
0,5.1,1766868171954
0,5.2,1766868173314
0,5.0,1766868174696
0,5.2,1766868176059
0,5.0,1766868177433
0,5.1,1766868178813
0,5.0,1766868180207
0,5.0,1766868181661
0,5.1,1766868183031
0,5.1,1766868184464
0,5.2,1766868185835
0,5.1,1766868187281
0,5.0,1766868188646
0,5.0,1766868190017
0,5.1,1766868191404
0,5.1,1766868192764
0,5.0,1766868194117
0,5.1,1766868195511
0,5.0,1766868196863
0,5.1,1766868198290
0,5.0,1766868199664
0,5.1,1766868201046
0,5.2,1766868202459
0,5.2,1766868203848
0,5.0,1766868205386
0,5.1,1766868206755
0,5.1,1766868208103
0,5.2,1766868209467
0,5.1,1766868210860
0,5.1,1766868212247
0,5.1,1766868213641
0,5.2,1766868215032
0,5.1,1766868216502
0,5.1,1766868217892
0,5.0,1766868219283
0,5.7,1766868220674
0,5.0,1766868222096
0,5.2,1766868223591
0,5.2,1766868224973
0,5.1,1766868226357
0,5.1,1766868227724
0,5.1,1766868229084
0,5.0,1766868230468
0,5.3,1766868231862
0,4.9,1766868233309
0,5.1,1766868234795
0,5.1,1766868236169
0,5.1,1766868237582
0,5.1,1766868238976
0,5.1,1766868240530
0,4.2,1766868241949
0,5.0,1766868243317
0,5.2,1766868244687
0,5.1,1766868246095
0,5.2,1766868247490
0,5.1,1766868248860
0,5.2,1766868250196
0,5.3,1766868251579
0,4.4,1766868253046
0,3.9,1766868254410
0,3.9,1766868255802
0,3.9,1766868257159
0,4.0,1766868258653
0,4.1,1766868260023
0,4.0,1766868261395
0,4.0,1766868262792
0,4.0,1766868264166
0,4.0,1766868265515
0,3.9,1766868266860
0,4.0,1766868268237
0,3.9,1766868269708
0,4.0,1766868271059
0,3.9,1766868272453
0,4.1,1766868273849
0,4.0,1766868275256
0,4.1,1766868276686
0,4.0,1766868278032
0,4.1,1766868279415
0,4.3,1766868280797
0,4.1,1766868281170
