gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,31.0,1766868118474
0,32.0,1766868119981
0,31.0,1766868121360
0,32.0,1766868122746
0,32.0,1766868124141
0,32.0,1766868125527
0,31.0,1766868126914
0,32.0,1766868128366
0,32.0,1766868129744
0,32.0,1766868131184
0,32.0,1766868132585
0,32.0,1766868134112
0,32.0,1766868135526
0,32.0,1766868136909
0,32.0,1766868138301
0,32.0,1766868139680
0,32.0,1766868141092
0,32.0,1766868142495
0,32.0,1766868143896
0,32.0,1766868145345
0,32.0,1766868146730
0,32.0,1766868148086
0,32.0,1766868149459
0,32.0,1766868150875
0,32.0,1766868152398
0,32.0,1766868153785
0,32.0,1766868155194
0,32.0,1766868156586
0,32.0,1766868157989
0,32.0,1766868159365
0,31.0,1766868160738
0,32.0,1766868162140
0,31.0,1766868163617
0,32.0,1766868164988
0,32.0,1766868166403
0,32.0,1766868167795
0,32.0,1766868169255
0,32.0,1766868170638
0,32.0,1766868172028
0,32.0,1766868173388
0,32.0,1766868174769
0,32.0,1766868176133
0,32.0,1766868177506
0,32.0,1766868178888
0,32.0,1766868180283
0,32.0,1766868181737
0,32.0,1766868183106
0,31.0,1766868184538
0,32.0,1766868185910
0,32.0,1766868187355
0,32.0,1766868188719
0,31.0,1766868190091
0,32.0,1766868191478
0,32.0,1766868192839
0,32.0,1766868194191
0,32.0,1766868195585
0,32.0,1766868196936
0,32.0,1766868198365
0,32.0,1766868199739
0,32.0,1766868201120
0,31.0,1766868202534
0,31.0,1766868203924
0,32.0,1766868205460
0,32.0,1766868206830
0,32.0,1766868208177
0,32.0,1766868209541
0,32.0,1766868210934
0,32.0,1766868212321
0,32.0,1766868213716
0,32.0,1766868215106
0,31.0,1766868216577
0,32.0,1766868217967
0,32.0,1766868219358
0,32.0,1766868220748
0,32.0,1766868222172
0,32.0,1766868223666
0,32.0,1766868225047
0,32.0,1766868226432
0,32.0,1766868227797
0,32.0,1766868229161
0,32.0,1766868230542
0,32.0,1766868231939
0,32.0,1766868233383
0,32.0,1766868234869
0,32.0,1766868236244
0,31.0,1766868237663
0,31.0,1766868239052
0,31.0,1766868240611
0,32.0,1766868242026
0,32.0,1766868243392
0,31.0,1766868244760
0,32.0,1766868246172
0,32.0,1766868247565
0,32.0,1766868248934
0,32.0,1766868250272
0,32.0,1766868251654
0,32.0,1766868253120
0,31.0,1766868254484
0,32.0,1766868255877
0,31.0,1766868257239
0,32.0,1766868258727
0,32.0,1766868260096
0,32.0,1766868261475
0,32.0,1766868262867
0,31.0,1766868264246
0,32.0,1766868265591
0,31.0,1766868266935
0,31.0,1766868268312
0,32.0,1766868269785
0,31.0,1766868271136
0,32.0,1766868272528
0,32.0,1766868273929
0,32.0,1766868275333
0,31.0,1766868276761
0,32.0,1766868278113
0,31.0,1766868279495
0,32.0,1766868280870
0,32.0,1766868281249
