gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.02,1766868008570
0,0.02,1766868010321
0,0.0,1766868011879
0,0.02,1766868013479
0,0.02,1766868015114
0,0.07,1766868016781
0,0.06,1766868018532
0,0.05,1766868020187
0,0.0,1766868021871
0,0.02,1766868023606
0,0.05,1766868025320
0,0.05,1766868026962
0,0.02,1766868028677
0,0.02,1766868030412
0,0.02,1766868032370
0,0.02,1766868034034
0,0.05,1766868035628
0,0.01,1766868037263
0,0.05,1766868038906
0,0.05,1766868040526
0,0.02,1766868042204
0,0.05,1766868043804
0,0.05,1766868045407
0,0.05,1766868047008
0,0.02,1766868048650
0,0.05,1766868050370
0,0.02,1766868052034
0,0.05,1766868053671
0,0.07,1766868055391
0,0.05,1766868056989
0,0.02,1766868058734
0,0.05,1766868060582
0,0.05,1766868062207
0,0.02,1766868063907
0,0.04,1766868065566
0,0.05,1766868067215
0,0.02,1766868068857
0,0.07,1766868070486
0,0.04,1766868072145
0,0.02,1766868073768
0,0.02,1766868075496
0,0.02,1766868077091
0,0.05,1766868078784
0,0.05,1766868080416
0,0.02,1766868082139
0,0.07,1766868083802
0,0.05,1766868085414
0,0.02,1766868087145
0,0.05,1766868088789
0,0.02,1766868090424
0,0.05,1766868092043
0,0.02,1766868093682
0,0.07,1766868095297
0,0.02,1766868096967
0,0.05,1766868098606
0,0.01,1766868100261
0,0.05,1766868101859
0,0.02,1766868103447
0,0.07,1766868104568
