gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,32.0,1766867826981
0,32.0,1766867827404
0,32.0,1766867827703
0,32.0,1766867828021
0,31.0,1766867828375
0,32.0,1766867828746
0,32.0,1766867829113
0,31.0,1766867829516
0,32.0,1766867829914
0,32.0,1766867830266
0,31.0,1766867830626
0,31.0,1766867831003
0,32.0,1766867831364
0,32.0,1766867831707
0,32.0,1766867832075
0,32.0,1766867832449
0,32.0,1766867832795
0,32.0,1766867833158
0,32.0,1766867833501
0,32.0,1766867833898
0,31.0,1766867834266
0,32.0,1766867834619
0,32.0,1766867834966
0,32.0,1766867835325
0,32.0,1766867835711
0,32.0,1766867836081
0,32.0,1766867836426
0,32.0,1766867836772
0,32.0,1766867837121
0,32.0,1766867837511
0,32.0,1766867837878
0,32.0,1766867838250
0,32.0,1766867838611
0,32.0,1766867838978
0,32.0,1766867839338
0,32.0,1766867839729
0,32.0,1766867840077
0,32.0,1766867840464
0,32.0,1766867840827
0,32.0,1766867841197
0,32.0,1766867841560
0,32.0,1766867841920
0,32.0,1766867842263
0,32.0,1766867842647
0,32.0,1766867842998
0,32.0,1766867843342
0,32.0,1766867843720
0,32.0,1766867844075
0,32.0,1766867844432
0,32.0,1766867844775
0,32.0,1766867845123
0,32.0,1766867845464
0,32.0,1766867845810
0,32.0,1766867846171
0,32.0,1766867846522
0,32.0,1766867846882
0,32.0,1766867847211
0,32.0,1766867847557
0,32.0,1766867847917
0,32.0,1766867848253
0,32.0,1766867848603
0,32.0,1766867848957
0,32.0,1766867849353
0,32.0,1766867849723
0,32.0,1766867850089
0,32.0,1766867850435
0,32.0,1766867850818
0,32.0,1766867851190
0,32.0,1766867851557
0,32.0,1766867851909
0,31.0,1766867852270
0,31.0,1766867852634
0,31.0,1766867853001
0,31.0,1766867853377
0,31.0,1766867853712
0,32.0,1766867854048
0,31.0,1766867854412
0,31.0,1766867854760
0,31.0,1766867855107
0,31.0,1766867855472
0,31.0,1766867855804
0,31.0,1766867856134
0,31.0,1766867856475
0,31.0,1766867856815
0,31.0,1766867857144
0,31.0,1766867857494
0,31.0,1766867857916
0,30.0,1766867858263
0,30.0,1766867858614
0,30.0,1766867858965
0,30.0,1766867859308
0,30.0,1766867859666
0,30.0,1766867860048
0,30.0,1766867860414
0,30.0,1766867860775
0,30.0,1766867861153
0,30.0,1766867861510
0,30.0,1766867861853
0,30.0,1766867862317
0,31.0,1766867862666
0,31.0,1766867863037
0,31.0,1766867863403
0,31.0,1766867863758
0,31.0,1766867864124
0,31.0,1766867864447
0,31.0,1766867864776
0,31.0,1766867865144
0,31.0,1766867865499
0,31.0,1766867865844
0,31.0,1766867866195
0,31.0,1766867866540
0,31.0,1766867866903
0,31.0,1766867867246
0,31.0,1766867867606
0,31.0,1766867867981
0,31.0,1766867868354
0,32.0,1766867868695
0,31.0,1766867869043
0,32.0,1766867869404
0,31.0,1766867869764
0,31.0,1766867870111
0,31.0,1766867870468
0,31.0,1766867870852
0,31.0,1766867871211
0,31.0,1766867871559
0,31.0,1766867871901
0,31.0,1766867872264
0,32.0,1766867872608
0,31.0,1766867872967
0,32.0,1766867873321
0,32.0,1766867873693
0,31.0,1766867874060
0,32.0,1766867874439
0,32.0,1766867874815
0,32.0,1766867875183
0,32.0,1766867875564
0,31.0,1766867875915
0,31.0,1766867876302
0,32.0,1766867876825
0,32.0,1766867877171
0,31.0,1766867877528
0,32.0,1766867877907
0,32.0,1766867878265
0,31.0,1766867878619
0,32.0,1766867878969
0,31.0,1766867879329
0,32.0,1766867879675
0,31.0,1766867880028
0,31.0,1766867880397
0,32.0,1766867880738
0,32.0,1766867881081
0,31.0,1766867881432
0,32.0,1766867881801
0,31.0,1766867882176
0,32.0,1766867882536
0,32.0,1766867882896
0,31.0,1766867883286
0,32.0,1766867883675
0,32.0,1766867884023
0,32.0,1766867884369
0,32.0,1766867884725
0,31.0,1766867885067
0,32.0,1766867885435
0,32.0,1766867885793
0,31.0,1766867886164
0,32.0,1766867886530
0,32.0,1766867886891
0,32.0,1766867887268
0,32.0,1766867887609
0,32.0,1766867887953
0,32.0,1766867888292
0,32.0,1766867888673
0,32.0,1766867889018
0,32.0,1766867889377
0,32.0,1766867889738
0,32.0,1766867890082
0,32.0,1766867890442
0,32.0,1766867890821
0,32.0,1766867891185
0,32.0,1766867891550
0,32.0,1766867891897
0,32.0,1766867892258
0,32.0,1766867892606
0,32.0,1766867892953
0,32.0,1766867893339
0,32.0,1766867893686
0,32.0,1766867894047
0,32.0,1766867894411
0,32.0,1766867894777
0,32.0,1766867895110
0,32.0,1766867895447
0,32.0,1766867895776
0,32.0,1766867896107
0,32.0,1766867896454
0,32.0,1766867896784
0,33.0,1766867897113
0,32.0,1766867897445
0,32.0,1766867897805
0,32.0,1766867898149
0,32.0,1766867898481
0,33.0,1766867898812
0,32.0,1766867899159
0,32.0,1766867899505
0,32.0,1766867899848
0,32.0,1766867900177
0,32.0,1766867900506
0,32.0,1766867900850
0,32.0,1766867901211
0,32.0,1766867901595
0,32.0,1766867901940
0,32.0,1766867902325
0,32.0,1766867902650
0,32.0,1766867902979
0,32.0,1766867903343
0,32.0,1766867903709
0,32.0,1766867904049
0,32.0,1766867904396
0,32.0,1766867904762
0,32.0,1766867905198
0,32.0,1766867905548
0,32.0,1766867905896
0,32.0,1766867906256
0,32.0,1766867906605
0,32.0,1766867906945
0,32.0,1766867907283
0,32.0,1766867907632
0,32.0,1766867907952
0,32.0,1766867908294
0,32.0,1766867908639
0,32.0,1766867908984
0,32.0,1766867909328
0,32.0,1766867909689
0,32.0,1766867910043
0,32.0,1766867910396
0,32.0,1766867910737
0,32.0,1766867911071
0,32.0,1766867911486
0,32.0,1766867911832
0,32.0,1766867912213
0,32.0,1766867912539
0,32.0,1766867912904
0,32.0,1766867913248
0,32.0,1766867913603
0,32.0,1766867913946
0,32.0,1766867914306
0,32.0,1766867914628
0,32.0,1766867914952
0,32.0,1766867915309
0,32.0,1766867915633
0,32.0,1766867915976
0,32.0,1766867916326
0,32.0,1766867916672
0,32.0,1766867917022
0,32.0,1766867917367
0,32.0,1766867917740
0,32.0,1766867918100
0,32.0,1766867918461
0,32.0,1766867918803
0,32.0,1766867919166
0,32.0,1766867919537
0,32.0,1766867919883
0,32.0,1766867920221
0,32.0,1766867920548
0,33.0,1766867920887
0,32.0,1766867921239
0,32.0,1766867921580
0,32.0,1766867921959
0,32.0,1766867922315
