memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,2.6,1766867863077
0,2.7,1766867863681
0,2.7,1766867864231
0,2.7,1766867864755
0,2.7,1766867865299
0,2.7,1766867865840
0,2.7,1766867866402
0,2.7,1766867866953
0,2.7,1766867867511
0,2.7,1766867868089
0,2.7,1766867868641
0,2.7,1766867869212
0,2.7,1766867869814
0,2.7,1766867870362
0,2.7,1766867870917
0,2.7,1766867871445
0,2.7,1766867871980
0,2.7,1766867872557
0,2.7,1766867873089
0,2.7,1766867873650
0,2.6,1766867874226
0,2.7,1766867874781
0,2.6,1766867875368
0,2.7,1766867875958
0,2.7,1766867876511
0,2.7,1766867877073
0,2.6,1766867877659
0,2.7,1766867878218
0,2.7,1766867878787
0,2.7,1766867879374
0,2.7,1766867879948
0,2.7,1766867880517
0,2.7,1766867881064
0,2.7,1766867881637
0,2.7,1766867882212
0,2.7,1766867882783
0,2.7,1766867883334
0,2.7,1766867883912
0,2.7,1766867884486
0,2.7,1766867885077
0,2.7,1766867885649
0,2.7,1766867886225
0,2.7,1766867886800
0,2.7,1766867887450
0,2.7,1766867888009
0,2.7,1766867888564
0,2.7,1766867889132
0,2.7,1766867889685
0,2.7,1766867890245
0,2.7,1766867890816
0,2.7,1766867891382
0,2.7,1766867891970
0,2.7,1766867892518
0,2.7,1766867893098
0,2.7,1766867893663
0,2.7,1766867894245
0,2.6,1766867894773
0,2.3,1766867895325
0,2.3,1766867895866
0,2.3,1766867896411
0,2.4,1766867896949
0,2.4,1766867897535
0,2.4,1766867898086
0,2.4,1766867898650
0,2.4,1766867899205
0,2.4,1766867899757
0,2.4,1766867900320
0,2.4,1766867901000
0,2.4,1766867901505
0,2.5,1766867902044
0,2.5,1766867902565
0,2.5,1766867903119
0,2.5,1766867903708
0,2.5,1766867904287
0,2.5,1766867904866
0,2.6,1766867905623
0,2.6,1766867906182
0,2.6,1766867906707
0,2.6,1766867907225
0,2.7,1766867907755
0,2.7,1766867908306
0,2.7,1766867908844
0,2.6,1766867909393
0,2.7,1766867909933
0,2.7,1766867910483
0,2.7,1766867911025
0,2.7,1766867911545
0,2.6,1766867912088
0,2.7,1766867912604
0,2.7,1766867913127
0,2.7,1766867913673
0,2.6,1766867914209
0,2.7,1766867914745
0,2.7,1766867915301
0,2.7,1766867915830
0,2.7,1766867916378
0,2.6,1766867916915
0,2.7,1766867917452
0,2.6,1766867918021
0,2.6,1766867918587
0,2.7,1766867919142
0,2.7,1766867919684
0,2.7,1766867920197
0,2.7,1766867920731
0,2.7,1766867921273
0,2.7,1766867921826
0,2.7,1766867922353
0,2.7,1766867922888
0,2.7,1766867923450
0,2.7,1766867923996
0,2.7,1766867924561
0,2.7,1766867925124
0,2.7,1766867925663
0,2.7,1766867926228
0,2.7,1766867926801
0,2.7,1766867927342
0,2.7,1766867927892
0,2.7,1766867928502
0,2.7,1766867929038
0,2.7,1766867929576
0,2.7,1766867930125
0,2.7,1766867930693
0,2.7,1766867931240
0,2.7,1766867931805
0,2.7,1766867932336
0,2.7,1766867932857
0,2.7,1766867933417
0,2.7,1766867933956
0,2.7,1766867934524
0,2.7,1766867935096
0,2.7,1766867935636
0,2.7,1766867936192
0,2.7,1766867936769
0,2.7,1766867937314
0,2.7,1766867937834
0,2.7,1766867938389
0,2.7,1766867938978
0,2.7,1766867939571
0,2.7,1766867940163
0,2.7,1766867940765
0,2.7,1766867941354
0,2.7,1766867941920
0,2.7,1766867942621
0,2.7,1766867943169
0,2.7,1766867943719
0,2.7,1766867944298
0,2.7,1766867944836
0,2.7,1766867945373
0,2.7,1766867945915
0,2.7,1766867946456
0,2.7,1766867947070
0,2.7,1766867947653
0,2.7,1766867948219
0,2.7,1766867948790
0,2.7,1766867949361
0,2.7,1766867949911
0,2.7,1766867950464
0,2.7,1766867951035
0,2.7,1766867951554
0,2.7,1766867952088
0,2.7,1766867952601
0,2.7,1766867953149
0,2.7,1766867953706
0,2.7,1766867954282
0,2.7,1766867954817
0,2.7,1766867955364
0,2.7,1766867955936
0,2.7,1766867956504
0,2.7,1766867957037
0,2.7,1766867957579
0,2.7,1766867958145
0,2.7,1766867958702
0,2.7,1766867959281
0,2.7,1766867959863
0,2.7,1766867960431
0,2.7,1766867961014
0,2.7,1766867961572
0,2.7,1766867962130
0,2.7,1766867962697
0,2.7,1766867963224
0,2.7,1766867963789
0,2.7,1766867964315
0,2.7,1766867964876
0,2.7,1766867965439
0,2.7,1766867965992
0,2.7,1766867966554
0,2.7,1766867967078
0,2.7,1766867967673
0,2.7,1766867968247
0,2.7,1766867968821
0,2.7,1766867969434
0,2.7,1766867969994
0,2.7,1766867970644
0,2.7,1766867971144
0,2.7,1766867971708
0,2.7,1766867972278
0,2.7,1766867972843
0,2.7,1766867973425
