cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,4.4,1766867906339
0,4.8,1766867907297
0,4.6,1766867908124
0,4.6,1766867908946
0,4.8,1766867909795
0,4.6,1766867910635
0,4.8,1766867911457
0,4.5,1766867912284
0,4.6,1766867913148
0,4.6,1766867914006
0,4.6,1766867914844
0,4.7,1766867915687
0,4.5,1766867916551
0,4.8,1766867917392
0,4.7,1766867918392
0,4.8,1766867919337
0,5.0,1766867920158
0,5.1,1766867921015
0,4.7,1766867921884
0,4.7,1766867922722
0,4.7,1766867923683
0,4.8,1766867924686
0,4.7,1766867925545
0,4.8,1766867926515
0,4.7,1766867927485
0,4.7,1766867928352
0,4.8,1766867929229
0,4.6,1766867930126
0,4.9,1766867931146
0,4.8,1766867932075
0,4.7,1766867932928
0,4.6,1766867933761
0,4.8,1766867934780
0,4.9,1766867935770
0,5.1,1766867936800
0,4.4,1766867937658
0,4.6,1766867938617
0,4.8,1766867939572
0,4.6,1766867940581
0,4.6,1766867941427
0,4.9,1766867942407
0,4.8,1766867943409
0,4.8,1766867944345
0,4.6,1766867945197
0,4.6,1766867946082
0,5.1,1766867947099
0,4.8,1766867948099
0,4.6,1766867949077
0,4.8,1766867950050
0,4.9,1766867951008
0,4.5,1766867951845
0,4.6,1766867952717
0,4.6,1766867953546
0,4.8,1766867954495
0,4.7,1766867955463
0,4.7,1766867956440
0,4.5,1766867957297
0,4.8,1766867958288
0,4.8,1766867959393
0,4.8,1766867960388
0,4.8,1766867961410
0,4.6,1766867962389
0,4.7,1766867963335
0,4.8,1766867964290
0,4.6,1766867965247
0,4.8,1766867966225
0,4.7,1766867967158
0,4.8,1766867968154
0,5.0,1766867969153
0,4.6,1766867970153
0,4.6,1766867971076
0,4.7,1766867972179
0,4.7,1766867973191
0,4.6,1766867974117
0,4.7,1766867975068
0,4.7,1766867976026
0,4.6,1766867977003
0,4.6,1766867977961
0,4.7,1766867978946
0,4.6,1766867979919
0,5.8,1766867980910
0,4.6,1766867981912
0,4.6,1766867982901
0,4.6,1766867983887
0,4.9,1766867984856
0,4.6,1766867985818
0,4.6,1766867986706
0,4.8,1766867987668
0,4.6,1766867988522
0,4.6,1766867989491
0,4.6,1766867990331
0,5.0,1766867991245
0,4.5,1766867992243
0,4.5,1766867993241
0,4.7,1766867994268
0,5.4,1766867995247
0,4.9,1766867996251
0,5.0,1766867997199
0,4.9,1766867998164
0,5.0,1766867999072
0,4.6,1766867999993
0,4.9,1766868000984
0,4.7,1766868001924
0,4.5,1766868002890
0,4.9,1766868003772
0,4.2,1766868004685
0,2.7,1766868005602
0,4.6,1766868006666
0,5.1,1766868007629
0,4.7,1766868008711
0,4.7,1766868009573
0,4.7,1766868010527
0,4.7,1766868011464
0,4.6,1766868012359
0,4.9,1766868013327
0,4.7,1766868014313
0,4.6,1766868015254
0,4.7,1766868015555
