disk_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.3,1766867809957
0,0.3,1766867810290
0,0.3,1766867810498
0,0.3,1766867810729
0,0.3,1766867810950
0,0.3,1766867811188
0,0.3,1766867811429
0,0.3,1766867811661
0,0.3,1766867811898
0,0.3,1766867812120
0,0.3,1766867812358
0,0.3,1766867812605
0,0.3,1766867812854
0,0.3,1766867813102
0,0.3,1766867813353
0,0.3,1766867813605
0,0.3,1766867813858
0,0.3,1766867814108
0,0.3,1766867814366
0,0.3,1766867814605
0,0.3,1766867814857
0,0.3,1766867815110
0,0.3,1766867815358
0,0.3,1766867815613
0,0.3,1766867815873
0,0.3,1766867816115
0,0.3,1766867816378
0,0.3,1766867816612
0,0.3,1766867816842
0,0.3,1766867817105
0,0.3,1766867817347
0,0.3,1766867817596
0,0.3,1766867817835
0,0.3,1766867818088
0,0.3,1766867818313
0,0.3,1766867818551
0,0.3,1766867818811
0,0.3,1766867819041
0,0.3,1766867819281
0,0.3,1766867819503
0,0.3,1766867819744
0,0.3,1766867819997
0,0.3,1766867820246
0,0.3,1766867820466
0,0.3,1766867820712
0,0.3,1766867820950
0,0.3,1766867821213
0,0.3,1766867821450
0,0.3,1766867821712
0,0.3,1766867821973
0,0.3,1766867822215
0,0.3,1766867822458
0,0.3,1766867822700
0,0.3,1766867822942
0,0.3,1766867823191
0,0.3,1766867823446
0,0.3,1766867823674
0,0.3,1766867823925
0,0.3,1766867824160
0,0.3,1766867824429
0,0.3,1766867824692
0,0.3,1766867824931
0,0.3,1766867825193
0,0.3,1766867825461
0,0.3,1766867825726
0,0.3,1766867825980
0,0.3,1766867826460
0,0.3,1766867826706
0,0.3,1766867826950
0,0.3,1766867827188
0,0.3,1766867827433
0,0.3,1766867827659
0,0.3,1766867827914
0,0.3,1766867828150
0,0.3,1766867828407
0,0.3,1766867828660
0,0.3,1766867828942
0,0.3,1766867829222
0,0.3,1766867829480
0,0.3,1766867829743
0,0.3,1766867829994
0,0.3,1766867830252
0,0.3,1766867830483
0,0.3,1766867830743
0,0.3,1766867830995
0,0.3,1766867831228
0,0.3,1766867831476
0,0.3,1766867831711
0,0.3,1766867831960
0,0.3,1766867832208
0,0.3,1766867832463
0,0.3,1766867832712
0,0.3,1766867832966
0,0.3,1766867833224
0,0.3,1766867833470
0,0.3,1766867833730
0,0.3,1766867833986
0,0.3,1766867834237
0,0.3,1766867834494
0,0.3,1766867834736
0,0.3,1766867834979
0,0.3,1766867835228
0,0.3,1766867835488
0,0.3,1766867835743
0,0.3,1766867835999
0,0.3,1766867836241
0,0.3,1766867836496
0,0.3,1766867836733
0,0.3,1766867837006
0,0.3,1766867837281
0,0.3,1766867837519
0,0.3,1766867837754
0,0.3,1766867837992
0,0.3,1766867838229
0,0.3,1766867838475
0,0.3,1766867838725
0,0.3,1766867838972
0,0.3,1766867839237
0,0.3,1766867839491
0,0.3,1766867839745
0,0.3,1766867839992
0,0.3,1766867840253
0,0.3,1766867840486
0,0.3,1766867840719
0,0.3,1766867840966
0,0.3,1766867841202
0,0.3,1766867841465
0,0.3,1766867841697
0,0.3,1766867841928
0,0.3,1766867842175
0,0.3,1766867842445
0,0.3,1766867842698
0,0.3,1766867842949
0,0.3,1766867843202
0,0.3,1766867843458
0,0.3,1766867843707
0,0.3,1766867843954
0,0.3,1766867844190
0,0.3,1766867844458
0,0.3,1766867844709
0,0.3,1766867844960
0,0.3,1766867845197
0,0.3,1766867845429
0,0.3,1766867845666
0,0.3,1766867845911
0,0.3,1766867846168
0,0.3,1766867846418
0,0.3,1766867846676
0,0.3,1766867846902
0,0.3,1766867847130
0,0.3,1766867847362
0,0.3,1766867847599
0,0.3,1766867847852
0,0.3,1766867848109
0,0.3,1766867848360
0,0.3,1766867848599
0,0.3,1766867848860
0,0.3,1766867849114
0,0.3,1766867849373
0,0.3,1766867849637
0,0.3,1766867849896
0,0.3,1766867850149
0,0.3,1766867850396
0,0.3,1766867850661
0,0.3,1766867850919
0,0.3,1766867851180
0,0.3,1766867851421
0,0.3,1766867851680
0,0.3,1766867851913
0,0.3,1766867852152
0,0.3,1766867852392
0,0.3,1766867852667
0,0.3,1766867852925
0,0.3,1766867853214
0,0.3,1766867853476
0,0.3,1766867853699
0,0.3,1766867853927
0,0.3,1766867854175
0,0.3,1766867854423
0,0.3,1766867854678
0,0.3,1766867854947
0,0.3,1766867855187
0,0.3,1766867855418
0,0.3,1766867855656
0,0.3,1766867855896
0,0.3,1766867856114
0,0.3,1766867856440
0,0.3,1766867856678
0,0.3,1766867856914
0,0.3,1766867857160
0,0.3,1766867857400
0,0.3,1766867857651
0,0.3,1766867857901
0,0.3,1766867858165
0,0.3,1766867858405
0,0.3,1766867858641
0,0.3,1766867858887
0,0.3,1766867859131
0,0.3,1766867859354
0,0.3,1766867859581
0,0.3,1766867859824
0,0.3,1766867860051
0,0.3,1766867860294
0,0.3,1766867860525
0,0.3,1766867860749
0,0.3,1766867860994
0,0.3,1766867861229
0,0.3,1766867861473
0,0.3,1766867861718
0,0.3,1766867861970
0,0.3,1766867862405
0,0.3,1766867862666
0,0.3,1766867862893
0,0.3,1766867863122
0,0.3,1766867863374
0,0.3,1766867863606
0,0.3,1766867863837
0,0.3,1766867864094
0,0.3,1766867864347
0,0.3,1766867864594
0,0.3,1766867864824
0,0.3,1766867865083
0,0.3,1766867865325
0,0.3,1766867865582
0,0.3,1766867865816
0,0.3,1766867866080
0,0.3,1766867866321
0,0.3,1766867866581
0,0.3,1766867866837
0,0.3,1766867867085
0,0.3,1766867867320
0,0.3,1766867867563
0,0.3,1766867867814
0,0.3,1766867868048
0,0.3,1766867868300
0,0.3,1766867868544
0,0.3,1766867868782
0,0.3,1766867869016
0,0.3,1766867869248
0,0.3,1766867869499
0,0.3,1766867869747
0,0.3,1766867869980
0,0.3,1766867870252
0,0.3,1766867870497
0,0.3,1766867870768
0,0.3,1766867871013
0,0.3,1766867871236
0,0.3,1766867871479
0,0.3,1766867871729
0,0.3,1766867872010
0,0.3,1766867872235
0,0.3,1766867872488
0,0.3,1766867872730
0,0.3,1766867872987
0,0.3,1766867873222
0,0.3,1766867873485
0,0.3,1766867873737
0,0.3,1766867873970
0,0.3,1766867874229
0,0.3,1766867874496
0,0.3,1766867874744
0,0.3,1766867875000
0,0.3,1766867875237
0,0.3,1766867875468
0,0.3,1766867875705
0,0.3,1766867875940
0,0.3,1766867876196
0,0.3,1766867876439
0,0.3,1766867876704
0,0.3,1766867876959
0,0.3,1766867877206
0,0.3,1766867877449
0,0.3,1766867877725
0,0.3,1766867877978
0,0.3,1766867878227
0,0.3,1766867878478
0,0.3,1766867878712
0,0.3,1766867878967
0,0.3,1766867879203
0,0.3,1766867879448
0,0.3,1766867879684
0,0.3,1766867879936
0,0.3,1766867880199
0,0.3,1766867880454
0,0.3,1766867880710
0,0.3,1766867880955
0,0.3,1766867881210
0,0.3,1766867881481
0,0.3,1766867881730
0,0.3,1766867881986
0,0.3,1766867882242
0,0.3,1766867882487
0,0.3,1766867882736
0,0.3,1766867883001
0,0.3,1766867883251
0,0.3,1766867883505
0,0.3,1766867883755
0,0.3,1766867883990
0,0.3,1766867884243
0,0.3,1766867884532
0,0.3,1766867884768
0,0.3,1766867885155
0,0.3,1766867885408
0,0.3,1766867885660
0,0.3,1766867885925
0,0.3,1766867886178
0,0.3,1766867886435
0,0.3,1766867886685
0,0.3,1766867886941
0,0.3,1766867887175
0,0.3,1766867887421
0,0.3,1766867887670
0,0.3,1766867887904
0,0.3,1766867888169
0,0.3,1766867888431
0,0.3,1766867888663
0,0.3,1766867888913
0,0.3,1766867889160
0,0.3,1766867889407
0,0.3,1766867889654
0,0.3,1766867889894
0,0.3,1766867890139
0,0.3,1766867890400
0,0.3,1766867890653
0,0.3,1766867890916
0,0.3,1766867891148
0,0.3,1766867891378
0,0.3,1766867891628
0,0.3,1766867891863
0,0.3,1766867892113
0,0.3,1766867892368
0,0.3,1766867892633
0,0.3,1766867892894
0,0.3,1766867893166
0,0.3,1766867893421
0,0.3,1766867893669
0,0.3,1766867893942
0,0.3,1766867894196
0,0.3,1766867894447
0,0.3,1766867894702
0,0.3,1766867894946
0,0.3,1766867895220
0,0.3,1766867895448
0,0.3,1766867895680
0,0.3,1766867895927
0,0.3,1766867896166
0,0.3,1766867896427
0,0.3,1766867896665
0,0.3,1766867896886
0,0.3,1766867897137
0,0.3,1766867897375
0,0.3,1766867897622
0,0.3,1766867897861
0,0.3,1766867898096
0,0.3,1766867898318
0,0.3,1766867898576
0,0.3,1766867898815
0,0.3,1766867899041
0,0.3,1766867899294
0,0.3,1766867899518
0,0.3,1766867899765
0,0.3,1766867900025
0,0.3,1766867900263
0,0.3,1766867900523
0,0.3,1766867900762
0,0.3,1766867901022
0,0.3,1766867901259
0,0.3,1766867901496
0,0.3,1766867901738
0,0.3,1766867901980
0,0.3,1766867902204
0,0.3,1766867902448
0,0.3,1766867902687
0,0.3,1766867902913
0,0.3,1766867903139
0,0.3,1766867903371
0,0.3,1766867903623
0,0.3,1766867903854
0,0.3,1766867904102
0,0.3,1766867904333
0,0.3,1766867904588
0,0.3,1766867904843
0,0.3,1766867905337
0,0.3,1766867905584
0,0.3,1766867905843
0,0.3,1766867906098
0,0.3,1766867906348
0,0.3,1766867906586
0,0.3,1766867906834
0,0.3,1766867907082
0,0.3,1766867907302
0,0.3,1766867907547
0,0.3,1766867907768
0,0.3,1766867907990
0,0.3,1766867908231
0,0.3,1766867908479
0,0.3,1766867908745
0,0.3,1766867908984
0,0.3,1766867909242
0,0.3,1766867909494
0,0.3,1766867909748
0,0.3,1766867909989
0,0.3,1766867910239
0,0.3,1766867910477
0,0.3,1766867910721
0,0.3,1766867910964
0,0.3,1766867911209
0,0.3,1766867911456
0,0.3,1766867911696
0,0.3,1766867911937
0,0.3,1766867912174
0,0.3,1766867912396
0,0.3,1766867912638
0,0.3,1766867912860
0,0.3,1766867913113
0,0.3,1766867913358
0,0.3,1766867913582
0,0.3,1766867913832
0,0.3,1766867914085
0,0.3,1766867914306
0,0.3,1766867914543
0,0.3,1766867914761
0,0.3,1766867914999
0,0.3,1766867915239
0,0.3,1766867915466
0,0.3,1766867915719
0,0.3,1766867915959
0,0.3,1766867916195
0,0.3,1766867916447
0,0.3,1766867916681
0,0.3,1766867916919
0,0.3,1766867917160
0,0.3,1766867917393
0,0.3,1766867917643
0,0.3,1766867917874
0,0.3,1766867918107
0,0.3,1766867918354
0,0.3,1766867918603
0,0.3,1766867918865
0,0.3,1766867919115
0,0.3,1766867919366
0,0.3,1766867919592
0,0.3,1766867919837
0,0.3,1766867920083
0,0.3,1766867920327
0,0.3,1766867920576
0,0.3,1766867920812
0,0.3,1766867921063
0,0.3,1766867921302
0,0.3,1766867921546
0,0.3,1766867921784
0,0.3,1766867922021
0,0.3,1766867922241
0,0.3,1766867922462
0,0.3,1766867922697
0,0.3,1766867922922
0,0.3,1766867923148
0,0.3,1766867923394
0,0.3,1766867923630
0,0.3,1766867923873
0,0.3,1766867924124
0,0.3,1766867924377
0,0.3,1766867924617
0,0.3,1766867924870
0,0.3,1766867925112
0,0.3,1766867925368
0,0.3,1766867925600
0,0.3,1766867925833
0,0.3,1766867926067
0,0.3,1766867926314
0,0.3,1766867926573
0,0.3,1766867926815
0,0.3,1766867927074
0,0.3,1766867927320
0,0.3,1766867927566
0,0.3,1766867927802
0,0.3,1766867928067
0,0.3,1766867928330
0,0.3,1766867928570
0,0.3,1766867928813
0,0.3,1766867929052
0,0.3,1766867929292
0,0.3,1766867929528
0,0.3,1766867929778
0,0.3,1766867930015
0,0.3,1766867930254
0,0.3,1766867930506
0,0.3,1766867930765
0,0.3,1766867930995
0,0.3,1766867931239
0,0.3,1766867931480
0,0.3,1766867931728
0,0.3,1766867931972
0,0.3,1766867932216
0,0.3,1766867932461
0,0.3,1766867932701
0,0.3,1766867932940
0,0.3,1766867933187
0,0.3,1766867933435
0,0.3,1766867933686
0,0.3,1766867933931
0,0.3,1766867934192
0,0.3,1766867934446
0,0.3,1766867934704
0,0.3,1766867934951
0,0.3,1766867935198
0,0.3,1766867935441
0,0.3,1766867935696
0,0.3,1766867935942
0,0.3,1766867936190
0,0.3,1766867936434
0,0.3,1766867936798
0,0.3,1766867937041
0,0.3,1766867937288
0,0.3,1766867937543
0,0.3,1766867937792
0,0.3,1766867938032
0,0.3,1766867938284
0,0.3,1766867938526
0,0.3,1766867938774
0,0.3,1766867939021
0,0.3,1766867939280
0,0.3,1766867939514
0,0.3,1766867939765
0,0.3,1766867940008
0,0.3,1766867940260
0,0.3,1766867940514
0,0.3,1766867940776
0,0.3,1766867941011
0,0.3,1766867941264
0,0.3,1766867941502
0,0.3,1766867941738
0,0.3,1766867941994
0,0.3,1766867942242
0,0.3,1766867942471
0,0.3,1766867942711
0,0.3,1766867942955
0,0.3,1766867943208
0,0.3,1766867943443
0,0.3,1766867943696
0,0.3,1766867943943
0,0.3,1766867944200
0,0.3,1766867944456
0,0.3,1766867944696
0,0.3,1766867944931
0,0.3,1766867945187
0,0.3,1766867945439
0,0.3,1766867945661
0,0.3,1766867945891
0,0.3,1766867946141
0,0.3,1766867946397
0,0.3,1766867946644
0,0.3,1766867946917
0,0.3,1766867947172
