cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,4.4,1766867810175
0,4.2,1766867811519
0,4.2,1766867812860
0,4.4,1766867814381
0,4.4,1766867815781
0,4.7,1766867817160
0,4.8,1766867818569
0,4.6,1766867820123
0,4.6,1766867821570
0,4.3,1766867823092
0,4.1,1766867824550
0,3.9,1766867826094
0,4.6,1766867827666
0,4.2,1766867829154
0,4.5,1766867830781
0,4.4,1766867832239
0,4.6,1766867833702
0,4.3,1766867835149
0,4.3,1766867836595
0,4.3,1766867838071
0,4.3,1766867839504
0,4.3,1766867840974
0,4.2,1766867842462
0,4.4,1766867843867
0,4.4,1766867845363
0,4.4,1766867846783
0,4.3,1766867847956
0,4.2,1766867849321
0,4.5,1766867850810
0,4.7,1766867852246
0,4.8,1766867853640
0,4.9,1766867855170
0,4.7,1766867856547
0,4.9,1766867857987
0,4.5,1766867859366
0,4.4,1766867860759
0,4.1,1766867862149
0,4.7,1766867863644
0,4.5,1766867865028
0,4.6,1766867866419
0,4.5,1766867867890
0,4.6,1766867869311
0,4.6,1766867870803
0,4.6,1766867872227
0,4.6,1766867873596
0,4.6,1766867875057
0,4.7,1766867876487
0,4.6,1766867877945
0,4.5,1766867879438
0,4.6,1766867880893
0,4.7,1766867882402
0,4.6,1766867883822
0,4.7,1766867885230
0,4.6,1766867886702
0,4.6,1766867888151
0,4.7,1766867889608
0,4.6,1766867891077
0,4.6,1766867892548
0,4.6,1766867893529
