gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,32.0,1766867810249
0,32.0,1766867811593
0,32.0,1766867812943
0,32.0,1766867814463
0,32.0,1766867815861
0,32.0,1766867817240
0,32.0,1766867818648
0,32.0,1766867820201
0,32.0,1766867821648
0,32.0,1766867823172
0,31.0,1766867824634
0,32.0,1766867826307
0,32.0,1766867827746
0,32.0,1766867829234
0,32.0,1766867830862
0,32.0,1766867832321
0,32.0,1766867833784
0,32.0,1766867835230
0,32.0,1766867836675
0,32.0,1766867838154
0,32.0,1766867839587
0,32.0,1766867841055
0,32.0,1766867842543
0,32.0,1766867843943
0,32.0,1766867845444
0,32.0,1766867846856
0,32.0,1766867848029
0,32.0,1766867849404
0,32.0,1766867850892
0,32.0,1766867852328
0,31.0,1766867853719
0,31.0,1766867855248
0,31.0,1766867856625
0,31.0,1766867858067
0,30.0,1766867859449
0,30.0,1766867860838
0,30.0,1766867862317
0,31.0,1766867863725
0,31.0,1766867865108
0,31.0,1766867866497
0,31.0,1766867867972
0,32.0,1766867869393
0,31.0,1766867870884
0,31.0,1766867872305
0,32.0,1766867873676
0,32.0,1766867875139
0,32.0,1766867876569
0,32.0,1766867878027
0,32.0,1766867879518
0,31.0,1766867880973
0,32.0,1766867882483
0,31.0,1766867883902
0,32.0,1766867885312
0,32.0,1766867886783
0,32.0,1766867888231
0,32.0,1766867889688
0,32.0,1766867891157
0,32.0,1766867892629
0,32.0,1766867893609
