disk_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.3,1766867417195
0,0.3,1766867419476
0,0.3,1766867421661
0,0.3,1766867423918
0,0.3,1766867426163
0,0.3,1766867428418
0,0.3,1766867430773
0,0.3,1766867433073
0,0.3,1766867435721
0,0.3,1766867438047
0,0.3,1766867440204
0,0.3,1766867442097
0,0.3,1766867444320
0,0.3,1766867446571
0,0.3,1766867448957
0,0.3,1766867451183
0,0.3,1766867453582
0,0.3,1766867455778
0,0.3,1766867457954
0,0.3,1766867460241
0,0.3,1766867462250
0,0.3,1766867464385
0,0.3,1766867466589
0,0.3,1766867468798
0,0.3,1766867471146
0,0.3,1766867473265
0,0.3,1766867475404
0,0.3,1766867477658
0,0.3,1766867479673
0,0.3,1766867481882
0,0.3,1766867483799
0,0.3,1766867485757
0,0.3,1766867487509
0,0.3,1766867489553
0,0.3,1766867491542
0,0.3,1766867493480
0,0.3,1766867495599
0,0.3,1766867497938
0,0.3,1766867499669
0,0.3,1766867501355
0,0.3,1766867503462
0,0.3,1766867505293
0,0.3,1766867507283
0,0.3,1766867509180
0,0.3,1766867510934
0,0.3,1766867512807
0,0.3,1766867514768
0,0.3,1766867516729
0,0.3,1766867518613
0,0.3,1766867520642
0,0.3,1766867522398
0,0.3,1766867524114
0,0.3,1766867525815
0,0.3,1766867527491
0,0.3,1766867529143
0,0.3,1766867530808
0,0.3,1766867532523
0,0.3,1766867534021
0,0.3,1766867535725
0,0.3,1766867537604
0,0.3,1766867539220
0,0.3,1766867540791
0,0.3,1766867542371
0,0.3,1766867543887
0,0.3,1766867545521
0,0.3,1766867547174
0,0.3,1766867548677
0,0.3,1766867550364
0,0.3,1766867551856
0,0.3,1766867553699
0,0.3,1766867555090
0,0.3,1766867556438
0,0.3,1766867558202
0,0.3,1766867559818
0,0.3,1766867561152
0,0.3,1766867562782
0,0.3,1766867564292
0,0.3,1766867566004
0,0.3,1766867567738
0,0.3,1766867569413
0,0.3,1766867570922
0,0.3,1766867572634
0,0.3,1766867574308
0,0.3,1766867576116
0,0.3,1766867577593
0,0.3,1766867579119
0,0.3,1766867580732
0,0.3,1766867582130
0,0.3,1766867583417
0,0.3,1766867584736
0,0.3,1766867586275
0,0.3,1766867587533
0,0.3,1766867588921
0,0.3,1766867590485
0,0.3,1766867591849
0,0.3,1766867592965
0,0.3,1766867594373
0,0.3,1766867595488
0,0.3,1766867596784
0,0.3,1766867597965
0,0.3,1766867599188
0,0.3,1766867600477
0,0.3,1766867601731
0,0.3,1766867602948
0,0.3,1766867604573
0,0.3,1766867606062
0,0.3,1766867607275
0,0.3,1766867608602
0,0.3,1766867609920
0,0.3,1766867611257
0,0.3,1766867612624
0,0.3,1766867613788
0,0.3,1766867615015
0,0.3,1766867616316
0,0.3,1766867617454
0,0.3,1766867618685
0,0.3,1766867619856
0,0.3,1766867621141
0,0.3,1766867622311
0,0.3,1766867623386
0,0.3,1766867624374
0,0.3,1766867625512
0,0.3,1766867626578
0,0.3,1766867627597
0,0.3,1766867628579
0,0.3,1766867629665
0,0.3,1766867630988
0,0.3,1766867632323
0,0.3,1766867633505
0,0.3,1766867634583
0,0.3,1766867635718
0,0.3,1766867636854
0,0.3,1766867637914
0,0.3,1766867639202
0,0.3,1766867640335
0,0.3,1766867641518
0,0.3,1766867642702
0,0.3,1766867644026
0,0.3,1766867645336
0,0.3,1766867646539
0,0.3,1766867647570
0,0.3,1766867648538
0,0.3,1766867649618
0,0.3,1766867650763
0,0.3,1766867651773
0,0.3,1766867652871
0,0.3,1766867653977
0,0.3,1766867655153
0,0.3,1766867656033
0,0.3,1766867657012
0,0.3,1766867658023
0,0.3,1766867659028
0,0.3,1766867659936
0,0.3,1766867660979
0,0.3,1766867661832
0,0.3,1766867662744
0,0.3,1766867663515
0,0.3,1766867664471
0,0.3,1766867665686
0,0.3,1766867666530
0,0.3,1766867667658
0,0.3,1766867668432
0,0.3,1766867669269
0,0.3,1766867670101
0,0.3,1766867670960
0,0.3,1766867671680
0,0.3,1766867672671
0,0.3,1766867673617
0,0.3,1766867674356
0,0.3,1766867675267
0,0.3,1766867676113
0,0.3,1766867676879
0,0.3,1766867677836
0,0.3,1766867678676
0,0.3,1766867679611
0,0.3,1766867680355
0,0.3,1766867681438
0,0.3,1766867682198
0,0.3,1766867683057
0,0.3,1766867684003
0,0.3,1766867684722
0,0.3,1766867685348
0,0.3,1766867686334
0,0.3,1766867687142
0,0.3,1766867687952
0,0.3,1766867688796
0,0.3,1766867689609
0,0.3,1766867690478
