gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.07,1766867424027
0,0.02,1766867433281
0,0.0,1766867443081
0,0.0,1766867451691
0,0.0,1766867460088
0,0.0,1766867468020
0,0.0,1766867475909
0,0.02,1766867483735
0,0.02,1766867491066
0,0.0,1766867499299
0,0.01,1766867506360
0,0.0,1766867514053
0,0.05,1766867520917
0,0.0,1766867527714
0,0.02,1766867534208
0,0.0,1766867541094
0,0.0,1766867547573
0,0.0,1766867553903
0,0.0,1766867559987
0,0.0,1766867565760
0,0.07,1766867571878
0,0.05,1766867577796
0,0.0,1766867582808
0,0.02,1766867588100
0,0.0,1766867592899
0,0.02,1766867597561
0,0.0,1766867602683
0,0.07,1766867607646
0,0.0,1766867612272
0,0.0,1766867616773
0,0.0,1766867621286
0,0.0,1766867625507
0,0.0,1766867629714
0,0.0,1766867634259
0,0.0,1766867638734
0,0.0,1766867642775
0,0.05,1766867646610
0,0.05,1766867650265
0,0.0,1766867654113
0,0.05,1766867657818
0,0.0,1766867661195
0,0.0,1766867664756
0,0.06,1766867668278
0,0.05,1766867671507
0,0.0,1766867675026
0,0.05,1766867678458
0,0.0,1766867681601
0,0.0,1766867685355
0,0.02,1766867688294
0,0.05,1766867690891
0,0.05,1766867693346
0,0.05,1766867696014
0,0.02,1766867699116
0,0.05,1766867701798
0,0.05,1766867704678
0,0.05,1766867707222
0,0.0,1766867709883
0,0.04,1766867712218
0,0.02,1766867714868
0,0.02,1766867717281
0,0.02,1766867719546
0,0.04,1766867721899
0,0.05,1766867724277
0,0.05,1766867726377
0,0.0,1766867728312
0,0.02,1766867730357
0,0.02,1766867732228
0,0.05,1766867734056
0,0.02,1766867735682
0,0.05,1766867737557
0,0.0,1766867739271
0,0.0,1766867741179
0,0.02,1766867742925
0,0.05,1766867744546
0,0.05,1766867746307
0,0.05,1766867747911
0,0.05,1766867749523
0,0.05,1766867751121
0,0.02,1766867752663
0,0.05,1766867754162
0,0.07,1766867755736
0,0.02,1766867757302
0,0.06,1766867758782
0,0.02,1766867760094
0,0.05,1766867761526
0,0.05,1766867763095
0,0.05,1766867764426
0,0.05,1766867765760
0,0.05,1766867767117
0,0.05,1766867768556
0,0.02,1766867769770
0,0.07,1766867770998
0,0.05,1766867772193
0,0.02,1766867773547
0,0.05,1766867774656
0,0.07,1766867775739
0,0.05,1766867776806
0,0.05,1766867777790
0,0.05,1766867778837
0,0.07,1766867779811
0,0.05,1766867780795
0,0.02,1766867781777
0,0.07,1766867782848
0,0.02,1766867783919
0,0.07,1766867784819
0,0.07,1766867785672
0,0.05,1766867786545
0,0.07,1766867787493
0,0.07,1766867788566
0,0.07,1766867789589
0,0.02,1766867790593
0,0.05,1766867791507
0,0.05,1766867792344
0,0.04,1766867793222
0,0.05,1766867794000
0,0.02,1766867794823
0,0.07,1766867795638
0,0.06,1766867795944
