memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,2.6,1766867423989
0,2.6,1766867433237
0,2.6,1766867443036
0,2.6,1766867451647
0,2.6,1766867460043
0,2.6,1766867467976
0,2.6,1766867475865
0,2.6,1766867483690
0,2.6,1766867491021
0,2.6,1766867499255
0,2.6,1766867506316
0,2.6,1766867514009
0,2.6,1766867520873
0,2.6,1766867527669
0,2.6,1766867534165
0,2.6,1766867541051
0,2.6,1766867547529
0,2.6,1766867553859
0,2.6,1766867559943
0,2.6,1766867565716
0,2.6,1766867571834
0,2.6,1766867577753
0,2.6,1766867582763
0,2.6,1766867588057
0,2.6,1766867592857
0,2.6,1766867597516
0,2.6,1766867602639
0,2.7,1766867607603
0,2.6,1766867612228
0,2.7,1766867616728
0,2.7,1766867621244
0,2.7,1766867625463
0,2.6,1766867629670
0,2.6,1766867634214
0,2.6,1766867638690
0,2.7,1766867642732
0,2.7,1766867646568
0,2.7,1766867650221
0,2.7,1766867654069
0,2.7,1766867657775
0,2.7,1766867661151
0,2.7,1766867664715
0,2.7,1766867668234
0,2.7,1766867671462
0,2.7,1766867674982
0,2.7,1766867678414
0,2.7,1766867681557
0,2.7,1766867685311
0,2.7,1766867688251
0,2.7,1766867690846
0,2.7,1766867693301
0,2.7,1766867695970
0,2.7,1766867699072
0,2.7,1766867701754
0,2.7,1766867704633
0,2.7,1766867707177
0,2.7,1766867709838
0,2.7,1766867712174
0,2.7,1766867714824
0,2.7,1766867717238
0,2.7,1766867719502
0,2.7,1766867721856
0,2.7,1766867724232
0,2.7,1766867726333
0,2.7,1766867728268
0,2.7,1766867730314
0,2.7,1766867732185
0,2.7,1766867734014
0,2.7,1766867735638
0,2.7,1766867737514
0,2.7,1766867739227
0,2.7,1766867741136
0,2.7,1766867742883
0,2.7,1766867744503
0,2.7,1766867746262
0,2.7,1766867747867
0,2.7,1766867749480
0,2.7,1766867751077
0,2.7,1766867752619
0,2.7,1766867754119
0,2.7,1766867755694
0,2.7,1766867757259
0,2.7,1766867758740
0,2.7,1766867760050
0,2.7,1766867761483
0,2.7,1766867763052
0,2.7,1766867764384
0,2.7,1766867765718
0,2.7,1766867767074
0,2.7,1766867768513
0,2.7,1766867769727
0,2.7,1766867770956
0,2.7,1766867772150
0,2.7,1766867773505
0,2.7,1766867774614
0,2.7,1766867775697
0,2.7,1766867776765
0,2.7,1766867777748
0,2.7,1766867778796
0,2.7,1766867779766
0,2.7,1766867780753
0,2.7,1766867781736
0,2.7,1766867782806
0,2.7,1766867783876
0,2.7,1766867784777
0,2.7,1766867785631
0,2.7,1766867786503
0,2.7,1766867787451
0,2.7,1766867788523
0,2.7,1766867789547
0,2.7,1766867790552
0,2.7,1766867791466
0,2.7,1766867792303
0,2.7,1766867793180
0,2.7,1766867793959
0,2.7,1766867794781
0,2.7,1766867795597
0,2.7,1766867795903
