disk_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.4,1766698526649
0,0.4,1766698527646
0,0.4,1766698528415
0,0.4,1766698529550
0,0.4,1766698530394
0,0.4,1766698531098
0,0.4,1766698532263
0,0.4,1766698532990
0,0.4,1766698533903
0,0.4,1766698535016
0,0.4,1766698535833
0,0.4,1766698536892
0,0.4,1766698537832
0,0.4,1766698538426
0,0.4,1766698539160
0,0.4,1766698540310
0,0.4,1766698541000
0,0.4,1766698541758
0,0.4,1766698542876
0,0.4,1766698543537
0,0.4,1766698544493
0,0.4,1766698545658
0,0.4,1766698546295
0,0.4,1766698546951
0,0.4,1766698548376
0,0.4,1766698549127
0,0.4,1766698550066
0,0.4,1766698551231
0,0.4,1766698551901
0,0.4,1766698552695
0,0.4,1766698553920
0,0.4,1766698554605
0,0.4,1766698555344
0,0.4,1766698556477
0,0.4,1766698557144
0,0.4,1766698557998
0,0.4,1766698559197
0,0.4,1766698559881
0,0.4,1766698560717
0,0.4,1766698562024
0,0.4,1766698562646
0,0.4,1766698563419
0,0.4,1766698564733
0,0.4,1766698565390
0,0.4,1766698566119
0,0.4,1766698567309
0,0.4,1766698567934
0,0.4,1766698568718
0,0.4,1766698569855
0,0.4,1766698570505
0,0.4,1766698571163
0,0.4,1766698572359
0,0.4,1766698573072
0,0.4,1766698573831
0,0.4,1766698575184
0,0.4,1766698576025
0,0.4,1766698576921
0,0.4,1766698578218
0,0.4,1766698579012
0,0.4,1766698580036
0,0.4,1766698581183
0,0.4,1766698582009
0,0.4,1766698583143
0,0.4,1766698584058
