cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,6.6,1766702819252
0,6.0,1766702820570
0,7.7,1766702821482
0,4.8,1766702822923
0,7.8,1766702823708
0,6.2,1766702824794
0,5.6,1766702825963
0,7.7,1766702826790
0,5.0,1766702828038
0,7.1,1766702828991
0,7.1,1766702829888
0,5.1,1766702831304
0,7.7,1766702832087
0,5.7,1766702833153
0,6.0,1766702834256
0,7.2,1766702835189
0,5.5,1766702836440
0,7.5,1766702837309
0,7.7,1766702838093
0,6.4,1766702839322
0,8.3,1766702840085
0,7.6,1766702840987
0,6.9,1766702842147
0,7.7,1766702842995
0,8.1,1766702843767
0,6.7,1766702844826
0,7.6,1766702845706
0,8.1,1766702846482
0,6.8,1766702847565
0,7.7,1766702848402
0,8.0,1766702849160
0,6.8,1766702850150
0,7.7,1766702850961
0,8.2,1766702851643
0,5.1,1766702852849
0,6.8,1766702853748
0,7.2,1766702854392
0,6.4,1766702855384
0,7.4,1766702856285
0,8.5,1766702856963
0,6.9,1766702857903
0,6.7,1766702859015
0,8.5,1766702859750
0,6.7,1766702860657
0,7.1,1766702861698
0,8.6,1766702862336
0,6.7,1766702863369
0,7.0,1766702864447
0,8.4,1766702865124
0,6.6,1766702866113
0,7.4,1766702867179
0,8.1,1766702867950
0,6.2,1766702869256
0,7.8,1766702870179
0,7.1,1766702871214
0,6.4,1766702872485
0,7.6,1766702873376
0,6.6,1766702874540
0,8.2,1766702875409
0,6.1,1766702876562
0,7.3,1766702877530
0,8.1,1766702878389
0,5.9,1766702879596
0,7.5,1766702880475
0,7.4,1766702881392
0,6.2,1766702882572
0,7.7,1766702883485
0,6.1,1766702884661
0,7.4,1766702885616
0,7.7,1766702886480
0,6.2,1766702887556
0,7.9,1766702888339
0,6.9,1766702889399
0,6.8,1766702890485
0,7.7,1766702891329
0,6.0,1766702892529
0,7.9,1766702893431
0,7.3,1766702894287
0,5.9,1766702895551
0,8.2,1766702896345
0,6.7,1766702897399
0,6.4,1766702898521
0,8.0,1766702899310
0,6.1,1766702900517
0,7.6,1766702901413
0,7.4,1766702902366
0,5.6,1766702903703
0,8.4,1766702904494
0,6.4,1766702905629
0,6.5,1766702906671
0,8.1,1766702907454
0,6.3,1766702908464
0,7.4,1766702909417
0,8.2,1766702910098
0,5.4,1766702911379
0,7.7,1766702912273
0,7.6,1766702913136
0,5.7,1766702914518
0,8.3,1766702915288
0,6.5,1766702916343
0,5.9,1766702917530
0,8.5,1766702918216
0,6.4,1766702919164
0,6.2,1766702920245
0,8.4,1766702920875
0,5.9,1766702922045
0,6.0,1766702923072
0,8.4,1766702923757
0,5.7,1766702924863
0,6.0,1766702925929
0,8.3,1766702926614
0,5.7,1766702927827
0,6.6,1766702928940
0,8.4,1766702929661
0,5.0,1766702931049
0,7.3,1766702931876
0,8.4,1766702932590
0,4.8,1766702933995
0,7.5,1766702934811
0,8.4,1766702935492
0,4.7,1766702936883
0,7.4,1766702937690
0,8.5,1766702938399
0,4.9,1766702939785
0,7.6,1766702940565
0,8.4,1766702941257
0,4.9,1766702942566
0,7.2,1766702943397
0,8.3,1766702944058
0,5.0,1766702945372
0,6.9,1766702946243
0,8.5,1766702946842
0,5.8,1766702947963
0,5.8,1766702949085
0,8.4,1766702949803
0,5.5,1766702950969
0,6.4,1766702951905
0,8.3,1766702952616
0,5.4,1766702953737
0,6.3,1766702954792
0,8.4,1766702955466
0,5.6,1766702956695
0,6.6,1766702957689
0,8.4,1766702958435
0,5.2,1766702959554
0,6.9,1766702960438
0,8.4,1766702961154
0,5.1,1766702962386
0,7.1,1766702963301
0,8.1,1766702964063
0,5.4,1766702965345
0,7.8,1766702966167
0,7.7,1766702966963
0,5.4,1766702968272
0,8.5,1766702968944
0,7.6,1766702969933
0,5.8,1766702971142
0,8.2,1766702971826
0,7.3,1766702972745
0,6.1,1766702973869
0,7.9,1766702974606
0,8.0,1766702975378
0,5.7,1766702976668
0,8.0,1766702977448
0,7.0,1766702978407
0,5.8,1766702979603
0,8.5,1766702980285
0,6.1,1766702981441
0,6.4,1766702982470
0,8.3,1766702983195
0,5.3,1766702984382
0,7.2,1766702985359
0,8.1,1766702986094
0,5.1,1766702987410
0,8.5,1766702988322
0,7.3,1766702989260
0,5.4,1766702990506
0,8.4,1766702991186
0,6.6,1766702992212
0,5.9,1766702993419
0,8.2,1766702994169
0,5.9,1766702995371
0,6.6,1766702996408
0,7.9,1766702997226
0,5.9,1766702998439
0,7.4,1766702999346
0,7.7,1766703000256
0,5.6,1766703001616
0,7.6,1766703002446
0,7.5,1766703003358
0,5.8,1766703004705
0,8.1,1766703005523
0,6.5,1766703006502
0,6.5,1766703007759
0,8.2,1766703008526
0,5.7,1766703009780
0,7.6,1766703010730
0,7.6,1766703011618
0,5.9,1766703012842
0,8.1,1766703013641
0,7.0,1766703014576
0,6.6,1766703015743
0,7.5,1766703016664
0,6.8,1766703017706
0,7.1,1766703018726
0,7.6,1766703019657
0,6.5,1766703020841
0,7.5,1766703021778
0,7.7,1766703022648
0,6.2,1766703023782
0,7.6,1766703024741
0,7.3,1766703025708
0,6.5,1766703026842
0,8.1,1766703027595
0,7.2,1766703028478
0,6.5,1766703029550
0,8.0,1766703030343
0,7.0,1766703031288
0,6.1,1766703032527
0,8.4,1766703033273
0,6.3,1766703034433
0,6.6,1766703035513
0,7.9,1766703036329
0,5.6,1766703037655
0,7.8,1766703038475
0,7.5,1766703039357
0,5.7,1766703040746
0,8.3,1766703041460
0,7.0,1766703042408
0,6.1,1766703043579
0,7.7,1766703044393
0,7.2,1766703045268
0,6.1,1766703046510
0,8.1,1766703047291
0,6.6,1766703048474
0,6.6,1766703049568
0,8.3,1766703050261
0,5.6,1766703051490
0,7.3,1766703052486
0,8.3,1766703053226
0,5.3,1766703054580
0,8.0,1766703055406
0,7.7,1766703056183
0,5.2,1766703057531
0,8.1,1766703058270
0,7.4,1766703059118
0,5.3,1766703060479
0,8.3,1766703061238
0,6.7,1766703062182
0,5.5,1766703063402
0,8.4,1766703064099
0,6.5,1766703065112
0,6.0,1766703066292
0,8.4,1766703067016
0,5.6,1766703068161
0,6.6,1766703069190
0,8.5,1766703069845
0,5.6,1766703071020
0,7.0,1766703071945
0,8.1,1766703072671
0,5.4,1766703074024
0,7.4,1766703074878
0,7.9,1766703075745
0,5.3,1766703077070
0,8.3,1766703077782
0,7.4,1766703078673
0,5.8,1766703080010
0,7.9,1766703080750
0,6.9,1766703081766
0,6.3,1766703082899
0,7.7,1766703083727
0,6.2,1766703084871
0,7.1,1766703085850
0,7.8,1766703086654
0,6.4,1766703087876
0,7.5,1766703088846
0,7.7,1766703089607
0,6.0,1766703090818
0,7.8,1766703091763
0,7.1,1766703092698
0,6.5,1766703093906
0,7.6,1766703094772
0,7.0,1766703095756
0,6.9,1766703096925
0,7.7,1766703097831
0,6.8,1766703098875
0,7.1,1766703099858
0,7.7,1766703100747
0,6.2,1766703101853
0,6.9,1766703102867
0,8.1,1766703103666
0,6.1,1766703104903
0,7.6,1766703105827
0,7.5,1766703106646
0,6.0,1766703107808
0,8.4,1766703108674
0,6.6,1766703109703
0,6.4,1766703110854
0,8.4,1766703111602
0,5.8,1766703112708
0,7.0,1766703113711
0,8.4,1766703114424
0,5.1,1766703115801
0,8.0,1766703116640
0,8.0,1766703117387
0,5.3,1766703118713
0,8.3,1766703119496
0,6.9,1766703120504
