gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,1.0,1766698732681
0,0.85,1766698733697
0,0.95,1766698734859
0,1.0,1766698735784
0,1.0,1766698736585
0,1.0,1766698737746
0,0.94,1766698738597
0,1.0,1766698739502
0,0.83,1766698740683
0,1.0,1766698741459
0,0.93,1766698742390
0,1.0,1766698743543
0,0.85,1766698744353
0,0.91,1766698745340
0,0.99,1766698746302
0,0.86,1766698747097
0,0.97,1766698748319
0,0.84,1766698749174
0,0.85,1766698750089
0,0.95,1766698751153
0,0.98,1766698751976
0,0.85,1766698752938
0,1.0,1766698754071
0,1.0,1766698754878
0,0.85,1766698755948
0,0.83,1766698756920
0,1.0,1766698757751
0,1.0,1766698758806
0,0.84,1766698759609
0,0.98,1766698760369
0,0.85,1766698761364
0,0.81,1766698762131
0,1.0,1766698762818
0,0.97,1766698763691
0,1.0,1766698764518
0,1.0,1766698765290
0,1.0,1766698766190
0,0.86,1766698766962
0,0.98,1766698768082
0,0.86,1766698768874
0,0.84,1766698769570
0,1.0,1766698770497
0,1.0,1766698771313
0,1.0,1766698771986
0,0.85,1766698772908
0,0.84,1766698773617
0,1.0,1766698774295
0,0.83,1766698775068
0,0.8,1766698775840
0,0.84,1766698776667
0,0.84,1766698777687
0,0.85,1766698778468
0,0.84,1766698779195
0,0.97,1766698780267
0,0.85,1766698781150
0,1.0,1766698782147
0,1.0,1766698783282
0,1.0,1766698784170
0,0.86,1766698785272
0,1.0,1766698786292
0,0.94,1766698787278
0,1.0,1766698788532
0,0.85,1766698789514
0,0.84,1766698790413
1,0.84,1766698791593
1,1.0,1766698792401
1,0.88,1766698793594
1,1.0,1766698794697
1,1.0,1766698795640
1,0.85,1766698796929
1,0.86,1766698797906
1,1.0,1766698799089
1,0.89,1766698800180
1,0.85,1766698801273
1,0.99,1766698802467
1,0.84,1766698803420
1,0.94,1766698804703
1,1.0,1766698805752
1,0.84,1766698806836
1,0.85,1766698808013
1,0.86,1766698808937
1,1.0,1766698810186
1,0.97,1766698811245
1,0.82,1766698812390
1,1.0,1766698813382
1,0.98,1766698814375
1,0.97,1766698815677
1,1.0,1766698816734
1,0.86,1766698817835
1,0.85,1766698818898
1,1.0,1766698819871
1,1.0,1766698821084
1,1.0,1766698822067
1,1.0,1766698823239
1,1.0,1766698824315
1,0.93,1766698825391
1,0.86,1766698826530
1,1.0,1766698827619
1,0.82,1766698828770
1,1.0,1766698829924
1,1.0,1766698830956
1,0.99,1766698832063
1,0.83,1766698833181
1,1.0,1766698834218
1,1.0,1766698835384
1,0.88,1766698836445
1,0.83,1766698837512
1,0.98,1766698838659
1,0.85,1766698839761
1,0.97,1766698840836
1,0.82,1766698841858
1,1.0,1766698842956
1,0.97,1766698843979
1,1.0,1766698845137
1,1.0,1766698846298
1,1.0,1766698847379
1,0.92,1766698848583
1,1.0,1766698849545
1,0.82,1766698850784
1,0.88,1766698851808
1,0.85,1766698852906
1,0.85,1766698854041
1,1.0,1766698855037
1,1.0,1766698856271
1,0.86,1766698857275
1,0.85,1766698858492
1,1.0,1766698859550
1,0.87,1766698860561
2,0.85,1766698861695
2,1.0,1766698862628
2,1.0,1766698863784
2,1.0,1766698864827
2,1.0,1766698865728
2,0.82,1766698866958
2,1.0,1766698867827
2,0.85,1766698868872
2,0.85,1766698869990
2,0.86,1766698870974
2,0.85,1766698872232
2,0.98,1766698873212
2,1.0,1766698874369
2,1.0,1766698875421
2,0.97,1766698876401
2,0.92,1766698877727
2,0.83,1766698878571
2,1.0,1766698879637
2,0.99,1766698880814
2,0.84,1766698881742
2,1.0,1766698883006
2,1.0,1766698884010
2,1.0,1766698885183
2,0.84,1766698886224
2,1.0,1766698887159
2,0.85,1766698888469
2,0.94,1766698889376
2,1.0,1766698890486
2,1.0,1766698891666
2,0.85,1766698892641
2,1.0,1766698893934
2,1.0,1766698894891
2,1.0,1766698895971
2,1.0,1766698897156
2,0.86,1766698898095
2,0.99,1766698899380
2,1.0,1766698900398
2,0.87,1766698901305
2,0.87,1766698902505
2,0.99,1766698903418
2,0.85,1766698904594
2,0.85,1766698905665
2,0.82,1766698906627
2,0.99,1766698907855
2,1.0,1766698908765
2,0.92,1766698909905
2,0.83,1766698910982
2,0.85,1766698911983
2,0.84,1766698913261
2,0.86,1766698914142
2,1.0,1766698915262
2,0.94,1766698916431
2,1.0,1766698917370
2,0.84,1766698918623
2,0.84,1766698919593
2,0.85,1766698920560
2,1.0,1766698921783
2,0.84,1766698922739
2,0.84,1766698923950
2,1.0,1766698924953
2,0.95,1766698926058
2,0.82,1766698927273
2,0.83,1766698928288
2,1.0,1766698929624
3,0.99,1766698930525
3,1.0,1766698931678
3,0.84,1766698932721
3,0.86,1766698933660
3,0.85,1766698934942
3,0.99,1766698935874
3,1.0,1766698936977
3,0.85,1766698938036
3,1.0,1766698938815
3,0.8,1766698939962
3,0.9,1766698940822
3,0.83,1766698941603
3,1.0,1766698942688
3,0.8,1766698943484
3,0.85,1766698944265
3,0.89,1766698945534
3,0.83,1766698946374
3,0.82,1766698947280
