gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,69.0,1766699993492
0,68.0,1766699994575
0,69.0,1766699995561
0,69.0,1766699996366
0,69.0,1766699997117
0,69.0,1766699998122
0,68.0,1766699998951
0,69.0,1766699999874
0,69.0,1766700000878
0,69.0,1766700001638
0,68.0,1766700002607
0,69.0,1766700003547
0,69.0,1766700004462
0,69.0,1766700005499
0,68.0,1766700006311
0,69.0,1766700007156
0,69.0,1766700008190
0,68.0,1766700009096
0,69.0,1766700009961
0,69.0,1766700010821
0,68.0,1766700011585
0,69.0,1766700012511
0,69.0,1766700013526
0,68.0,1766700014223
0,68.0,1766700015194
0,69.0,1766700016126
0,69.0,1766700016972
0,68.0,1766700017924
0,69.0,1766700018827
0,69.0,1766700019744
0,69.0,1766700020638
0,69.0,1766700021610
0,68.0,1766700022562
0,69.0,1766700023480
0,69.0,1766700024498
0,68.0,1766700025394
0,69.0,1766700026205
0,69.0,1766700027228
0,69.0,1766700028050
0,69.0,1766700028823
0,69.0,1766700029861
0,69.0,1766700030675
0,69.0,1766700031436
0,69.0,1766700032502
0,68.0,1766700033375
0,69.0,1766700034224
0,69.0,1766700035257
0,69.0,1766700036023
0,69.0,1766700036811
0,69.0,1766700037930
0,69.0,1766700038687
0,69.0,1766700039459
0,69.0,1766700040563
0,69.0,1766700041331
0,69.0,1766700042129
0,69.0,1766700043299
0,69.0,1766700044055
0,69.0,1766700044918
0,69.0,1766700046083
0,69.0,1766700046861
0,68.0,1766700047612
0,68.0,1766700048712
0,69.0,1766700049486
0,69.0,1766700050411
0,69.0,1766700051560
0,69.0,1766700052258
0,69.0,1766700053032
0,69.0,1766700054180
0,69.0,1766700054911
0,69.0,1766700055709
0,68.0,1766700056823
0,68.0,1766700057569
0,69.0,1766700058357
0,69.0,1766700059487
0,69.0,1766700060218
0,69.0,1766700061077
0,69.0,1766700062206
0,69.0,1766700062942
0,69.0,1766700063869
0,69.0,1766700065019
0,69.0,1766700065745
0,69.0,1766700066653
0,68.0,1766700067723
0,68.0,1766700068443
0,69.0,1766700069289
0,69.0,1766700070376
0,69.0,1766700071133
0,69.0,1766700071890
0,69.0,1766700072949
0,68.0,1766700073694
0,68.0,1766700074484
0,69.0,1766700075620
0,68.0,1766700076424
0,69.0,1766700077285
0,69.0,1766700078327
0,69.0,1766700079019
0,69.0,1766700079786
0,69.0,1766700080821
0,69.0,1766700081471
0,69.0,1766700082064
0,69.0,1766700082960
0,69.0,1766700083785
0,69.0,1766700084361
0,68.0,1766700085099
0,69.0,1766700086017
0,69.0,1766700086599
0,69.0,1766700087203
0,69.0,1766700087884
0,69.0,1766700088781
0,69.0,1766700089361
0,69.0,1766700089903
0,68.0,1766700090878
0,69.0,1766700091635
0,69.0,1766700092220
0,68.0,1766700092893
0,68.0,1766700093652
0,69.0,1766700094398
0,69.0,1766700095059
0,69.0,1766700095897
0,69.0,1766700096658
0,69.0,1766700097345
0,69.0,1766700098318
0,69.0,1766700099291
0,69.0,1766700100146
0,69.0,1766700101011
0,69.0,1766700101881
0,69.0,1766700102748
0,69.0,1766700103609
0,68.0,1766700104533
0,69.0,1766700105505
0,69.0,1766700106295
0,69.0,1766700107233
0,69.0,1766700108297
0,69.0,1766700109092
0,69.0,1766700110002
0,69.0,1766700110963
0,69.0,1766700111712
0,68.0,1766700112603
0,69.0,1766700113498
0,69.0,1766700114292
0,69.0,1766700115216
0,69.0,1766700116226
0,68.0,1766700116963
0,69.0,1766700117837
0,69.0,1766700118811
0,69.0,1766700119498
0,69.0,1766700120446
0,69.0,1766700121465
0,69.0,1766700122164
0,69.0,1766700122979
0,69.0,1766700124091
0,69.0,1766700124891
0,69.0,1766700125730
0,69.0,1766700126774
0,69.0,1766700127521
0,69.0,1766700128416
0,68.0,1766700129491
0,64.0,1766700130193
0,69.0,1766700131034
