gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,70.0,1766704665908
0,70.0,1766704666859
0,70.0,1766704668005
0,70.0,1766704669019
0,71.0,1766704669746
0,71.0,1766704670718
0,70.0,1766704671728
0,70.0,1766704672581
0,71.0,1766704673776
0,70.0,1766704674715
0,70.0,1766704675539
0,71.0,1766704676766
0,70.0,1766704677626
0,70.0,1766704678496
0,71.0,1766704679666
0,70.0,1766704680521
0,70.0,1766704681466
0,71.0,1766704682648
0,70.0,1766704683469
0,71.0,1766704684519
0,70.0,1766704685563
0,71.0,1766704686306
0,70.0,1766704687289
0,70.0,1766704688345
0,71.0,1766704689170
0,71.0,1766704690257
0,71.0,1766704691294
0,71.0,1766704692079
0,71.0,1766704693254
0,71.0,1766704694139
0,71.0,1766704694983
0,71.0,1766704696255
0,71.0,1766704697053
0,71.0,1766704697919
0,70.0,1766704699070
0,71.0,1766704699874
0,71.0,1766704700740
0,71.0,1766704701952
0,70.0,1766704702722
0,71.0,1766704703753
0,70.0,1766704704810
0,70.0,1766704705621
0,71.0,1766704706696
0,71.0,1766704707722
0,70.0,1766704708597
0,71.0,1766704709746
0,70.0,1766704710670
0,71.0,1766704711547
0,71.0,1766704712735
0,71.0,1766704713532
0,71.0,1766704714444
0,71.0,1766704715565
0,71.0,1766704716328
0,71.0,1766704717360
0,71.0,1766704718409
0,70.0,1766704719200
0,71.0,1766704720195
0,71.0,1766704721201
0,71.0,1766704722034
0,71.0,1766704723150
0,71.0,1766704724146
0,71.0,1766704724933
0,71.0,1766704726006
0,71.0,1766704726792
0,71.0,1766704727647
0,71.0,1766704728847
0,71.0,1766704729783
0,71.0,1766704730658
0,70.0,1766704731755
0,71.0,1766704732648
0,71.0,1766704733638
0,71.0,1766704734630
0,71.0,1766704735383
0,71.0,1766704736284
0,71.0,1766704737453
0,71.0,1766704738301
0,71.0,1766704739425
0,71.0,1766704740357
0,71.0,1766704741210
0,71.0,1766704742379
0,71.0,1766704743260
0,71.0,1766704744161
0,71.0,1766704745333
0,71.0,1766704746179
0,70.0,1766704747080
0,71.0,1766704748211
0,71.0,1766704749062
0,71.0,1766704750029
0,71.0,1766704750909
0,71.0,1766704751783
0,71.0,1766704752929
0,71.0,1766704753806
0,71.0,1766704754547
0,71.0,1766704755740
0,70.0,1766704756542
