gpu_power_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.0,1766705155887
0,0.0,1766705158577
0,0.0,1766705161422
0,0.0,1766705164137
0,0.0,1766705166757
0,0.0,1766705169385
0,0.0,1766705172081
0,0.0,1766705174760
0,0.0,1766705177431
0,0.0,1766705180006
0,0.0,1766705182525
0,0.0,1766705184965
0,0.0,1766705187622
0,0.0,1766705190184
0,0.0,1766705192810
0,0.0,1766705195497
0,0.0,1766705198151
0,0.0,1766705200688
0,0.0,1766705203149
0,0.0,1766705205677
0,0.0,1766705208197
0,0.0,1766705210601
0,0.0,1766705212945
0,0.0,1766705215226
0,0.0,1766705217805
0,0.0,1766705220388
0,0.0,1766705222966
0,0.0,1766705225571
0,0.0,1766705228269
0,0.0,1766705230996
0,0.0,1766705233637
0,0.0,1766705236331
0,0.0,1766705239045
0,0.0,1766705241802
0,0.0,1766705244366
0,0.0,1766705246992
0,0.0,1766705249687
0,0.0,1766705252297
0,0.0,1766705254945
0,0.0,1766705257545
0,0.0,1766705260206
0,0.0,1766705262617
0,0.0,1766705265175
0,0.0,1766705267722
0,0.0,1766705270214
0,0.0,1766705272624
0,0.0,1766705275177
0,0.0,1766705277747
0,0.0,1766705280425
0,0.0,1766705282879
0,0.0,1766705285545
0,0.0,1766705288165
0,0.0,1766705290992
0,0.0,1766705293576
0,0.0,1766705296329
0,0.0,1766705298901
0,0.0,1766705301631
0,0.0,1766705304147
0,0.0,1766705306528
0,0.0,1766705309255
0,0.0,1766705311944
0,0.0,1766705314707
0,0.0,1766705317223
0,0.0,1766705320022
0,0.0,1766705322761
0,0.0,1766705325414
0,0.0,1766705328062
0,0.0,1766705330754
0,0.0,1766705333197
0,0.0,1766705335934
0,0.0,1766705338439
0,0.0,1766705340951
0,0.0,1766705343639
0,0.0,1766705346245
0,0.0,1766705349101
0,0.0,1766705351760
0,0.0,1766705354453
0,0.0,1766705356989
0,0.0,1766705359924
0,0.0,1766705362514
0,0.0,1766705365212
0,0.0,1766705367878
0,0.0,1766705370417
0,0.0,1766705372970
0,0.0,1766705375751
0,0.0,1766705378398
0,0.0,1766705381077
0,0.0,1766705383626
0,0.0,1766705386302
0,0.0,1766705388893
0,0.0,1766705391539
0,0.0,1766705394333
0,0.0,1766705396993
0,0.0,1766705399670
0,0.0,1766705402423
0,0.0,1766705405065
0,0.0,1766705407742
0,0.0,1766705410439
0,0.0,1766705413097
0,0.0,1766705415883
0,0.0,1766705418493
0,0.0,1766705421090
0,0.0,1766705423615
0,0.0,1766705425951
0,0.0,1766705428939
0,0.0,1766705431458
0,0.0,1766705434097
0,0.0,1766705436707
0,0.0,1766705439349
0,0.0,1766705442156
0,0.0,1766705444849
0,0.0,1766705447574
0,0.0,1766705450247
0,0.0,1766705452880
0,0.0,1766705455622
0,0.0,1766705458345
0,0.0,1766705460869
0,0.0,1766705463569
0,0.0,1766705465999
0,0.0,1766705468873
0,0.0,1766705471393
0,0.0,1766705474070
0,0.0,1766705476762
0,0.0,1766705479470
0,0.0,1766705482119
0,0.0,1766705484805
0,0.0,1766705487399
0,0.0,1766705490095
0,0.0,1766705492631
0,0.0,1766705495155
0,0.0,1766705497561
0,0.0,1766705500251
0,0.0,1766705502954
0,0.0,1766705505613
0,0.0,1766705508182
0,0.0,1766705510800
0,0.0,1766705513482
0,0.0,1766705516142
0,0.0,1766705518865
0,0.0,1766705521457
0,0.0,1766705524177
0,0.0,1766705526805
0,0.0,1766705529499
0,0.0,1766705532105
0,0.0,1766705534530
0,0.0,1766705537169
0,0.0,1766705539641
0,0.0,1766705542289
0,0.0,1766705545056
0,0.0,1766705547585
0,0.0,1766705550027
0,0.0,1766705552607
0,0.0,1766705555307
0,0.0,1766705557933
0,0.0,1766705560676
0,0.0,1766705563351
0,0.0,1766705565877
0,0.0,1766705568798
0,0.0,1766705571308
0,0.0,1766705573700
0,0.0,1766705576417
0,0.0,1766705579057
0,0.0,1766705581945
0,0.0,1766705584628
0,0.0,1766705587339
0,0.0,1766705590015
0,0.0,1766705592643
0,0.0,1766705595094
0,0.0,1766705597599
0,0.0,1766705600217
0,0.0,1766705602778
0,0.0,1766705605553
0,0.0,1766705608149
0,0.0,1766705610842
0,0.0,1766705613488
0,0.0,1766705615996
0,0.0,1766705618655
0,0.0,1766705621314
0,0.0,1766705624171
0,0.0,1766705626878
0,0.0,1766705629426
0,0.0,1766705632046
0,0.0,1766705634672
0,0.0,1766705637345
0,0.0,1766705640191
0,0.0,1766705642859
0,0.0,1766705645496
0,0.0,1766705648165
0,0.0,1766705650916
0,0.0,1766705653465
0,0.0,1766705656066
0,0.0,1766705658602
0,0.0,1766705661308
0,0.0,1766705663796
0,0.0,1766705666443
0,0.0,1766705669132
0,0.0,1766705672012
0,0.0,1766705674769
0,0.0,1766705677551
0,0.0,1766705680325
0,0.0,1766705683068
0,0.0,1766705685757
0,0.0,1766705688652
0,0.0,1766705691460
0,0.0,1766705694161
0,0.0,1766705697035
0,0.0,1766705699841
0,0.0,1766705702635
0,0.0,1766705705430
0,0.0,1766705708184
0,0.0,1766705710836
0,0.0,1766705713598
0,0.0,1766705716315
0,0.0,1766705719127
0,0.0,1766705721856
0,0.0,1766705724602
0,0.0,1766705727326
0,0.0,1766705730169
0,0.0,1766705733007
0,0.0,1766705735800
0,0.0,1766705738476
0,0.0,1766705741216
0,0.0,1766705743956
0,0.0,1766705746836
0,0.0,1766705749494
0,0.0,1766705752222
0,0.0,1766705754972
0,0.0,1766705757731
0,0.0,1766705760602
0,0.0,1766705763387
0,0.0,1766705766113
0,0.0,1766705768853
0,0.0,1766705771555
0,0.0,1766705774332
0,0.0,1766705777035
0,0.0,1766705779760
0,0.0,1766705782515
0,0.0,1766705785206
0,0.0,1766705787817
0,0.0,1766705790579
0,0.0,1766705793139
0,0.0,1766705795754
0,0.0,1766705798669
0,0.0,1766705801286
0,0.0,1766705803933
0,0.0,1766705806669
0,0.0,1766705809131
0,0.0,1766705811553
0,0.0,1766705814372
0,0.0,1766705816979
0,0.0,1766705819729
0,0.0,1766705822332
0,0.0,1766705824837
0,0.0,1766705827589
0,0.0,1766705830360
0,0.0,1766705832986
0,0.0,1766705835609
0,0.0,1766705838293
0,0.0,1766705840888
0,0.0,1766705843621
0,0.0,1766705846122
0,0.0,1766705848706
0,0.0,1766705851578
0,0.0,1766705854186
0,0.0,1766705856992
0,0.0,1766705859630
0,0.0,1766705862172
0,0.0,1766705865065
0,0.0,1766705867773
0,0.0,1766705870392
0,0.0,1766705873129
0,0.0,1766705875822
0,0.0,1766705878373
0,0.0,1766705880939
0,0.0,1766705883603
0,0.0,1766705886171
0,0.0,1766705889040
0,0.0,1766705891703
0,0.0,1766705894485
0,0.0,1766705897233
