memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,5.6,1766705154728
0,5.6,1766705157495
0,5.6,1766705160302
0,5.6,1766705162959
0,5.6,1766705165669
0,5.6,1766705168281
0,5.5,1766705170910
0,5.5,1766705173609
0,5.5,1766705176296
0,5.5,1766705178972
0,5.5,1766705181537
0,5.5,1766705184064
0,5.5,1766705186505
0,5.5,1766705189162
0,5.5,1766705191722
0,5.5,1766705194351
0,5.5,1766705197040
0,5.5,1766705199688
0,5.4,1766705202232
0,5.4,1766705204833
0,5.4,1766705207221
0,5.4,1766705209742
0,5.4,1766705212149
0,5.4,1766705214494
0,5.4,1766705216937
0,5.4,1766705219351
0,5.4,1766705221934
0,5.4,1766705224516
0,5.4,1766705227120
0,5.4,1766705229823
0,5.4,1766705232543
0,5.4,1766705235184
0,5.4,1766705237877
0,5.4,1766705240592
0,5.4,1766705243351
0,5.4,1766705245917
0,5.4,1766705248544
0,5.4,1766705251245
0,5.4,1766705253856
0,5.4,1766705256499
0,5.4,1766705259099
0,5.4,1766705261763
0,5.4,1766705264175
0,5.4,1766705266733
0,5.4,1766705269282
0,5.4,1766705271769
0,5.4,1766705274188
0,5.4,1766705276841
0,5.4,1766705279481
0,5.4,1766705281982
0,5.4,1766705284662
0,5.4,1766705287344
0,5.4,1766705289994
0,5.4,1766705292663
0,5.4,1766705295338
0,5.4,1766705298015
0,5.4,1766705300687
0,5.4,1766705303338
0,5.4,1766705305716
0,5.4,1766705308384
0,5.4,1766705311035
0,5.4,1766705313752
0,5.4,1766705316423
0,5.4,1766705319083
0,5.4,1766705321775
0,5.4,1766705324438
0,5.4,1766705327113
0,5.4,1766705329794
0,5.4,1766705332324
0,5.4,1766705335002
0,5.4,1766705337686
0,5.4,1766705340037
0,5.4,1766705342695
0,5.4,1766705345448
0,5.4,1766705348141
0,5.4,1766705350797
0,5.4,1766705353446
0,5.4,1766705356142
0,5.4,1766705358857
0,5.4,1766705361508
0,5.4,1766705364135
0,5.4,1766705366792
0,5.4,1766705369455
0,5.4,1766705371985
0,5.4,1766705374550
0,5.4,1766705377325
0,5.4,1766705379993
0,5.4,1766705382701
0,5.4,1766705385191
0,5.4,1766705387894
0,5.4,1766705390464
0,5.4,1766705393160
0,5.4,1766705395906
0,5.4,1766705398608
0,5.4,1766705401317
0,5.4,1766705404005
0,5.4,1766705406649
0,5.4,1766705409314
0,5.4,1766705412014
0,5.4,1766705414714
0,5.4,1766705417458
0,5.4,1766705420058
0,5.4,1766705422658
0,5.4,1766705425194
0,5.4,1766705427885
0,5.4,1766705430572
0,5.4,1766705433127
0,5.4,1766705435814
0,5.4,1766705438497
0,5.4,1766705441171
0,5.4,1766705443877
0,5.4,1766705446533
0,5.4,1766705449182
0,5.4,1766705451869
0,5.4,1766705454580
0,5.4,1766705457229
0,5.4,1766705459937
0,5.4,1766705462649
0,5.4,1766705465140
0,5.4,1766705467837
0,5.4,1766705470494
0,5.4,1766705473121
0,5.4,1766705475813
0,5.4,1766705478512
0,5.4,1766705481190
0,5.4,1766705483840
0,5.4,1766705486539
0,5.4,1766705489243
0,5.4,1766705491673
0,5.4,1766705494306
0,5.4,1766705496730
0,5.4,1766705499418
0,5.4,1766705502062
0,5.4,1766705504743
0,5.4,1766705507207
0,5.4,1766705509899
0,5.4,1766705512550
0,5.4,1766705515251
0,5.4,1766705517945
0,5.4,1766705520554
0,5.4,1766705523256
0,5.4,1766705525891
0,5.4,1766705528586
0,5.4,1766705531222
0,5.4,1766705533669
0,5.4,1766705536272
0,5.4,1766705538741
0,5.4,1766705541409
0,5.4,1766705544057
0,5.4,1766705546769
0,5.4,1766705549159
0,5.4,1766705551789
0,5.4,1766705554447
0,5.4,1766705557095
0,5.4,1766705559788
0,5.4,1766705562482
0,5.4,1766705565149
0,5.4,1766705567830
0,5.4,1766705570475
0,5.4,1766705572880
0,5.4,1766705575573
0,5.4,1766705578270
0,5.4,1766705580981
0,5.4,1766705583689
0,5.4,1766705586366
0,5.4,1766705589059
0,5.4,1766705591703
0,5.4,1766705594216
0,5.4,1766705596723
0,5.4,1766705599419
0,5.4,1766705601973
0,5.4,1766705604637
0,5.4,1766705607291
0,5.4,1766705609934
0,5.4,1766705612626
0,5.4,1766705615061
0,5.4,1766705617726
0,5.4,1766705620378
0,5.4,1766705623079
0,5.4,1766705625774
0,5.4,1766705628458
0,5.4,1766705631132
0,5.4,1766705633771
0,5.4,1766705636483
0,5.4,1766705639125
0,5.4,1766705641767
0,5.4,1766705644434
0,5.4,1766705647062
0,5.4,1766705649739
0,5.4,1766705652487
0,5.4,1766705655035
0,5.4,1766705657676
0,5.4,1766705660296
0,5.4,1766705662873
0,5.4,1766705665523
0,5.2,1766705668224
0,5.2,1766705670940
0,5.3,1766705673641
0,5.4,1766705676352
0,5.4,1766705679122
0,5.4,1766705681905
0,5.4,1766705684642
0,5.4,1766705687331
0,5.4,1766705690224
0,5.4,1766705693030
0,5.4,1766705695734
0,5.4,1766705698605
0,5.4,1766705701413
0,5.4,1766705704210
0,5.4,1766705706999
0,5.4,1766705709755
0,5.4,1766705712438
0,5.4,1766705715169
0,5.4,1766705717884
0,5.4,1766705720701
0,5.4,1766705723438
0,5.4,1766705726173
0,5.4,1766705728895
0,5.4,1766705731743
0,5.4,1766705734579
0,5.4,1766705737374
0,5.4,1766705740045
0,5.4,1766705742791
0,5.4,1766705745527
0,5.4,1766705748401
0,5.4,1766705751075
0,5.4,1766705753792
0,5.4,1766705756547
0,5.4,1766705759313
0,5.4,1766705762178
0,5.4,1766705764968
0,5.4,1766705767686
0,5.4,1766705770430
0,5.4,1766705773128
0,5.4,1766705775903
0,5.4,1766705778617
0,5.4,1766705781335
0,5.4,1766705784092
0,5.4,1766705786799
0,5.4,1766705789497
0,5.4,1766705792186
0,5.4,1766705794877
0,5.4,1766705797567
0,5.4,1766705800239
0,5.4,1766705802942
0,5.4,1766705805606
0,5.4,1766705808250
0,5.4,1766705810707
0,5.4,1766705813414
0,5.4,1766705816118
0,5.4,1766705818765
0,5.4,1766705821436
0,5.4,1766705823906
0,5.4,1766705826608
0,5.4,1766705829306
0,5.4,1766705832002
0,5.4,1766705834644
0,5.4,1766705837191
0,5.4,1766705839869
0,5.4,1766705842543
0,5.4,1766705845204
0,5.4,1766705847799
0,5.4,1766705850466
0,5.4,1766705853155
0,5.4,1766705855851
0,5.4,1766705858566
0,5.4,1766705861246
0,5.4,1766705863896
0,5.4,1766705866646
0,5.4,1766705869351
0,5.4,1766705872039
0,5.4,1766705874732
0,5.4,1766705877428
0,5.4,1766705879947
0,5.4,1766705882612
0,5.4,1766705885173
0,5.4,1766705887832
0,5.4,1766705890612
0,5.4,1766705893280
0,5.4,1766705896060
0,5.4,1766705898810
0,5.4,1766705901454
0,5.4,1766705904143
0,5.4,1766705906913
0,5.4,1766705909504
0,5.4,1766705912189
0,5.4,1766705914886
0,5.4,1766705917492
0,5.4,1766705920202
0,5.4,1766705922733
0,5.4,1766705925529
0,5.4,1766705928250
0,5.4,1766705930937
0,5.4,1766705933651
0,5.4,1766705936347
0,5.4,1766705938998
0,5.4,1766705941607
0,5.4,1766705944274
0,5.4,1766705946969
0,5.4,1766705949659
0,5.4,1766705952354
0,5.4,1766705955048
0,5.4,1766705957746
0,5.4,1766705960428
0,5.4,1766705963125
0,5.4,1766705965809
0,5.4,1766705968509
0,5.4,1766705971206
0,5.4,1766705973900
0,5.4,1766705976424
0,5.4,1766705979002
0,5.4,1766705981650
0,5.4,1766705984331
0,5.4,1766705987008
0,5.4,1766705989715
0,5.4,1766705992396
0,5.4,1766705995118
0,5.4,1766705997816
0,5.4,1766706000530
0,5.4,1766706003218
0,5.4,1766706005916
0,5.4,1766706008611
0,5.4,1766706011270
0,5.4,1766706013901
0,5.4,1766706016533
0,5.4,1766706019228
0,5.4,1766706021863
0,5.4,1766706024641
0,5.4,1766706027335
0,5.4,1766706030060
0,5.4,1766706032915
0,5.4,1766706035650
0,5.4,1766706038454
0,5.4,1766706041198
0,5.4,1766706043892
0,5.4,1766706046590
0,5.4,1766706049370
0,5.4,1766706052158
0,5.4,1766706054914
0,5.4,1766706057612
0,5.4,1766706060300
0,5.4,1766706063005
0,5.4,1766706065713
0,5.4,1766706068427
0,5.4,1766706071143
0,5.4,1766706073859
0,5.4,1766706076530
