memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,5.5,1766699032875
0,5.4,1766699035294
0,5.4,1766699037874
0,5.3,1766699040481
0,5.3,1766699043053
0,5.3,1766699045702
0,5.3,1766699048272
0,5.3,1766699051043
0,5.3,1766699053811
0,5.3,1766699056477
0,5.3,1766699059213
0,5.3,1766699062034
0,5.3,1766699064805
0,5.1,1766699067400
0,5.2,1766699069921
0,5.2,1766699072634
0,5.3,1766699075282
0,5.3,1766699077943
0,5.3,1766699080575
0,5.3,1766699083351
0,5.3,1766699086095
0,5.3,1766699088852
0,5.3,1766699091500
0,5.3,1766699094209
0,5.3,1766699096735
0,5.3,1766699099451
0,5.3,1766699102172
0,5.3,1766699104593
0,5.3,1766699107303
0,5.3,1766699109796
0,5.3,1766699112506
0,5.3,1766699114892
0,5.3,1766699117357
0,5.3,1766699119924
0,5.3,1766699122439
0,5.3,1766699125014
0,5.3,1766699127608
0,5.3,1766699130186
0,5.3,1766699132823
0,5.3,1766699135535
0,5.3,1766699138246
0,5.3,1766699140892
0,5.3,1766699143532
0,5.3,1766699146208
0,5.3,1766699148955
0,5.3,1766699151687
0,5.3,1766699154240
0,5.3,1766699156910
0,5.3,1766699159541
0,5.3,1766699162197
0,5.1,1766699164933
0,5.2,1766699167478
0,5.2,1766699169780
0,5.2,1766699172303
0,5.3,1766699174681
0,5.3,1766699177275
0,5.3,1766699179834
0,5.3,1766699182532
0,5.3,1766699185258
0,5.3,1766699187978
0,5.3,1766699190722
0,5.3,1766699193495
0,5.2,1766699196105
0,5.2,1766699198734
1,5.2,1766699201396
1,5.4,1766699204021
1,5.3,1766699206568
1,5.2,1766699209121
1,5.2,1766699211691
1,5.4,1766699214025
1,5.8,1766699216381
1,6.1,1766699218808
1,6.5,1766699221244
1,5.5,1766699223925
1,5.4,1766699226530
1,5.4,1766699229189
1,5.3,1766699231804
1,5.3,1766699234467
1,5.3,1766699237318
1,5.3,1766699240058
1,5.3,1766699242782
1,5.3,1766699245642
1,5.3,1766699248461
1,5.3,1766699251297
1,5.3,1766699254081
1,5.3,1766699256865
1,5.3,1766699259668
1,5.3,1766699262449
1,5.3,1766699265267
1,5.3,1766699268092
1,5.3,1766699270926
1,5.3,1766699273748
1,5.3,1766699276534
1,5.3,1766699279311
1,5.3,1766699282172
1,5.3,1766699284878
1,5.3,1766699287686
1,5.3,1766699290570
1,5.3,1766699293335
1,5.3,1766699296059
1,5.3,1766699298878
1,5.3,1766699301665
1,5.3,1766699304481
1,5.1,1766699307076
1,5.2,1766699309796
1,5.2,1766699312437
1,5.2,1766699315336
1,5.3,1766699318014
1,5.3,1766699320798
1,5.3,1766699323702
1,5.3,1766699326577
1,5.3,1766699329569
1,5.3,1766699332235
1,5.3,1766699335041
1,5.3,1766699337852
1,5.3,1766699340717
1,5.3,1766699343495
1,5.3,1766699346207
1,5.3,1766699348826
1,5.3,1766699351558
1,5.3,1766699354220
1,5.3,1766699357140
1,5.3,1766699360017
1,5.3,1766699362793
1,5.3,1766699365565
1,5.3,1766699368369
1,5.3,1766699371271
1,5.3,1766699374133
2,5.3,1766699376922
2,5.3,1766699379731
2,5.3,1766699382572
2,5.3,1766699385381
2,5.3,1766699387938
2,5.3,1766699390727
2,5.3,1766699393550
2,5.3,1766699396345
2,5.3,1766699399204
2,5.3,1766699401963
2,5.3,1766699404705
2,5.2,1766699407165
2,5.0,1766699409719
2,5.1,1766699412441
2,5.4,1766699414808
2,5.4,1766699417539
2,5.4,1766699420362
2,5.4,1766699423193
2,5.4,1766699426031
2,5.4,1766699428740
2,5.4,1766699431563
2,5.3,1766699434329
2,5.3,1766699437112
2,5.3,1766699439843
2,5.3,1766699442566
2,5.3,1766699445310
2,5.3,1766699448048
2,5.3,1766699450858
2,5.3,1766699453561
2,5.3,1766699456265
2,5.3,1766699458847
2,5.3,1766699461507
2,5.3,1766699463921
2,5.3,1766699466474
2,5.3,1766699468940
2,5.3,1766699471363
2,5.3,1766699473700
2,5.3,1766699476416
2,5.1,1766699478846
2,5.2,1766699481400
2,5.2,1766699484007
2,5.4,1766699486546
2,5.7,1766699489145
2,6.1,1766699491823
2,6.5,1766699494499
2,6.1,1766699497126
2,5.4,1766699499746
2,5.3,1766699502381
2,5.3,1766699505284
2,5.3,1766699508009
2,5.3,1766699510600
2,5.3,1766699513323
2,5.3,1766699515870
2,5.3,1766699518330
2,5.3,1766699520880
2,5.3,1766699523256
2,5.3,1766699525989
2,5.3,1766699528426
2,5.3,1766699531178
2,5.3,1766699533857
2,5.3,1766699536567
2,5.3,1766699539325
2,5.3,1766699542075
2,5.3,1766699544922
3,5.3,1766699547778
3,5.3,1766699550527
3,5.3,1766699553344
3,5.3,1766699556079
3,5.3,1766699558851
3,5.3,1766699561550
3,5.3,1766699564296
3,5.3,1766699566910
3,5.3,1766699569619
3,5.3,1766699572208
3,5.3,1766699574776
3,5.3,1766699577224
3,5.3,1766699579771
3,5.3,1766699582173
3,5.3,1766699584718
3,5.3,1766699587078
3,5.3,1766699589557
3,5.3,1766699592243
3,5.3,1766699594991
3,5.3,1766699597773
3,5.3,1766699600525
3,5.3,1766699603307
3,5.3,1766699606014
3,5.3,1766699608703
3,5.3,1766699611501
3,5.3,1766699614284
3,5.3,1766699617122
3,5.3,1766699619933
3,5.3,1766699622851
3,5.3,1766699625660
3,5.3,1766699628434
3,5.3,1766699631101
3,5.3,1766699633792
3,5.3,1766699636500
3,5.3,1766699639284
3,5.3,1766699642025
3,5.3,1766699644774
3,5.3,1766699647520
3,5.3,1766699650320
3,5.3,1766699653113
3,5.3,1766699655948
