gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.85,1766702334197
0,0.98,1766702335558
0,0.84,1766702336197
0,0.84,1766702336980
0,0.82,1766702338195
0,0.84,1766702338921
0,1.0,1766702339637
0,0.99,1766702340866
0,1.0,1766702341669
0,0.98,1766702342409
0,0.84,1766702343681
0,1.0,1766702344461
0,0.99,1766702345120
0,0.85,1766702346268
0,1.0,1766702347013
0,0.84,1766702347706
0,1.0,1766702348748
0,0.83,1766702349647
0,1.0,1766702350283
0,0.85,1766702351097
0,0.88,1766702352342
0,1.0,1766702352971
0,1.0,1766702353899
0,1.0,1766702355022
0,0.83,1766702355639
0,0.85,1766702356454
0,0.84,1766702357537
0,1.0,1766702358238
0,0.98,1766702359117
0,0.82,1766702360157
0,0.85,1766702360939
0,1.0,1766702361839
0,0.98,1766702362830
0,1.0,1766702363586
0,0.98,1766702364518
0,0.86,1766702365604
0,0.89,1766702366430
0,1.0,1766702367270
0,0.85,1766702368360
0,0.84,1766702369303
0,1.0,1766702370087
0,1.0,1766702371109
0,0.97,1766702371956
0,0.85,1766702372785
0,1.0,1766702373698
0,1.0,1766702374444
0,1.0,1766702375277
0,0.95,1766702376251
0,0.93,1766702377013
0,0.83,1766702377799
0,1.0,1766702378841
0,1.0,1766702379745
0,0.86,1766702380541
0,1.0,1766702381621
0,0.83,1766702382614
0,1.0,1766702383469
0,0.86,1766702384616
0,0.85,1766702385463
0,0.85,1766702386407
0,0.99,1766702387597
0,0.91,1766702388346
0,0.85,1766702389153
0,0.96,1766702390174
0,0.99,1766702391130
0,1.0,1766702391885
0,1.0,1766702393039
0,1.0,1766702393969
0,1.0,1766702394737
0,1.0,1766702395864
0,1.0,1766702396685
0,0.99,1766702397421
0,0.84,1766702398475
0,0.81,1766702399353
0,1.0,1766702400120
0,0.99,1766702401238
0,0.85,1766702402075
0,1.0,1766702402861
0,0.85,1766702403871
0,0.94,1766702404681
0,0.99,1766702405508
0,1.0,1766702406539
0,0.79,1766702407443
0,1.0,1766702408290
0,0.84,1766702409542
0,1.0,1766702410336
0,0.84,1766702411167
0,0.85,1766702412301
0,1.0,1766702413099
0,1.0,1766702413871
0,0.88,1766702414892
0,1.0,1766702415611
0,1.0,1766702416381
0,0.84,1766702417475
0,0.84,1766702418333
0,0.83,1766702419142
0,0.85,1766702420096
0,0.85,1766702420962
0,0.82,1766702421664
0,0.84,1766702422768
0,0.94,1766702423730
0,0.99,1766702424471
0,1.0,1766702425636
0,0.84,1766702426430
0,1.0,1766702427037
0,1.0,1766702428033
0,0.84,1766702429032
0,0.85,1766702429777
0,0.83,1766702430766
0,1.0,1766702431713
0,1.0,1766702432405
0,1.0,1766702433403
0,0.85,1766702434365
0,0.99,1766702435146
0,0.83,1766702436101
0,1.0,1766702437029
0,1.0,1766702437774
0,0.84,1766702438757
0,1.0,1766702439702
0,1.0,1766702440540
0,1.0,1766702441658
0,1.0,1766702442566
0,0.85,1766702443438
0,1.0,1766702444463
0,0.83,1766702445279
0,0.85,1766702445974
0,0.84,1766702447051
0,0.96,1766702448117
0,1.0,1766702448895
0,0.84,1766702449851
0,0.85,1766702450787
0,1.0,1766702451710
0,0.84,1766702452662
0,0.83,1766702453649
0,0.87,1766702454447
0,1.0,1766702455344
0,0.99,1766702456338
0,0.84,1766702457069
0,0.85,1766702457899
0,0.85,1766702458977
0,0.82,1766702459789
0,0.85,1766702460601
0,1.0,1766702461552
0,1.0,1766702462199
0,1.0,1766702463136
0,1.0,1766702464220
0,1.0,1766702465009
0,1.0,1766702465893
0,0.85,1766702466948
0,0.83,1766702467709
0,1.0,1766702468557
0,1.0,1766702469648
0,1.0,1766702470567
0,0.83,1766702471366
0,1.0,1766702472470
0,1.0,1766702473337
0,0.85,1766702474109
0,0.95,1766702475189
0,0.82,1766702476083
0,0.85,1766702476951
0,0.98,1766702478057
0,0.99,1766702478948
0,0.99,1766702479813
0,0.83,1766702480887
0,0.96,1766702481701
0,1.0,1766702482651
0,0.99,1766702483634
0,1.0,1766702484406
0,1.0,1766702485339
0,0.99,1766702486355
0,0.85,1766702487124
0,0.99,1766702487930
0,0.84,1766702489011
0,0.93,1766702489931
0,0.86,1766702490562
0,1.0,1766702491696
0,1.0,1766702492589
0,0.84,1766702493284
0,1.0,1766702494435
0,1.0,1766702495330
0,0.98,1766702496079
0,0.89,1766702497213
0,1.0,1766702498068
0,1.0,1766702498725
0,0.94,1766702499792
0,1.0,1766702500785
0,0.83,1766702501431
0,1.0,1766702502101
0,1.0,1766702503256
0,1.0,1766702503954
0,0.85,1766702504744
0,0.87,1766702506029
0,1.0,1766702506697
0,0.08,1766702507396
0,0.91,1766702508590
0,1.0,1766702509361
0,0.84,1766702510079
0,0.91,1766702511258
0,1.0,1766702511987
0,1.0,1766702512595
0,0.99,1766702513544
0,1.0,1766702514590
0,0.86,1766702515258
0,0.84,1766702516061
0,0.97,1766702517282
0,0.96,1766702517869
0,1.0,1766702518573
0,1.0,1766702519873
0,0.84,1766702520653
0,1.0,1766702521364
0,1.0,1766702522662
0,0.85,1766702523356
0,0.97,1766702524085
0,0.84,1766702525291
0,0.95,1766702526112
0,0.91,1766702526775
0,0.85,1766702527910
0,1.0,1766702528871
0,1.0,1766702529529
0,0.88,1766702530595
0,1.0,1766702531578
0,0.99,1766702532263
0,1.0,1766702533311
0,0.91,1766702534297
0,1.0,1766702535011
0,0.85,1766702536134
0,1.0,1766702537062
0,1.0,1766702537726
0,1.0,1766702538718
0,0.84,1766702539794
0,0.85,1766702540514
0,1.0,1766702541524
0,1.0,1766702542647
0,0.85,1766702543311
0,0.83,1766702544262
0,0.99,1766702545393
0,0.99,1766702546100
0,0.83,1766702547093
0,1.0,1766702548182
0,1.0,1766702548871
0,0.85,1766702549835
0,1.0,1766702550929
0,1.0,1766702551664
0,1.0,1766702552720
0,0.85,1766702553673
0,0.85,1766702554399
0,0.85,1766702555337
0,0.86,1766702556440
0,1.0,1766702557164
0,1.0,1766702558058
0,1.0,1766702559142
0,0.85,1766702559905
0,0.83,1766702560900
0,0.82,1766702561958
0,1.0,1766702562763
0,0.85,1766702563788
0,0.99,1766702564803
0,1.0,1766702565683
0,0.85,1766702566678
0,1.0,1766702567728
0,0.99,1766702568705
0,1.0,1766702569760
0,0.92,1766702570627
0,1.0,1766702571542
0,0.83,1766702572627
0,1.0,1766702573473
0,0.96,1766702574166
0,0.84,1766702575486
0,0.84,1766702576336
0,1.0,1766702577056
0,0.85,1766702578246
0,0.85,1766702579021
0,0.83,1766702579674
0,1.0,1766702580827
0,0.99,1766702581741
0,0.95,1766702582391
0,1.0,1766702583539
0,0.85,1766702584411
0,0.85,1766702585069
0,1.0,1766702586094
0,1.0,1766702587120
0,0.96,1766702587804
