gpu_power_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.0,1766698780724
0,0.0,1766698781754
0,0.0,1766698782809
0,0.0,1766698783679
0,0.0,1766698784397
0,0.0,1766698785484
0,0.0,1766698786271
0,0.0,1766698787091
0,0.0,1766698788099
0,0.0,1766698789173
0,0.0,1766698789774
0,0.0,1766698790642
0,0.0,1766698791674
0,0.0,1766698792403
0,0.0,1766698793482
0,0.0,1766698794479
0,0.0,1766698795221
0,0.0,1766698796179
0,0.0,1766698797147
0,0.0,1766698797978
0,0.0,1766698799175
0,0.0,1766698800009
0,0.0,1766698800821
0,0.0,1766698801944
0,0.0,1766698802850
0,0.0,1766698803790
0,0.0,1766698804970
0,0.0,1766698805866
0,0.0,1766698806919
0,0.0,1766698807999
0,0.0,1766698808810
0,0.0,1766698810045
0,0.0,1766698810985
0,0.0,1766698811940
0,0.0,1766698812958
0,0.0,1766698813841
0,0.0,1766698814882
0,0.0,1766698815957
0,0.0,1766698816830
0,0.0,1766698817965
0,0.0,1766698818910
0,0.0,1766698819734
0,0.0,1766698820878
0,0.0,1766698821864
0,0.0,1766698822943
0,0.0,1766698823988
0,0.0,1766698824912
0,0.0,1766698825880
0,0.0,1766698826885
0,0.0,1766698827893
0,0.0,1766698828932
0,0.0,1766698829875
0,0.0,1766698830807
0,0.0,1766698831840
0,0.0,1766698832886
0,0.0,1766698833795
0,0.0,1766698834867
0,0.0,1766698835865
0,0.0,1766698836756
0,0.0,1766698837783
0,0.0,1766698838770
0,0.0,1766698839822
0,0.0,1766698840850
0,0.0,1766698841627
1,0.0,1766698842686
1,0.0,1766698843603
1,0.0,1766698844470
1,0.0,1766698845627
1,0.0,1766698846535
1,0.0,1766698847440
1,0.0,1766698848514
1,0.0,1766698849344
1,0.0,1766698850423
1,0.0,1766698851446
1,0.0,1766698852303
1,0.0,1766698853327
1,0.0,1766698854268
1,0.0,1766698855147
1,0.0,1766698856263
1,0.0,1766698857100
1,0.0,1766698858152
1,0.0,1766698859182
1,0.0,1766698859996
1,0.0,1766698860974
1,0.0,1766698861966
1,0.0,1766698862825
1,0.0,1766698863996
1,0.0,1766698864888
1,0.0,1766698865777
1,0.0,1766698866854
1,0.0,1766698867639
1,0.0,1766698868540
1,0.0,1766698869594
1,0.0,1766698870408
1,0.0,1766698871432
1,0.0,1766698872529
1,0.0,1766698873313
1,0.0,1766698874375
1,0.0,1766698875332
1,0.0,1766698876180
1,0.0,1766698877424
1,0.0,1766698878266
1,0.0,1766698879088
1,0.0,1766698880188
1,0.0,1766698881046
1,0.0,1766698881957
1,0.0,1766698883156
1,0.0,1766698883964
1,0.0,1766698884903
1,0.0,1766698885963
1,0.0,1766698886806
1,0.0,1766698887914
1,0.0,1766698888942
1,0.0,1766698889698
1,0.0,1766698890870
1,0.0,1766698891813
1,0.0,1766698892688
1,0.0,1766698893844
1,0.0,1766698894712
1,0.0,1766698895675
1,0.0,1766698896947
1,0.0,1766698897728
1,0.0,1766698898650
1,0.0,1766698899864
1,0.0,1766698900612
1,0.0,1766698901424
1,0.0,1766698902577
1,0.0,1766698903312
2,0.0,1766698904329
2,0.0,1766698905378
2,0.0,1766698906153
2,0.0,1766698907107
2,0.0,1766698908191
2,0.0,1766698908986
2,0.0,1766698910120
2,0.0,1766698910978
2,0.0,1766698911762
2,0.0,1766698912991
2,0.0,1766698913898
2,0.0,1766698914760
2,0.0,1766698915997
2,0.0,1766698916795
2,0.0,1766698917673
2,0.0,1766698918767
2,0.0,1766698919593
2,0.0,1766698920506
2,0.0,1766698921640
2,0.0,1766698922473
2,0.0,1766698923553
2,0.0,1766698924519
2,0.0,1766698925334
2,0.0,1766698926457
2,0.0,1766698927348
2,0.0,1766698928123
2,0.0,1766698929278
2,0.0,1766698930158
2,0.0,1766698930927
2,0.0,1766698932073
2,0.0,1766698932962
2,0.0,1766698933817
2,0.0,1766698934962
2,0.0,1766698935758
2,0.0,1766698936779
2,0.0,1766698937853
2,0.0,1766698938466
2,0.0,1766698939157
2,0.0,1766698940273
2,0.0,1766698940909
2,0.0,1766698941593
2,0.0,1766698942497
2,0.0,1766698943315
2,0.0,1766698943978
2,0.0,1766698944962
2,0.0,1766698945921
2,0.0,1766698946589
2,0.0,1766698947411
2,0.0,1766698948247
2,0.0,1766698948984
2,0.0,1766698950029
2,0.0,1766698950949
2,0.0,1766698951734
2,0.0,1766698952766
2,0.0,1766698953780
2,0.0,1766698954623
2,0.0,1766698955726
2,0.0,1766698956493
2,0.0,1766698957470
2,0.0,1766698958621
2,0.0,1766698959354
2,0.0,1766698960318
2,0.0,1766698961283
2,0.0,1766698962073
3,0.0,1766698963172
3,0.0,1766698964177
3,0.0,1766698965089
3,0.0,1766698966137
3,0.0,1766698967120
3,0.0,1766698968088
3,0.0,1766698969176
3,0.0,1766698969942
3,0.0,1766698970838
3,0.0,1766698971901
3,0.0,1766698972866
3,0.0,1766698973757
3,0.0,1766698974762
3,0.0,1766698975729
3,0.0,1766698976651
3,0.0,1766698977716
3,0.0,1766698978691
3,0.0,1766698979432
3,0.0,1766698980550
3,0.0,1766698981504
3,0.0,1766698982426
3,0.0,1766698983482
3,0.0,1766698984346
3,0.0,1766698985326
3,0.0,1766698986380
3,0.0,1766698987179
3,0.0,1766698988142
3,0.0,1766698989228
3,0.0,1766698990053
3,0.0,1766698991201
3,0.0,1766698992195
3,0.0,1766698992969
3,0.0,1766698994106
3,0.0,1766698995020
3,0.0,1766698995818
3,0.0,1766698997101
3,0.0,1766698997949
3,0.0,1766698998901
3,0.0,1766698999962
3,0.0,1766699000794
3,0.0,1766699001735
3,0.0,1766699002822
3,0.0,1766699003561
3,0.0,1766699004458
3,0.0,1766699005517
3,0.0,1766699006383
3,0.0,1766699007453
3,0.0,1766699008392
3,0.0,1766699009102
3,0.0,1766699009870
3,0.0,1766699010828
3,0.0,1766699011473
3,0.0,1766699012213
3,0.0,1766699013187
3,0.0,1766699013879
3,0.0,1766699014553
3,0.0,1766699015436
3,0.0,1766699016282
3,0.0,1766699017118
3,0.0,1766699017979
3,0.0,1766699018897
3,0.0,1766699019563
3,0.0,1766699020444
3,0.0,1766699021331
4,0.0,1766699022037
4,0.0,1766699022755
4,0.0,1766699023499
4,0.0,1766699024377
4,0.0,1766699025259
4,0.0,1766699026020
4,0.0,1766699026872
4,0.0,1766699027807
4,0.0,1766699028574
4,0.0,1766699029407
4,0.0,1766699030401
4,0.0,1766699031011
4,0.0,1766699031693
4,0.0,1766699032814
4,0.0,1766699033646
4,0.0,1766699034384
4,0.0,1766699035434
4,0.0,1766699036294
4,0.0,1766699037304
4,0.0,1766699038435
4,0.0,1766699039247
4,0.0,1766699040037
4,0.0,1766699041282
4,0.0,1766699042003
4,0.0,1766699042843
4,0.0,1766699044022
4,0.0,1766699044746
4,0.0,1766699045616
4,0.0,1766699046715
4,0.0,1766699047381
4,0.0,1766699048169
4,0.0,1766699049359
4,0.0,1766699050085
4,0.0,1766699050849
4,0.0,1766699052023
4,0.0,1766699052779
4,0.0,1766699053486
4,0.0,1766699054630
4,0.0,1766699055452
4,0.0,1766699056098
4,0.0,1766699057250
4,0.0,1766699058131
4,0.0,1766699058783
4,0.0,1766699059846
4,0.0,1766699060816
4,0.0,1766699061462
4,0.0,1766699062235
4,0.0,1766699063427
4,0.0,1766699064015
4,0.0,1766699064582
4,0.0,1766699065595
4,0.0,1766699066308
4,0.0,1766699066949
4,0.0,1766699067712
4,0.0,1766699068703
4,0.0,1766699069242
4,0.0,1766699069804
4,0.0,1766699071027
4,0.0,1766699071767
4,0.0,1766699072288
4,0.0,1766699073096
4,0.0,1766699074165
4,0.0,1766699074758
4,0.0,1766699075628
5,0.0,1766699076630
5,0.0,1766699077335
5,0.0,1766699078115
5,0.0,1766699079290
5,0.0,1766699080077
5,0.0,1766699081054
5,0.0,1766699082232
5,0.0,1766699082996
5,0.0,1766699084040
5,0.0,1766699085085
5,0.0,1766699085848
5,0.0,1766699087030
5,0.0,1766699088021
5,0.0,1766699088890
5,0.0,1766699090038
5,0.0,1766699090927
5,0.0,1766699091843
5,0.0,1766699092863
5,0.0,1766699093753
5,0.0,1766699094736
5,0.0,1766699095774
5,0.0,1766699096739
5,0.0,1766699097666
5,0.0,1766699098648
5,0.0,1766699099535
5,0.0,1766699100499
5,0.0,1766699101497
5,0.0,1766699102331
5,0.0,1766699103203
5,0.0,1766699104109
5,0.0,1766699104994
5,0.0,1766699105887
5,0.0,1766699106939
5,0.0,1766699107787
5,0.0,1766699108709
5,0.0,1766699109635
5,0.0,1766699110516
5,0.0,1766699111367
5,0.0,1766699112347
5,0.0,1766699113183
5,0.0,1766699113968
5,0.0,1766699114934
5,0.0,1766699115828
5,0.0,1766699116590
5,0.0,1766699117552
5,0.0,1766699118536
5,0.0,1766699119211
5,0.0,1766699120267
5,0.0,1766699121103
5,0.0,1766699121861
5,0.0,1766699122919
5,0.0,1766699123768
5,0.0,1766699124476
5,0.0,1766699125437
5,0.0,1766699126280
5,0.0,1766699126974
5,0.0,1766699127889
5,0.0,1766699128786
5,0.0,1766699129578
5,0.0,1766699130630
5,0.0,1766699131594
5,0.0,1766699132303
5,0.0,1766699133243
5,0.0,1766699134296
6,0.0,1766699134998
6,0.0,1766699135840
6,0.0,1766699136817
6,0.0,1766699137474
6,0.0,1766699138232
6,0.0,1766699139396
6,0.0,1766699140080
6,0.0,1766699140834
6,0.0,1766699141929
6,0.0,1766699142680
6,0.0,1766699143450
6,0.0,1766699144643
6,0.0,1766699145470
6,0.0,1766699146240
6,0.0,1766699147487
6,0.0,1766699148315
6,0.0,1766699149083
6,0.0,1766699150266
6,0.0,1766699150988
6,0.0,1766699151778
6,0.0,1766699152953
6,0.0,1766699153587
6,0.0,1766699154303
6,0.0,1766699155423
6,0.0,1766699156279
6,0.0,1766699157086
6,0.0,1766699158160
6,0.0,1766699158986
6,0.0,1766699159825
6,0.0,1766699160937
6,0.0,1766699161743
6,0.0,1766699162691
6,0.0,1766699163696
6,0.0,1766699164459
6,0.0,1766699165343
6,0.0,1766699166312
6,0.0,1766699167093
6,0.0,1766699167855
6,0.0,1766699168689
6,0.0,1766699169563
6,0.0,1766699170599
6,0.0,1766699171358
6,0.0,1766699172208
6,0.0,1766699173066
6,0.0,1766699173801
6,0.0,1766699174794
6,0.0,1766699175830
6,0.0,1766699176752
6,0.0,1766699177926
6,0.0,1766699178678
6,0.0,1766699179556
6,0.0,1766699180813
6,0.0,1766699181652
6,0.0,1766699182699
6,0.0,1766699183853
6,0.0,1766699184662
6,0.0,1766699185814
6,0.0,1766699186774
6,0.0,1766699187627
6,0.0,1766699188894
6,0.0,1766699189756
6,0.0,1766699190670
6,0.0,1766699191906
6,0.0,1766699192722
