gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0,1766492114006
0,0,1766492114464
0,0,1766492114879
0,0,1766492115291
0,0,1766492115706
0,0,1766492116117
0,0,1766492116540
0,0,1766492116943
0,0,1766492117355
0,0,1766492117769
0,0,1766492118183
0,0,1766492118601
0,0,1766492119032
0,0,1766492119474
0,0,1766492119914
0,0,1766492120380
1,0,1766492120938
1,0,1766492121452
1,0,1766492121989
1,0,1766492122549
1,0,1766492123037
1,0,1766492123558
1,0,1766492124184
1,0,1766492124664
1,0,1766492125156
1,0,1766492125728
1,0,1766492126259
1,0,1766492126740
1,0,1766492127294
1,0,1766492127880
1,0,1766492128365
1,0,1766492128871
2,0,1766492129486
2,0,1766492129989
2,0,1766492130481
2,0,1766492131066
2,0,1766492131597
2,0,1766492132088
2,0,1766492132643
2,0,1766492133213
2,0,1766492133634
2,0,1766492134002
2,0,1766492134476
2,0,1766492134955
2,0,1766492135319
2,0,1766492135684
2,0,1766492136082
2,0,1766492136526
