gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,35.0,1766518682203
0,35.0,1766518683200
0,35.0,1766518684075
0,35.0,1766518685016
0,35.0,1766518685936
0,35.0,1766518686772
0,35.0,1766518687705
0,35.0,1766518688515
0,35.0,1766518689570
0,35.0,1766518690343
0,35.0,1766518691275
0,35.0,1766518692070
0,35.0,1766518692996
0,35.0,1766518693919
0,35.0,1766518694727
0,35.0,1766518695687
0,35.0,1766518696487
0,35.0,1766518697485
0,35.0,1766518698245
0,35.0,1766518699228
0,35.0,1766518700045
0,35.0,1766518701042
0,35.0,1766518701926
0,35.0,1766518702806
0,35.0,1766518703661
0,35.0,1766518704457
0,35.0,1766518705412
0,35.0,1766518706235
0,35.0,1766518707280
0,35.0,1766518708083
0,35.0,1766518709047
0,35.0,1766518709839
0,35.0,1766518710797
0,35.0,1766518711610
0,35.0,1766518712553
0,35.0,1766518713422
0,35.0,1766518714317
0,35.0,1766518715248
0,35.0,1766518716114
0,35.0,1766518717004
0,35.0,1766518717899
0,35.0,1766518718811
0,35.0,1766518719658
0,35.0,1766518720636
0,35.0,1766518721458
0,35.0,1766518722387
0,35.0,1766518723263
0,35.0,1766518724104
0,35.0,1766518725031
0,35.0,1766518725902
0,35.0,1766518726811
0,35.0,1766518727736
0,35.0,1766518728667
0,35.0,1766518729613
0,35.0,1766518730559
0,35.0,1766518731439
0,35.0,1766518732349
0,35.0,1766518733259
0,35.0,1766518734120
0,35.0,1766518735028
0,35.0,1766518735931
0,35.0,1766518736811
0,35.0,1766518737655
0,35.0,1766518738634
0,35.0,1766518739444
0,35.0,1766518740379
0,35.0,1766518741184
0,35.0,1766518742248
0,35.0,1766518743058
0,35.0,1766518744031
0,35.0,1766518744841
0,35.0,1766518745726
0,35.0,1766518746650
0,35.0,1766518747573
0,35.0,1766518748485
0,35.0,1766518749371
0,35.0,1766518750289
0,35.0,1766518751107
0,35.0,1766518752123
0,35.0,1766518752945
0,35.0,1766518753921
0,35.0,1766518754801
0,35.0,1766518755729
0,35.0,1766518756579
0,35.0,1766518757503
0,35.0,1766518758371
0,35.0,1766518759349
0,35.0,1766518760244
0,36.0,1766518761234
0,35.0,1766518762131
0,35.0,1766518763014
0,35.0,1766518763874
0,35.0,1766518764733
0,35.0,1766518765713
0,35.0,1766518766480
0,35.0,1766518767500
0,35.0,1766518768260
0,35.0,1766518769326
0,35.0,1766518770117
0,35.0,1766518771027
0,35.0,1766518771941
0,35.0,1766518772762
0,35.0,1766518773766
0,35.0,1766518774518
0,35.0,1766518775552
0,35.0,1766518776287
0,35.0,1766518777326
0,35.0,1766518778122
0,35.0,1766518779090
0,35.0,1766518779928
0,35.0,1766518780720
0,35.0,1766518781694
0,35.0,1766518782371
0,35.0,1766518783415
0,35.0,1766518784150
0,35.0,1766518784967
0,35.0,1766518785974
0,35.0,1766518786702
0,35.0,1766518787675
0,35.0,1766518788393
0,35.0,1766518789331
0,35.0,1766518790178
0,35.0,1766518791002
0,35.0,1766518791951
0,35.0,1766518792685
0,35.0,1766518793740
0,35.0,1766518794441
0,35.0,1766518795358
0,35.0,1766518796209
0,35.0,1766518797052
0,35.0,1766518798068
0,35.0,1766518798811
0,35.0,1766518799791
0,36.0,1766518800544
0,35.0,1766518801534
0,35.0,1766518802359
0,35.0,1766518803095
0,35.0,1766518804104
0,35.0,1766518804856
0,35.0,1766518805936
0,35.0,1766518806672
0,35.0,1766518807611
0,35.0,1766518808504
0,35.0,1766518809340
0,35.0,1766518810358
0,35.0,1766518811044
0,35.0,1766518811977
0,35.0,1766518812742
0,35.0,1766518813626
0,35.0,1766518814593
0,35.0,1766518815307
0,35.0,1766518816344
0,35.0,1766518817056
0,35.0,1766518818061
0,35.0,1766518818847
0,35.0,1766518819609
0,35.0,1766518820647
0,35.0,1766518821399
0,35.0,1766518822450
0,36.0,1766518823167
0,36.0,1766518824193
0,36.0,1766518824986
0,36.0,1766518825909
0,36.0,1766518826856
0,36.0,1766518827618
0,36.0,1766518828631
0,36.0,1766518829343
0,36.0,1766518830443
0,36.0,1766518831228
0,36.0,1766518832175
0,36.0,1766518833052
0,36.0,1766518833838
0,36.0,1766518834857
0,36.0,1766518835545
0,36.0,1766518836520
0,36.0,1766518837232
0,36.0,1766518838060
0,36.0,1766518839028
0,36.0,1766518839756
0,36.0,1766518840809
0,36.0,1766518841514
0,36.0,1766518842408
0,36.0,1766518843279
0,36.0,1766518844050
0,36.0,1766518845077
0,36.0,1766518845788
0,36.0,1766518846849
0,36.0,1766518847554
0,36.0,1766518848428
0,36.0,1766518849227
0,36.0,1766518850034
0,36.0,1766518851050
0,36.0,1766518851716
0,36.0,1766518852675
0,36.0,1766518853377
0,36.0,1766518854163
0,36.0,1766518855171
0,36.0,1766518855913
0,36.0,1766518856974
0,36.0,1766518857736
0,36.0,1766518858667
0,36.0,1766518859541
0,36.0,1766518860338
0,36.0,1766518861318
0,36.0,1766518862061
0,36.0,1766518863106
0,36.0,1766518863866
0,36.0,1766518864778
0,36.0,1766518865639
0,36.0,1766518866559
0,36.0,1766518867528
0,36.0,1766518868260
0,36.0,1766518869268
0,36.0,1766518869981
0,36.0,1766518870933
0,36.0,1766518871810
0,36.0,1766518872677
0,36.0,1766518873593
0,36.0,1766518874372
0,36.0,1766518875389
0,36.0,1766518876096
0,36.0,1766518877116
0,36.0,1766518877925
0,36.0,1766518878851
0,36.0,1766518879738
0,36.0,1766518880486
0,36.0,1766518881544
0,36.0,1766518882288
0,36.0,1766518883302
0,36.0,1766518884050
0,36.0,1766518884913
0,36.0,1766518885908
0,36.0,1766518886622
0,36.0,1766518887677
0,36.0,1766518888433
0,36.0,1766518889444
0,36.0,1766518890200
0,36.0,1766518891124
0,36.0,1766518892028
0,36.0,1766518892791
0,36.0,1766518893742
0,36.0,1766518894482
0,36.0,1766518895523
0,36.0,1766518896293
0,36.0,1766518897180
0,36.0,1766518898152
0,36.0,1766518898938
0,36.0,1766518899948
0,36.0,1766518900681
0,36.0,1766518901696
0,36.0,1766518902459
0,36.0,1766518903410
0,36.0,1766518904239
