disk_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.8,1766494756122
0,0.8,1766494756759
0,0.8,1766494757297
0,0.8,1766494757865
0,0.8,1766494758432
0,0.8,1766494758956
0,0.8,1766494759514
0,0.8,1766494760107
0,0.8,1766494760646
0,0.8,1766494761278
0,0.8,1766494761916
0,0.8,1766494762633
0,0.8,1766494763380
0,0.8,1766494764036
0,0.8,1766494764877
0,0.8,1766494765547
0,0.8,1766494766417
0,0.8,1766494767245
0,0.8,1766494767907
0,0.8,1766494768937
0,0.8,1766494769668
0,0.8,1766494770474
0,0.8,1766494771316
0,0.8,1766494772016
0,0.8,1766494772999
0,0.8,1766494773702
0,0.8,1766494774635
0,0.8,1766494775426
0,0.8,1766494776165
0,0.8,1766494777094
0,0.8,1766494777806
0,0.8,1766494778619
0,0.8,1766494779477
0,0.8,1766494780203
0,0.8,1766494781183
0,0.8,1766494781824
0,0.8,1766494782813
0,0.8,1766494783538
0,0.8,1766494784220
0,0.8,1766494785259
0,0.8,1766494785908
0,0.8,1766494786870
0,0.8,1766494787591
0,0.8,1766494788342
0,0.8,1766494789268
0,0.8,1766494789957
0,0.8,1766494790944
0,0.8,1766494791682
0,0.8,1766494792547
0,0.8,1766494793446
0,0.8,1766494794180
0,0.8,1766494795203
0,0.8,1766494795865
0,0.8,1766494796678
0,0.8,1766494797482
0,0.8,1766494798085
0,0.8,1766494799087
0,0.8,1766494799772
0,0.8,1766494800611
0,0.8,1766494801473
0,0.8,1766494802188
0,0.8,1766494803216
0,0.8,1766494803868
0,0.8,1766494804659
1,0.8,1766494805305
1,0.8,1766494805932
1,0.8,1766494806622
1,0.8,1766494807175
1,0.8,1766494807603
1,0.8,1766494808229
1,0.8,1766494808852
1,0.8,1766494809338
1,0.8,1766494809847
1,0.8,1766494810567
1,0.8,1766494810985
1,0.8,1766494811411
1,0.8,1766494812134
1,0.8,1766494812609
1,0.8,1766494813023
1,0.8,1766494813540
1,0.8,1766494814252
1,0.8,1766494814673
1,0.8,1766494815121
1,0.8,1766494815888
1,0.8,1766494816338
1,0.8,1766494816772
1,0.8,1766494817417
1,0.8,1766494818015
1,0.8,1766494818431
1,0.8,1766494818980
1,0.8,1766494819713
1,0.8,1766494820177
1,0.8,1766494820658
1,0.8,1766494821361
1,0.8,1766494821855
1,0.8,1766494822285
1,0.8,1766494822963
1,0.8,1766494823554
1,0.8,1766494823989
1,0.8,1766494824553
1,0.8,1766494825224
1,0.8,1766494825663
1,0.8,1766494826146
1,0.8,1766494826851
1,0.8,1766494827312
1,0.8,1766494827736
1,0.8,1766494828401
1,0.8,1766494828961
1,0.8,1766494829382
1,0.8,1766494829943
1,0.8,1766494830640
1,0.8,1766494831044
1,0.8,1766494831513
1,0.8,1766494832306
1,0.8,1766494832789
1,0.8,1766494833227
1,0.8,1766494833912
1,0.8,1766494834479
1,0.8,1766494834943
1,0.8,1766494835601
1,0.8,1766494836223
1,0.8,1766494836648
1,0.8,1766494837191
1,0.8,1766494837913
1,0.8,1766494838357
1,0.8,1766494838789
1,0.8,1766494839512
1,0.8,1766494840034
2,0.8,1766494840450
2,0.8,1766494841115
2,0.8,1766494841713
2,0.8,1766494842140
2,0.8,1766494842721
2,0.8,1766494843360
2,0.8,1766494843803
2,0.8,1766494844266
2,0.8,1766494844980
2,0.8,1766494845430
2,0.8,1766494845837
2,0.8,1766494846452
2,0.8,1766494847058
2,0.8,1766494847463
2,0.8,1766494847959
2,0.8,1766494848722
2,0.8,1766494849164
2,0.8,1766494849609
2,0.8,1766494850218
2,0.8,1766494850786
2,0.8,1766494851184
2,0.8,1766494851701
2,0.8,1766494852447
2,0.8,1766494852887
2,0.8,1766494853320
2,0.8,1766494854004
2,0.8,1766494854527
2,0.8,1766494854949
2,0.8,1766494855544
2,0.8,1766494856205
2,0.8,1766494856628
2,0.8,1766494857080
2,0.8,1766494857820
2,0.8,1766494858303
2,0.8,1766494858734
2,0.8,1766494859420
2,0.8,1766494859995
2,0.8,1766494860402
2,0.8,1766494860912
2,0.8,1766494861650
2,0.8,1766494862046
2,0.8,1766494862457
2,0.8,1766494863131
2,0.8,1766494863669
2,0.8,1766494864087
2,0.8,1766494864599
2,0.8,1766494865335
2,0.8,1766494865768
2,0.8,1766494866242
2,0.8,1766494867018
2,0.8,1766494867471
2,0.8,1766494867910
2,0.8,1766494868574
2,0.8,1766494869166
2,0.8,1766494869772
2,0.8,1766494870557
2,0.8,1766494871076
2,0.8,1766494871501
2,0.8,1766494872036
2,0.8,1766494872817
2,0.8,1766494873368
2,0.8,1766494874305
2,0.8,1766494875060
2,0.8,1766494875534
