memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,1.6,1766518637883
0,1.6,1766518638586
0,1.6,1766518639518
0,1.6,1766518640169
0,1.6,1766518640885
0,1.6,1766518641842
0,1.6,1766518642441
0,1.6,1766518643338
0,1.6,1766518644095
0,1.6,1766518644739
0,1.6,1766518645718
0,1.6,1766518646364
0,1.6,1766518647057
0,1.6,1766518648009
0,1.6,1766518648625
0,1.6,1766518649515
0,1.6,1766518650258
0,1.6,1766518651024
0,1.6,1766518651965
0,1.6,1766518652604
0,1.6,1766518653392
0,1.6,1766518654277
0,1.6,1766518654951
0,1.6,1766518655876
0,1.6,1766518656593
0,1.6,1766518657349
0,1.6,1766518658319
0,1.6,1766518659005
0,1.6,1766518659896
0,1.6,1766518660612
0,1.6,1766518661444
0,1.6,1766518662413
0,1.6,1766518663157
0,1.6,1766518664152
0,1.6,1766518664813
0,1.6,1766518665661
0,1.6,1766518666482
0,1.6,1766518667105
0,1.6,1766518668101
0,1.6,1766518668790
0,1.6,1766518669495
0,1.6,1766518670330
0,1.6,1766518670973
0,1.6,1766518671830
0,1.6,1766518672497
0,1.6,1766518673233
0,1.5,1766518674093
0,1.6,1766518674672
0,1.6,1766518675437
0,1.6,1766518676193
0,1.6,1766518676778
0,1.6,1766518677696
0,1.6,1766518678431
0,1.6,1766518679179
0,1.6,1766518679963
0,1.6,1766518680593
0,1.6,1766518681551
0,1.6,1766518682237
0,1.6,1766518683095
0,1.6,1766518683924
0,1.6,1766518684649
0,1.6,1766518685588
0,1.6,1766518686398
0,1.6,1766518687339
0,1.6,1766518688111
0,1.6,1766518688979
0,1.6,1766518689837
0,1.6,1766518690606
0,1.6,1766518691500
0,1.6,1766518692116
0,1.6,1766518692932
0,1.6,1766518693801
0,1.6,1766518694502
0,1.6,1766518695519
0,1.6,1766518696289
0,1.6,1766518697221
0,1.6,1766518697921
0,1.6,1766518698789
0,1.6,1766518699678
0,1.6,1766518700374
0,1.6,1766518701208
0,1.6,1766518701952
0,1.6,1766518702801
0,1.6,1766518703589
0,1.6,1766518704336
0,1.6,1766518705205
0,1.6,1766518705920
0,1.6,1766518706919
0,1.6,1766518707700
0,1.6,1766518708541
0,1.6,1766518709335
0,1.6,1766518709989
0,1.6,1766518710880
0,1.6,1766518711625
0,1.6,1766518712420
0,1.6,1766518713261
0,1.6,1766518714049
0,1.6,1766518714949
0,1.6,1766518715773
0,1.6,1766518716631
0,1.6,1766518717378
0,1.6,1766518718237
0,1.6,1766518719042
0,1.6,1766518719899
0,1.6,1766518720735
0,1.6,1766518721527
0,1.6,1766518722409
0,1.6,1766518723109
0,1.6,1766518723913
0,1.6,1766518724777
0,1.6,1766518725635
0,1.6,1766518726459
0,1.6,1766518727341
0,1.6,1766518728197
0,1.6,1766518729026
0,1.6,1766518729737
0,1.6,1766518730575
0,1.6,1766518731407
0,1.6,1766518732198
0,1.6,1766518733025
0,1.6,1766518733743
0,1.6,1766518734536
0,1.6,1766518735366
0,1.6,1766518736227
0,1.6,1766518737038
0,1.6,1766518737864
0,1.6,1766518738695
0,1.6,1766518739435
0,1.6,1766518740224
0,1.6,1766518741011
0,1.6,1766518741861
0,1.6,1766518742715
0,1.6,1766518743590
0,1.6,1766518744453
0,1.6,1766518745246
0,1.6,1766518746272
0,1.6,1766518747019
0,1.6,1766518747896
0,1.6,1766518748729
0,1.6,1766518749608
0,1.6,1766518750476
0,1.6,1766518751322
0,1.6,1766518752200
0,1.6,1766518752882
0,1.6,1766518753762
0,1.6,1766518754491
0,1.6,1766518755306
0,1.6,1766518756130
0,1.6,1766518756861
0,1.6,1766518757789
0,1.6,1766518758578
0,1.6,1766518759529
0,1.6,1766518760305
0,1.6,1766518761128
0,1.6,1766518762004
0,1.6,1766518762771
0,1.6,1766518763716
0,1.6,1766518764427
0,1.6,1766518765332
0,1.6,1766518766100
0,1.6,1766518766931
0,1.6,1766518767817
0,1.6,1766518768497
0,1.6,1766518769494
0,1.6,1766518770188
0,1.6,1766518771026
0,1.6,1766518771881
0,1.6,1766518772552
0,1.6,1766518773561
0,1.6,1766518774215
0,1.6,1766518775108
0,1.6,1766518775891
0,1.6,1766518776600
0,1.6,1766518777577
0,1.6,1766518778223
0,1.6,1766518779096
0,1.6,1766518779851
0,1.6,1766518780533
0,1.6,1766518781481
0,1.6,1766518782177
0,1.6,1766518782964
0,1.6,1766518783859
0,1.6,1766518784490
0,1.6,1766518785407
0,1.6,1766518786163
0,1.6,1766518786876
0,1.6,1766518787890
0,1.6,1766518788500
0,1.6,1766518789470
0,1.6,1766518790228
0,1.6,1766518790949
0,1.6,1766518791937
0,1.6,1766518792563
0,1.6,1766518793596
0,1.6,1766518794292
0,1.6,1766518795029
0,1.6,1766518795983
0,1.6,1766518796629
0,1.6,1766518797631
0,1.6,1766518798374
0,1.6,1766518799153
0,1.6,1766518800081
0,1.6,1766518800728
0,1.6,1766518801718
0,1.6,1766518802451
0,1.6,1766518803252
0,1.6,1766518804186
0,1.6,1766518804864
0,1.6,1766518805892
0,1.6,1766518806599
0,1.6,1766518807493
0,1.6,1766518808416
0,1.6,1766518809146
0,1.6,1766518810170
0,1.6,1766518810819
0,1.6,1766518811752
0,1.6,1766518812509
0,1.6,1766518813198
0,1.6,1766518814256
0,1.6,1766518814920
0,1.6,1766518815709
0,1.6,1766518816583
0,1.6,1766518817214
0,1.6,1766518818241
0,1.6,1766518818880
0,1.6,1766518819606
0,1.6,1766518820583
0,1.6,1766518821204
0,1.6,1766518822108
0,1.6,1766518822866
0,1.6,1766518823554
0,1.6,1766518824587
0,1.6,1766518825265
0,1.6,1766518826275
0,1.6,1766518827027
0,1.6,1766518827820
0,1.6,1766518828753
0,1.6,1766518829435
0,1.6,1766518830394
0,1.6,1766518831097
0,1.6,1766518831860
0,1.6,1766518832822
0,1.6,1766518833472
0,1.6,1766518834420
0,1.6,1766518835165
0,1.6,1766518835885
0,1.6,1766518836803
0,1.6,1766518837440
0,1.6,1766518838376
0,1.6,1766518839130
0,1.6,1766518839815
0,1.6,1766518840724
0,1.6,1766518841417
0,1.6,1766518842267
0,1.6,1766518843133
0,1.6,1766518843747
0,1.6,1766518844740
0,1.6,1766518845457
0,1.6,1766518846249
0,1.6,1766518847183
0,1.6,1766518847893
0,1.6,1766518848841
0,1.6,1766518849480
0,1.6,1766518850297
0,1.6,1766518851111
0,1.6,1766518851736
0,1.6,1766518852663
0,1.6,1766518853398
0,1.6,1766518854105
0,1.6,1766518855078
0,1.6,1766518855785
0,1.6,1766518856756
0,1.6,1766518857499
0,1.6,1766518858195
0,1.6,1766518859187
0,1.6,1766518859868
0,1.6,1766518860831
0,1.6,1766518861571
0,1.6,1766518862290
0,1.6,1766518863245
0,1.6,1766518863889
0,1.6,1766518864764
0,1.6,1766518865604
0,1.6,1766518866414
0,1.6,1766518867409
0,1.6,1766518868029
0,1.6,1766518868984
0,1.6,1766518869773
0,1.6,1766518870471
0,1.6,1766518871405
0,1.6,1766518872056
0,1.6,1766518873005
0,1.6,1766518873766
0,1.6,1766518874448
0,1.6,1766518875414
0,1.6,1766518876007
0,1.6,1766518876864
0,1.6,1766518877617
0,1.6,1766518878249
0,1.6,1766518879198
0,1.6,1766518879926
0,1.6,1766518880713
0,1.6,1766518881725
0,1.6,1766518882400
0,1.6,1766518883328
0,1.6,1766518884061
0,1.6,1766518884839
0,1.6,1766518885756
0,1.6,1766518886349
0,1.6,1766518887257
0,1.6,1766518888087
0,1.6,1766518888797
0,1.6,1766518889804
0,1.6,1766518890439
0,1.6,1766518891392
0,1.6,1766518892148
0,1.6,1766518892880
0,1.6,1766518893847
0,1.6,1766518894457
0,1.6,1766518895256
0,1.6,1766518896071
0,1.6,1766518896709
0,1.6,1766518897723
0,1.6,1766518898346
0,1.6,1766518899114
0,1.6,1766518899979
0,1.6,1766518900610
0,1.6,1766518901609
0,1.6,1766518902299
0,1.6,1766518903132
0,1.6,1766518904061
0,1.6,1766518904688
0,1.6,1766518905657
0,1.6,1766518906369
0,1.6,1766518907224
0,1.6,1766518908063
0,1.6,1766518908664
0,1.6,1766518909665
0,1.6,1766518910401
0,1.6,1766518911137
0,1.6,1766518912075
0,1.6,1766518912731
0,1.6,1766518913686
0,1.6,1766518914423
0,1.6,1766518915205
0,1.6,1766518916109
0,1.6,1766518916695
0,1.6,1766518917735
0,1.6,1766518918443
0,1.6,1766518919245
0,1.6,1766518920084
0,1.6,1766518920723
0,1.6,1766518921668
0,1.6,1766518922380
0,1.6,1766518923125
0,1.6,1766518924136
0,1.6,1766518924808
0,1.6,1766518925704
0,1.6,1766518926455
0,1.6,1766518927122
0,1.6,1766518928027
0,1.6,1766518928713
0,1.6,1766518929605
0,1.6,1766518930377
0,1.6,1766518931042
0,1.6,1766518932041
0,1.6,1766518932730
0,1.6,1766518933564
0,1.6,1766518934431
0,1.6,1766518935108
0,1.6,1766518936104
0,1.6,1766518936831
0,1.6,1766518937683
0,1.6,1766518938519
0,1.6,1766518939161
0,1.6,1766518940148
