cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,1.7,1766496433306
0,3.1,1766496433831
0,2.8,1766496434337
0,2.6,1766496434808
0,2.2,1766496435298
0,2.4,1766496435796
0,2.4,1766496436344
0,2.4,1766496436894
0,2.3,1766496437458
0,2.3,1766496438070
0,1.8,1766496438878
0,2.2,1766496439600
0,1.4,1766496440359
0,2.3,1766496440986
0,1.6,1766496441870
0,1.6,1766496442694
0,2.2,1766496443443
0,1.3,1766496444438
0,2.2,1766496445093
0,1.4,1766496446130
0,2.0,1766496446863
0,1.8,1766496447655
0,1.4,1766496448548
0,2.2,1766496449114
0,1.4,1766496450064
0,2.0,1766496450763
0,1.9,1766496451515
0,1.5,1766496452466
0,2.3,1766496453109
0,1.2,1766496454075
0,2.1,1766496454777
0,1.8,1766496455570
0,1.5,1766496456430
0,2.2,1766496457130
0,1.3,1766496458160
0,2.2,1766496458793
0,1.5,1766496459714
0,1.9,1766496460465
0,2.2,1766496461140
0,1.3,1766496462139
0,2.1,1766496462746
0,1.5,1766496463713
0,1.8,1766496464511
0,2.0,1766496465223
0,1.4,1766496466230
0,2.2,1766496466915
0,1.3,1766496467884
0,2.1,1766496468573
0,1.8,1766496469412
0,1.6,1766496470334
0,2.1,1766496471059
0,1.2,1766496472023
0,2.2,1766496472734
0,1.5,1766496473687
0,1.8,1766496474416
0,2.2,1766496475069
0,1.2,1766496476083
0,2.2,1766496476731
0,1.6,1766496477675
0,1.7,1766496478456
0,2.1,1766496479174
0,1.3,1766496480144
0,2.3,1766496480794
0,1.6,1766496481709
0,1.8,1766496482472
0,2.2,1766496483159
0,1.3,1766496484174
0,2.3,1766496484808
0,1.5,1766496485729
0,1.9,1766496486494
0,2.1,1766496487186
0,1.3,1766496488213
0,2.2,1766496488918
0,1.4,1766496489900
0,1.9,1766496490654
0,2.0,1766496491365
0,1.3,1766496492278
0,2.3,1766496492890
0,1.5,1766496493833
0,1.8,1766496494601
0,2.0,1766496495371
0,1.4,1766496496314
0,2.2,1766496496946
0,1.4,1766496497968
0,1.9,1766496498677
0,2.0,1766496499373
0,1.3,1766496500345
0,2.2,1766496500967
0,1.5,1766496501990
0,1.9,1766496502722
0,2.0,1766496503499
0,1.4,1766496504460
0,2.2,1766496505109
0,1.4,1766496506040
0,1.9,1766496506764
0,2.0,1766496507486
0,1.3,1766496508479
0,2.2,1766496509134
0,1.4,1766496510131
0,1.9,1766496510891
0,1.9,1766496511684
0,1.4,1766496512604
0,2.2,1766496513230
0,1.4,1766496514215
0,1.9,1766496514969
