gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.08,1766517857402
0,0.01,1766517857978
0,0,1766517858665
0,0,1766517859385
0,0,1766517860091
0,3,1766517860784
0,0,1766517861677
0,0,1766517862483
0,2,1766517863068
0,0,1766517863995
0,2,1766517864686
0,0.03,1766517865507
0,0,1766517866345
0,0.03,1766517866989
0,0,1766517868009
0,2,1766517868692
0,0.03,1766517869523
0,0,1766517870368
0,0.03,1766517871101
0,0.03,1766517872046
0,0.02,1766517872660
0,0,1766517873492
0,0.02,1766517874325
0,0,1766517874965
0,0.03,1766517875878
0,0.01,1766517876556
0,0,1766517877467
0,2,1766517878304
0,0,1766517879037
0,0,1766517879999
0,0,1766517880664
0,0,1766517881571
0,0,1766517882272
0,0.02,1766517883012
0,0,1766517884012
0,0.02,1766517884659
0,0.03,1766517885711
0,0.03,1766517886407
0,0.02,1766517887233
0,2,1766517888033
0,0,1766517888686
0,0.02,1766517889596
0,0,1766517890308
0,0,1766517891046
0,0.02,1766517891973
0,0,1766517892652
0,0,1766517893647
0,0.03,1766517894406
0,0.02,1766517895292
0,0,1766517896132
0,0,1766517896767
0,0,1766517897760
0,0.03,1766517898455
0,0,1766517899345
0,3,1766517900168
0,0.03,1766517900925
0,0.02,1766517901942
0,0.03,1766517902588
0,0.03,1766517903551
0,0.02,1766517904290
0,0,1766517905035
0,0.03,1766517906052
0,0.02,1766517906702
0,0,1766517907688
0,0,1766517908409
0,0.02,1766517909147
0,0.03,1766517910054
0,0.02,1766517910659
0,0.02,1766517911629
0,0.02,1766517912357
0,0,1766517913122
0,0.01,1766517914068
0,0,1766517914704
0,0,1766517915662
0,0,1766517916394
0,0.02,1766517917254
0,0.02,1766517918076
0,0.02,1766517918734
0,0,1766517919684
0,0,1766517920416
0,0.03,1766517921245
0,0,1766517922112
0,0,1766517922798
0,0,1766517923808
0,0.02,1766517924456
0,0,1766517925335
0,0.03,1766517926229
0,0,1766517926882
0,0.03,1766517927832
0,0,1766517928503
0,0,1766517929356
0,0.03,1766517930143
0,3,1766517930749
0,0.03,1766517931672
0,0.03,1766517932392
0,0,1766517933170
0,0.02,1766517934112
0,0,1766517934764
0,0.04,1766517935767
0,0,1766517936455
0,0,1766517937174
0,0,1766517938110
0,0,1766517938731
0,0.02,1766517939578
0,0,1766517940332
0,0,1766517941065
0,0.03,1766517942066
0,0.02,1766517942709
0,0,1766517943572
0,0,1766517944344
0,0,1766517945075
0,0.03,1766517946034
0,0.02,1766517946667
0,0,1766517947618
0,0.03,1766517948403
0,0.02,1766517949095
0,0,1766517950042
0,0,1766517950700
0,0.02,1766517951586
0,0,1766517952262
0,0,1766517952978
0,0,1766517953888
0,0,1766517954535
0,0.02,1766517955420
0,0.02,1766517956310
0,0,1766517957005
0,0,1766517957990
0,0,1766517958626
0,0.03,1766517959476
0,0,1766517960311
0,0,1766517961008
0,0.03,1766517961992
0,2,1766517962602
0,0,1766517963416
0,0,1766517964259
0,0,1766517964924
0,0,1766517965921
0,0,1766517966645
0,0.03,1766517967471
0,0.01,1766517968335
0,3,1766517968978
0,0.02,1766517970020
0,0,1766517970715
0,0.03,1766517971517
0,0,1766517972365
0,0.03,1766517972965
0,0,1766517973949
0,0,1766517974590
0,0.03,1766517975269
0,0,1766517976208
0,0.02,1766517976859
0,0,1766517977763
0,0.03,1766517978552
0,0.03,1766517979189
0,0,1766517980176
0,0,1766517980849
0,0,1766517981630
0,0,1766517982438
0,2,1766517983052
0,0.03,1766517984066
0,0.03,1766517984776
0,0,1766517985524
0,0.02,1766517986451
0,0,1766517987131
0,0.02,1766517988147
0,0.02,1766517988848
0,0,1766517989628
0,0,1766517990571
0,2,1766517991243
0,0,1766517992176
0,0,1766517992862
0,0.01,1766517993593
0,0,1766517994596
0,0.03,1766517995207
0,0,1766517996148
0,0,1766517996840
0,0.02,1766517997489
0,0.03,1766517998488
0,0,1766517999170
0,0.02,1766518000015
0,0.02,1766518000870
0,0.02,1766518001544
0,0,1766518002494
0,0,1766518003140
0,0.03,1766518003831
0,1,1766518004735
0,0,1766518005379
0,0.03,1766518006284
0,0,1766518006991
0,0.02,1766518007719
0,0,1766518008700
0,0,1766518009335
0,0.02,1766518010187
0,2,1766518011030
0,0,1766518011662
0,0.02,1766518012578
0,0.02,1766518013269
0,0.03,1766518014005
0,0.03,1766518014964
0,0.03,1766518015570
0,0.02,1766518016569
0,0,1766518017263
0,0,1766518017991
0,0.03,1766518018991
0,2,1766518019644
0,0.02,1766518020566
0,0,1766518021307
0,0,1766518022063
0,0.03,1766518023011
0,0,1766518023608
0,0,1766518024431
0,0,1766518025299
0,0,1766518026068
0,0,1766518027108
0,0.03,1766518027794
0,0,1766518028682
0,0.02,1766518029454
0,0.02,1766518030123
0,0,1766518031121
0,0.01,1766518031794
0,0.03,1766518032619
0,0,1766518033480
0,0,1766518034147
0,0,1766518035173
0,0.02,1766518035838
0,0.03,1766518036672
0,0.03,1766518037583
0,0,1766518038263
0,0.03,1766518039245
0,0,1766518039933
0,0.02,1766518040714
0,0,1766518041638
0,0,1766518042292
0,0.03,1766518043282
0,0.03,1766518043958
0,0.02,1766518044711
0,0.02,1766518045672
0,0,1766518046328
0,0.02,1766518047365
0,0,1766518048005
0,0,1766518048791
0,0,1766518049713
0,0.03,1766518050369
0,0.02,1766518051349
0,0,1766518052087
0,0,1766518052870
0,2,1766518053823
0,0.02,1766518054515
0,0,1766518055483
0,0,1766518056179
0,0.02,1766518056959
0,0.02,1766518057900
0,0,1766518058517
0,0,1766518059464
0,0.02,1766518060165
0,0,1766518060806
0,0,1766518061770
0,0,1766518062466
0,0.02,1766518063378
0,0,1766518064195
0,0,1766518064875
0,0,1766518065850
0,0.03,1766518066538
0,0.02,1766518067407
0,0.02,1766518068232
0,0,1766518068950
0,0,1766518069926
0,0.02,1766518070644
0,0.02,1766518071563
0,3,1766518072327
0,0.03,1766518073016
0,0,1766518073937
0,0,1766518074556
0,0.02,1766518075345
0,0,1766518076251
0,2,1766518076833
0,0.01,1766518077616
0,0.02,1766518078472
0,0,1766518079098
0,0,1766518080020
0,0.02,1766518080672
0,0.01,1766518081353
0,0,1766518082296
0,0.03,1766518082901
0,0.03,1766518083892
0,0.02,1766518084632
0,0,1766518085365
0,0.03,1766518086426
0,0.02,1766518087045
0,0.03,1766518087908
0,0,1766518088618
0,0,1766518089249
0,0.03,1766518090251
0,3,1766518090909
0,0,1766518091698
0,0.03,1766518092572
0,0,1766518093180
0,0,1766518094073
0,0,1766518094849
0,0.03,1766518095641
0,0,1766518096622
0,0.02,1766518097252
0,0,1766518098199
0,0.03,1766518098964
0,0.02,1766518099677
0,0.02,1766518100636
0,3,1766518101309
0,0,1766518102228
0,0,1766518102962
0,0.02,1766518103649
0,0.03,1766518104608
0,0,1766518105244
0,0,1766518106052
0,0,1766518106949
0,0,1766518107576
0,0,1766518108496
0,0.02,1766518109213
0,0,1766518109910
0,0,1766518110853
0,0.03,1766518111500
0,0.03,1766518112450
0,0,1766518113248
0,0,1766518113971
0,0.03,1766518114932
0,0,1766518115536
0,0,1766518116445
0,0.02,1766518117180
0,0,1766518117825
0,0,1766518118821
0,0.03,1766518119560
0,0.02,1766518120374
0,0,1766518121234
0,0.02,1766518121889
0,0,1766518122780
0,0,1766518123478
0,0,1766518124206
0,0.03,1766518125151
0,0.03,1766518125753
0,0,1766518126632
0,0,1766518127388
0,0,1766518128033
0,0.03,1766518129014
0,0,1766518129659
0,0,1766518130509
0,0,1766518131418
0,0,1766518132108
0,0,1766518133069
0,0.03,1766518133697
0,0.02,1766518134588
0,0,1766518135456
0,0,1766518136102
0,0,1766518137068
0,0,1766518137803
0,0,1766518138588
0,0.03,1766518139540
0,0,1766518140181
0,0,1766518141170
0,0,1766518141868
0,0.03,1766518142627
0,0.03,1766518143557
0,0.02,1766518144201
0,0,1766518145074
0,0.02,1766518145858
0,0.03,1766518146621
0,0.03,1766518147522
0,0,1766518148165
0,0,1766518149135
0,0,1766518149901
0,0,1766518150690
0,0,1766518151614
0,0.02,1766518152249
0,0.02,1766518153101
0,0.03,1766518153912
0,0.03,1766518154586
0,0.03,1766518155594
0,0.02,1766518156273
0,0.02,1766518157143
0,0.03,1766518157881
0,0,1766518158558
0,0.03,1766518159567
