gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,32.0,1766496433511
0,32.0,1766496434118
0,32.0,1766496434596
0,32.0,1766496435076
0,32.0,1766496435542
0,32.0,1766496436112
0,32.0,1766496436649
0,32.0,1766496437189
0,32.0,1766496437724
0,32.0,1766496438446
0,32.0,1766496439098
0,32.0,1766496439814
0,32.0,1766496440540
0,32.0,1766496441129
0,33.0,1766496442151
0,33.0,1766496442860
0,33.0,1766496443543
0,33.0,1766496444551
0,33.0,1766496445199
0,33.0,1766496446188
0,33.0,1766496446882
0,33.0,1766496447639
0,33.0,1766496448539
0,33.0,1766496449135
0,33.0,1766496450080
0,33.0,1766496450733
0,33.0,1766496451460
0,33.0,1766496452428
0,33.0,1766496453013
0,33.0,1766496453915
0,33.0,1766496454640
0,33.0,1766496455396
0,33.0,1766496456327
0,33.0,1766496456931
0,33.0,1766496457902
0,34.0,1766496458615
0,34.0,1766496459401
0,34.0,1766496460268
0,34.0,1766496460840
0,34.0,1766496461820
0,34.0,1766496462543
0,34.0,1766496463217
0,34.0,1766496464228
0,34.0,1766496464860
0,34.0,1766496465890
0,34.0,1766496466602
0,34.0,1766496467444
0,34.0,1766496468325
0,34.0,1766496469070
0,34.0,1766496470027
0,34.0,1766496470685
0,34.0,1766496471626
0,34.0,1766496472436
0,34.0,1766496473200
0,34.0,1766496474123
0,34.0,1766496474774
0,34.0,1766496475686
0,34.0,1766496476444
0,34.0,1766496477049
0,34.0,1766496477998
0,34.0,1766496478682
0,34.0,1766496479487
0,35.0,1766496480400
0,35.0,1766496481076
0,35.0,1766496482014
0,35.0,1766496482651
0,35.0,1766496483448
0,35.0,1766496484349
0,35.0,1766496485020
0,35.0,1766496485965
0,35.0,1766496486621
0,35.0,1766496487400
0,35.0,1766496488298
0,35.0,1766496488966
0,35.0,1766496489985
0,35.0,1766496490653
0,35.0,1766496491426
0,35.0,1766496492361
0,35.0,1766496492986
0,35.0,1766496493969
0,35.0,1766496494683
0,35.0,1766496495460
0,35.0,1766496496379
0,35.0,1766496497004
0,35.0,1766496497975
