memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,1.5,1766494755354
0,1.5,1766494755950
0,1.6,1766494756513
0,1.6,1766494757033
0,1.7,1766494757576
0,1.8,1766494758124
0,1.9,1766494758664
0,2.0,1766494759211
0,2.1,1766494759760
0,2.2,1766494760353
0,2.3,1766494760945
0,2.1,1766494761592
0,2.0,1766494762262
0,1.9,1766494762996
0,1.6,1766494763650
0,1.6,1766494764342
0,1.6,1766494765236
0,1.6,1766494765952
0,1.6,1766494766894
0,1.6,1766494767619
0,1.6,1766494768529
0,1.6,1766494769384
0,1.6,1766494770098
0,1.6,1766494771137
0,1.6,1766494771835
0,1.6,1766494772823
0,1.6,1766494773557
0,1.6,1766494774336
0,1.6,1766494775295
0,1.6,1766494775984
0,1.6,1766494776967
0,1.6,1766494777724
0,1.6,1766494778499
0,1.6,1766494779377
0,1.6,1766494780056
0,1.6,1766494781069
0,1.6,1766494781746
0,1.6,1766494782609
0,1.6,1766494783429
0,1.6,1766494784120
0,1.6,1766494785104
0,1.6,1766494785774
0,1.6,1766494786693
0,1.6,1766494787495
0,1.6,1766494788158
0,1.6,1766494789148
0,1.6,1766494789832
0,1.6,1766494790821
0,1.6,1766494791545
0,1.6,1766494792293
0,1.6,1766494793262
0,1.6,1766494793951
0,1.6,1766494794939
0,1.6,1766494795702
0,1.6,1766494796437
0,1.6,1766494797332
0,1.6,1766494797967
0,1.6,1766494798900
0,1.6,1766494799642
0,1.6,1766494800390
0,1.6,1766494801339
0,1.6,1766494802003
0,1.6,1766494802973
0,1.6,1766494803663
1,1.6,1766494804423
1,1.6,1766494805128
1,1.4,1766494805764
1,1.4,1766494806379
1,1.4,1766494807082
1,1.4,1766494807524
1,1.4,1766494808031
1,1.4,1766494808766
1,1.4,1766494809246
1,1.4,1766494809727
1,1.4,1766494810406
1,1.4,1766494810883
1,1.4,1766494811305
1,1.4,1766494811937
1,1.4,1766494812511
1,1.4,1766494812907
1,1.4,1766494813358
1,1.4,1766494814054
1,1.4,1766494814493
1,1.4,1766494814889
1,1.4,1766494815491
1,1.4,1766494816134
1,1.4,1766494816547
1,1.4,1766494817040
1,1.4,1766494817802
1,1.4,1766494818226
1,1.4,1766494818662
1,1.4,1766494819399
1,1.4,1766494819950
1,1.4,1766494820352
1,1.4,1766494820952
1,1.4,1766494821646
1,1.4,1766494822065
1,1.4,1766494822636
1,1.4,1766494823371
1,1.4,1766494823809
1,1.4,1766494824271
1,1.4,1766494824996
1,1.4,1766494825475
1,1.4,1766494825914
1,1.4,1766494826539
1,1.4,1766494827110
1,1.4,1766494827522
1,1.4,1766494828059
1,1.4,1766494828765
1,1.4,1766494829176
1,1.4,1766494829602
1,1.4,1766494830304
1,1.4,1766494830788
1,1.4,1766494831214
1,1.4,1766494831744
1,1.4,1766494832460
1,1.4,1766494832875
1,1.4,1766494833340
1,1.4,1766494834067
1,1.4,1766494834563
1,1.4,1766494835004
1,1.4,1766494835688
1,1.4,1766494836274
1,1.4,1766494836701
1,1.4,1766494837246
1,1.4,1766494837951
1,1.4,1766494838375
1,1.4,1766494838828
2,1.4,1766494839573
2,1.4,1766494840063
2,1.4,1766494840498
2,1.4,1766494841203
2,1.4,1766494841784
2,1.4,1766494842186
2,1.4,1766494842796
2,1.4,1766494843419
2,1.4,1766494843838
2,1.4,1766494844294
2,1.4,1766494844996
2,1.4,1766494845462
2,1.4,1766494845881
2,1.4,1766494846484
2,1.4,1766494847083
2,1.4,1766494847515
2,1.4,1766494847973
2,1.4,1766494848693
2,1.4,1766494849138
2,1.4,1766494849555
2,1.4,1766494850211
2,1.4,1766494850806
2,1.4,1766494851215
2,1.4,1766494851757
2,1.4,1766494852480
2,1.4,1766494852887
2,1.4,1766494853305
2,1.4,1766494853961
2,1.4,1766494854495
2,1.4,1766494854893
2,1.4,1766494855399
2,1.4,1766494856114
2,1.4,1766494856551
2,1.4,1766494856987
2,1.4,1766494857721
2,1.4,1766494858221
2,1.4,1766494858655
2,1.4,1766494859264
2,1.4,1766494859895
2,1.4,1766494860304
2,1.4,1766494860763
2,1.4,1766494861480
2,1.4,1766494861934
2,1.4,1766494862366
2,1.4,1766494862983
2,1.4,1766494863615
2,1.4,1766494864022
2,1.4,1766494864507
2,1.4,1766494865259
2,1.4,1766494865683
2,1.4,1766494866135
2,1.4,1766494866828
2,1.4,1766494867382
2,1.4,1766494867831
2,1.4,1766494868407
2,1.4,1766494869066
2,1.4,1766494869546
2,1.5,1766494870352
2,1.5,1766494870981
2,1.5,1766494871416
2,1.5,1766494871923
2,1.6,1766494872746
2,1.5,1766494873318
2,1.5,1766494874179
