gpu_power_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.0,1766518638476
0,0.0,1766518639521
0,0.0,1766518640173
0,0.0,1766518640876
0,0.0,1766518641839
0,0.0,1766518642461
0,0.0,1766518643331
0,0.0,1766518644089
0,0.0,1766518644731
0,0.0,1766518645747
0,0.0,1766518646380
0,0.0,1766518647117
0,0.0,1766518648065
0,0.0,1766518648667
0,0.0,1766518649666
0,0.0,1766518650400
0,0.0,1766518651239
0,0.0,1766518652125
0,0.0,1766518652750
0,0.0,1766518653700
0,0.0,1766518654407
0,0.0,1766518655149
0,0.0,1766518656123
0,0.0,1766518656756
0,0.0,1766518657640
0,0.0,1766518658450
0,0.0,1766518659167
0,0.0,1766518660146
0,0.0,1766518660804
0,0.0,1766518661729
0,0.0,1766518662537
0,0.0,1766518663291
0,0.0,1766518664241
0,0.0,1766518664895
0,0.0,1766518665863
0,0.0,1766518666632
0,0.0,1766518667358
0,0.0,1766518668232
0,0.0,1766518668813
0,0.0,1766518669688
0,0.0,1766518670446
0,0.0,1766518671093
0,0.0,1766518672030
0,0.0,1766518672611
0,0.0,1766518673374
0,0.0,1766518674240
0,0.0,1766518674820
0,0.0,1766518675668
0,0.0,1766518676343
0,0.0,1766518676987
0,0.0,1766518677927
0,0.0,1766518678571
0,0.0,1766518679420
0,0.0,1766518680088
0,0.0,1766518680724
0,0.0,1766518681742
0,0.0,1766518682447
0,0.0,1766518683408
0,0.0,1766518684155
0,0.0,1766518684957
0,0.0,1766518685779
0,0.0,1766518686479
0,0.0,1766518687469
0,0.0,1766518688177
0,0.0,1766518689087
0,0.0,1766518689891
0,0.0,1766518690626
0,0.0,1766518691575
0,0.0,1766518692225
0,0.0,1766518693133
0,0.0,1766518693916
0,0.0,1766518694663
0,0.0,1766518695588
0,0.0,1766518696316
0,0.0,1766518697230
0,0.0,1766518697939
0,0.0,1766518698784
0,0.0,1766518699699
0,0.0,1766518700447
0,0.0,1766518701344
0,0.0,1766518702096
0,0.0,1766518703011
0,0.0,1766518703770
0,0.0,1766518704552
0,0.0,1766518705378
0,0.0,1766518706143
0,0.0,1766518707051
0,0.0,1766518707835
0,0.0,1766518708801
0,0.0,1766518709482
0,0.0,1766518710227
0,0.0,1766518711163
0,0.0,1766518711852
0,0.0,1766518712749
0,0.0,1766518713496
0,0.0,1766518714276
0,0.0,1766518715058
0,0.0,1766518715849
0,0.0,1766518716663
0,0.0,1766518717441
0,0.0,1766518718358
0,0.0,1766518719160
0,0.0,1766518719994
0,0.0,1766518720817
0,0.0,1766518721665
0,0.0,1766518722488
0,0.0,1766518723287
0,0.0,1766518724076
0,0.0,1766518724902
0,0.0,1766518725768
