cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,3.4,1766745895830
0,3.4,1766745896225
0,3.6,1766745896554
0,3.7,1766745896883
0,3.9,1766745897210
0,4.0,1766745897544
0,3.6,1766745897871
0,3.6,1766745898192
0,3.6,1766745898511
0,3.6,1766745898832
0,3.5,1766745899144
0,3.6,1766745899458
0,3.5,1766745899769
0,3.5,1766745900083
0,3.6,1766745900397
0,3.5,1766745900724
0,3.4,1766745901066
0,3.6,1766745901379
0,3.5,1766745901715
0,3.4,1766745902053
0,3.6,1766745902378
0,3.6,1766745902704
0,3.6,1766745903031
0,3.6,1766745903364
0,3.6,1766745903693
0,3.6,1766745904017
0,3.6,1766745904341
0,3.6,1766745904666
0,3.6,1766745904979
0,3.6,1766745905293
0,3.5,1766745905606
0,3.6,1766745905921
0,3.5,1766745906239
0,3.4,1766745906570
0,3.5,1766745906892
0,3.6,1766745907206
0,3.5,1766745907540
0,3.4,1766745907868
0,3.6,1766745908187
0,3.6,1766745908514
0,3.6,1766745908840
0,3.6,1766745909172
0,3.6,1766745909503
0,3.6,1766745909825
0,3.5,1766745910148
0,3.6,1766745910472
0,3.7,1766745910783
0,3.5,1766745911097
0,3.6,1766745911410
0,3.5,1766745911724
0,3.6,1766745912044
0,3.5,1766745912380
0,3.4,1766745912710
0,3.6,1766745913029
0,3.5,1766745913364
0,3.5,1766745913689
0,3.6,1766745914008
0,3.6,1766745914338
0,3.6,1766745914664
0,3.6,1766745914995
0,3.6,1766745915324
0,3.6,1766745915643
0,3.6,1766745915964
0,3.5,1766745916282
0,3.6,1766745916595
0,3.5,1766745916905
0,3.6,1766745917225
0,3.6,1766745917544
0,3.6,1766745917856
0,3.6,1766745918194
0,3.3,1766745918527
0,3.5,1766745918849
0,3.4,1766745919188
0,3.5,1766745919506
0,3.6,1766745919830
0,3.6,1766745920160
0,3.6,1766745920493
0,3.5,1766745920824
0,3.6,1766745921155
0,3.6,1766745921478
0,3.6,1766745921800
0,3.6,1766745922121
0,3.6,1766745922437
0,3.6,1766745922756
0,3.5,1766745923070
0,3.6,1766745923386
0,3.6,1766745923701
0,3.6,1766745924039
0,3.4,1766745924376
0,3.6,1766745924700
0,3.4,1766745925043
0,3.5,1766745925366
0,3.6,1766745925696
0,3.6,1766745926018
0,3.5,1766745926346
0,3.6,1766745926678
0,3.6,1766745927006
0,3.6,1766745927325
0,3.6,1766745927652
0,3.6,1766745927966
0,3.5,1766745928288
0,3.6,1766745928607
0,3.6,1766745928924
0,3.5,1766745929238
0,3.6,1766745929556
0,3.6,1766745929895
0,3.3,1766745930231
0,3.6,1766745930563
0,3.3,1766745930908
0,3.5,1766745931237
0,3.6,1766745931568
0,3.6,1766745931905
0,3.6,1766745932235
0,3.5,1766745932566
0,3.6,1766745932899
0,3.6,1766745933223
0,3.6,1766745933547
0,3.6,1766745933864
0,3.6,1766745934179
0,3.6,1766745934499
0,3.6,1766745934816
0,3.6,1766745935132
0,3.6,1766745935451
0,3.5,1766745935785
0,3.4,1766745936123
0,3.5,1766745936455
0,3.4,1766745936789
0,3.5,1766745937110
0,3.6,1766745937441
0,3.6,1766745937767
0,3.6,1766745938099
0,3.6,1766745938434
0,3.6,1766745938763
0,3.6,1766745939085
0,3.6,1766745939408
0,3.6,1766745939720
0,3.6,1766745940035
0,3.6,1766745940352
0,3.6,1766745940667
0,3.6,1766745940987
0,3.5,1766745941306
0,3.6,1766745941639
0,3.4,1766745941973
0,3.4,1766745942306
0,3.6,1766745942624
0,3.6,1766745942942
0,3.6,1766745943270
0,3.6,1766745943598
0,3.6,1766745943929
0,3.5,1766745944258
0,3.6,1766745944591
0,3.6,1766745944916
0,3.6,1766745945239
0,3.5,1766745945553
0,3.5,1766745945867
0,3.6,1766745946186
0,3.6,1766745946503
0,3.6,1766745946820
0,3.5,1766745947137
0,3.5,1766745947474
0,3.3,1766745947807
0,3.4,1766745948149
0,3.6,1766745948470
0,3.6,1766745948797
0,3.6,1766745949125
0,3.6,1766745949452
0,3.6,1766745949783
0,3.5,1766745950113
0,3.6,1766745950442
0,3.6,1766745950770
0,3.6,1766745951083
0,3.5,1766745951400
0,3.5,1766745951714
0,3.7,1766745952031
0,3.5,1766745952345
0,3.6,1766745952662
0,3.6,1766745952985
0,3.6,1766745953326
0,3.4,1766745953677
0,3.5,1766745954020
0,3.5,1766745954342
0,3.6,1766745954672
0,3.6,1766745954999
0,3.6,1766745955335
0,3.6,1766745955667
0,3.6,1766745956000
0,3.6,1766745956333
0,3.6,1766745956657
0,3.5,1766745956972
0,4.2,1766745957287
0,4.4,1766745957604
0,3.6,1766745957920
0,3.6,1766745958237
0,3.6,1766745958555
0,3.5,1766745958872
0,3.5,1766745959207
0,3.3,1766745959561
0,3.4,1766745959896
0,3.5,1766745960217
0,3.6,1766745960545
0,3.6,1766745960882
0,3.6,1766745961209
0,3.5,1766745961541
0,3.6,1766745961872
0,3.6,1766745962203
0,3.6,1766745962527
0,3.6,1766745962844
0,3.7,1766745963155
0,3.6,1766745963467
0,3.5,1766745963784
0,3.6,1766745964103
0,3.5,1766745964421
0,3.5,1766745964738
0,3.6,1766745965072
0,3.2,1766745965420
0,3.6,1766745965743
0,3.6,1766745966063
0,3.5,1766745966392
0,3.6,1766745966721
0,3.6,1766745967054
0,3.6,1766745967383
0,3.6,1766745967713
0,3.6,1766745968047
0,3.6,1766745968369
0,3.6,1766745968684
0,3.6,1766745969000
0,3.6,1766745969315
0,3.6,1766745969632
0,3.5,1766745969949
0,3.6,1766745970266
0,3.6,1766745970584
0,3.5,1766745970918
0,3.2,1766745971280
0,3.5,1766745971598
0,3.6,1766745971923
0,3.6,1766745972251
0,3.6,1766745972580
0,3.5,1766745972918
0,3.6,1766745973251
0,3.6,1766745973581
0,3.6,1766745973912
0,3.6,1766745974230
0,3.6,1766745974543
0,3.5,1766745974860
0,3.6,1766745975174
0,3.5,1766745975492
0,3.6,1766745975812
0,3.6,1766745976135
0,3.5,1766745976458
0,3.5,1766745976796
0,3.2,1766745977164
0,3.5,1766745977486
0,3.6,1766745977819
0,3.6,1766745978145
0,3.6,1766745978476
0,3.6,1766745978814
0,3.6,1766745979145
0,3.6,1766745979476
0,3.6,1766745979808
0,3.6,1766745980125
0,3.5,1766745980441
0,3.6,1766745980758
0,3.6,1766745981073
0,3.6,1766745981389
0,3.6,1766745981708
0,3.5,1766745982026
0,3.6,1766745982345
0,3.4,1766745982693
0,3.3,1766745983036
0,3.5,1766745983354
0,3.6,1766745983685
0,3.5,1766745984013
0,3.6,1766745984348
0,3.6,1766745984684
0,3.6,1766745985011
0,3.6,1766745985346
0,3.6,1766745985677
0,3.6,1766745985989
0,3.6,1766745986307
0,3.5,1766745986622
0,3.6,1766745986939
0,3.6,1766745987263
0,3.6,1766745987581
0,3.5,1766745987898
0,3.6,1766745988216
0,3.3,1766745988559
0,3.4,1766745988887
0,3.5,1766745989206
0,3.6,1766745989534
0,3.6,1766745989863
0,3.6,1766745990200
0,3.6,1766745990529
0,3.6,1766745990860
0,3.6,1766745991192
0,3.6,1766745991523
0,3.5,1766745991837
0,3.6,1766745992151
0,3.5,1766745992467
0,3.6,1766745992784
0,3.6,1766745993102
0,3.6,1766745993428
0,3.6,1766745993746
0,3.6,1766745994065
0,3.2,1766745994412
0,3.5,1766745994738
0,3.6,1766745995056
0,3.6,1766745995386
0,3.5,1766745995714
0,3.6,1766745996048
0,3.6,1766745996383
0,3.5,1766745996708
0,3.6,1766745997038
0,3.5,1766745997369
0,3.6,1766745997686
0,3.6,1766745998001
0,3.6,1766745998313
0,3.6,1766745998629
0,3.5,1766745998946
0,3.6,1766745999269
