disk_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,1.5,1766745895830
0,1.5,1766745896225
0,1.5,1766745896554
0,1.5,1766745896883
0,1.5,1766745897210
0,1.5,1766745897544
0,1.5,1766745897871
0,1.5,1766745898192
0,1.5,1766745898511
0,1.5,1766745898832
0,1.5,1766745899144
0,1.5,1766745899458
0,1.5,1766745899769
0,1.5,1766745900083
0,1.5,1766745900397
0,1.5,1766745900724
0,1.5,1766745901066
0,1.5,1766745901379
0,1.5,1766745901715
0,1.5,1766745902053
0,1.5,1766745902378
0,1.5,1766745902704
0,1.5,1766745903031
0,1.5,1766745903364
0,1.5,1766745903693
0,1.5,1766745904018
0,1.5,1766745904341
0,1.5,1766745904666
0,1.5,1766745904979
0,1.5,1766745905293
0,1.5,1766745905606
0,1.5,1766745905921
0,1.5,1766745906239
0,1.5,1766745906570
0,1.5,1766745906892
0,1.5,1766745907207
0,1.5,1766745907540
0,1.5,1766745907868
0,1.5,1766745908187
0,1.5,1766745908514
0,1.5,1766745908840
0,1.5,1766745909172
0,1.5,1766745909503
0,1.5,1766745909826
0,1.5,1766745910148
0,1.5,1766745910472
0,1.5,1766745910783
0,1.5,1766745911097
0,1.5,1766745911411
0,1.5,1766745911724
0,1.5,1766745912044
0,1.5,1766745912380
0,1.5,1766745912710
0,1.5,1766745913030
0,1.5,1766745913364
0,1.5,1766745913689
0,1.5,1766745914008
0,1.5,1766745914338
0,1.5,1766745914664
0,1.5,1766745914995
0,1.5,1766745915324
0,1.5,1766745915643
0,1.5,1766745915964
0,1.5,1766745916282
0,1.5,1766745916595
0,1.5,1766745916905
0,1.5,1766745917225
0,1.5,1766745917544
0,1.5,1766745917856
0,1.5,1766745918194
0,1.5,1766745918528
0,1.5,1766745918849
0,1.5,1766745919188
0,1.5,1766745919506
0,1.5,1766745919830
0,1.5,1766745920160
0,1.5,1766745920493
0,1.5,1766745920824
0,1.5,1766745921155
0,1.5,1766745921478
0,1.5,1766745921801
0,1.5,1766745922121
0,1.5,1766745922437
0,1.5,1766745922756
0,1.5,1766745923070
0,1.5,1766745923386
0,1.5,1766745923701
0,1.5,1766745924040
0,1.5,1766745924376
0,1.5,1766745924700
0,1.5,1766745925043
0,1.5,1766745925367
0,1.5,1766745925696
0,1.5,1766745926018
0,1.5,1766745926346
0,1.5,1766745926678
0,1.5,1766745927006
0,1.5,1766745927326
0,1.5,1766745927652
0,1.5,1766745927968
0,1.5,1766745928289
0,1.5,1766745928607
0,1.5,1766745928924
0,1.5,1766745929238
0,1.5,1766745929556
0,1.5,1766745929895
0,1.5,1766745930231
0,1.5,1766745930563
0,1.5,1766745930908
0,1.5,1766745931237
0,1.5,1766745931568
0,1.5,1766745931905
0,1.5,1766745932235
0,1.5,1766745932567
0,1.5,1766745932899
0,1.5,1766745933223
0,1.5,1766745933547
0,1.5,1766745933864
0,1.5,1766745934179
0,1.5,1766745934499
0,1.5,1766745934816
0,1.5,1766745935132
0,1.5,1766745935451
0,1.5,1766745935785
0,1.5,1766745936123
0,1.5,1766745936455
0,1.5,1766745936789
0,1.5,1766745937110
0,1.5,1766745937441
0,1.5,1766745937767
0,1.5,1766745938100
0,1.5,1766745938434
0,1.5,1766745938763
0,1.5,1766745939085
0,1.5,1766745939408
0,1.5,1766745939720
0,1.5,1766745940035
0,1.5,1766745940352
0,1.5,1766745940667
0,1.5,1766745940987
0,1.5,1766745941306
0,1.5,1766745941639
0,1.5,1766745941973
0,1.5,1766745942306
0,1.5,1766745942624
0,1.5,1766745942942
0,1.5,1766745943270
0,1.5,1766745943599
0,1.5,1766745943929
0,1.5,1766745944258
0,1.5,1766745944591
0,1.5,1766745944916
0,1.5,1766745945239
0,1.5,1766745945553
0,1.5,1766745945868
0,1.5,1766745946186
0,1.5,1766745946503
0,1.5,1766745946820
0,1.5,1766745947137
0,1.5,1766745947474
0,1.5,1766745947807
0,1.5,1766745948149
0,1.5,1766745948470
0,1.5,1766745948797
0,1.5,1766745949125
0,1.5,1766745949452
0,1.5,1766745949783
0,1.5,1766745950114
0,1.5,1766745950442
0,1.5,1766745950770
0,1.5,1766745951083
0,1.5,1766745951400
0,1.5,1766745951714
0,1.5,1766745952031
0,1.5,1766745952345
0,1.5,1766745952662
0,1.5,1766745952985
0,1.5,1766745953326
0,1.5,1766745953678
0,1.5,1766745954020
0,1.5,1766745954342
0,1.5,1766745954672
0,1.5,1766745954999
0,1.5,1766745955335
0,1.5,1766745955667
0,1.5,1766745956000
0,1.5,1766745956333
0,1.5,1766745956657
0,1.5,1766745956972
0,1.5,1766745957287
0,1.5,1766745957605
0,1.5,1766745957920
0,1.5,1766745958237
0,1.5,1766745958555
0,1.5,1766745958873
0,1.5,1766745959207
0,1.5,1766745959562
0,1.5,1766745959896
0,1.5,1766745960217
0,1.5,1766745960547
0,1.5,1766745960882
0,1.5,1766745961209
0,1.5,1766745961541
0,1.5,1766745961872
0,1.5,1766745962203
0,1.5,1766745962527
0,1.5,1766745962844
0,1.5,1766745963155
0,1.5,1766745963468
0,1.5,1766745963784
0,1.5,1766745964103
0,1.5,1766745964421
0,1.5,1766745964738
0,1.5,1766745965072
0,1.5,1766745965421
0,1.5,1766745965743
0,1.5,1766745966063
0,1.5,1766745966393
0,1.5,1766745966721
0,1.5,1766745967054
0,1.5,1766745967383
0,1.5,1766745967713
0,1.5,1766745968047
0,1.5,1766745968369
0,1.5,1766745968684
0,1.5,1766745969000
0,1.5,1766745969315
0,1.5,1766745969632
0,1.5,1766745969950
0,1.5,1766745970266
0,1.5,1766745970584
0,1.5,1766745970918
0,1.5,1766745971280
0,1.5,1766745971598
0,1.5,1766745971923
0,1.5,1766745972251
0,1.5,1766745972580
0,1.5,1766745972918
0,1.5,1766745973251
0,1.5,1766745973581
0,1.5,1766745973912
0,1.5,1766745974231
0,1.5,1766745974543
0,1.5,1766745974860
0,1.5,1766745975174
0,1.5,1766745975492
0,1.5,1766745975812
0,1.5,1766745976135
0,1.5,1766745976458
0,1.5,1766745976796
0,1.5,1766745977164
0,1.5,1766745977486
0,1.5,1766745977819
0,1.5,1766745978145
0,1.5,1766745978476
0,1.5,1766745978814
0,1.5,1766745979146
0,1.5,1766745979476
0,1.5,1766745979808
0,1.5,1766745980125
0,1.5,1766745980441
0,1.5,1766745980759
0,1.5,1766745981073
0,1.5,1766745981389
0,1.5,1766745981708
0,1.5,1766745982026
0,1.5,1766745982345
0,1.5,1766745982693
0,1.5,1766745983036
0,1.5,1766745983354
0,1.5,1766745983685
0,1.5,1766745984013
0,1.5,1766745984348
0,1.5,1766745984684
0,1.5,1766745985011
0,1.5,1766745985346
0,1.5,1766745985677
0,1.5,1766745985990
0,1.5,1766745986307
0,1.5,1766745986622
0,1.5,1766745986939
0,1.5,1766745987263
0,1.5,1766745987581
0,1.5,1766745987898
0,1.5,1766745988216
0,1.5,1766745988560
0,1.5,1766745988888
0,1.5,1766745989206
0,1.5,1766745989534
0,1.5,1766745989864
0,1.5,1766745990200
0,1.5,1766745990529
0,1.5,1766745990860
0,1.5,1766745991192
0,1.5,1766745991523
0,1.5,1766745991837
0,1.5,1766745992151
0,1.5,1766745992467
0,1.5,1766745992784
0,1.5,1766745993105
0,1.5,1766745993428
0,1.5,1766745993746
0,1.5,1766745994065
0,1.5,1766745994413
0,1.5,1766745994738
0,1.5,1766745995056
0,1.5,1766745995387
0,1.5,1766745995714
0,1.5,1766745996048
0,1.5,1766745996383
0,1.5,1766745996708
0,1.5,1766745997038
0,1.5,1766745997369
0,1.5,1766745997686
0,1.5,1766745998001
0,1.5,1766745998313
0,1.5,1766745998629
0,1.5,1766745998946
0,1.5,1766745999270
0,1.5,1766745999587
0,1.5,1766745999904
0,1.5,1766746000257
0,1.5,1766746000580
0,1.5,1766746000900
0,1.5,1766746001226
0,1.5,1766746001560
0,1.5,1766746001894
0,1.5,1766746002223
0,1.5,1766746002557
0,1.5,1766746002888
0,1.5,1766746003208
0,1.5,1766746003522
0,1.5,1766746003839
0,1.5,1766746004155
0,1.5,1766746004472
0,1.5,1766746004792
0,1.5,1766746005113
0,1.5,1766746005431
0,1.5,1766746005762
0,1.5,1766746006109
0,1.5,1766746006437
0,1.5,1766746006767
0,1.5,1766746007096
0,1.5,1766746007427
0,1.5,1766746007762
0,1.5,1766746008095
0,1.5,1766746008421
0,1.5,1766746008754
0,1.5,1766746009079
0,1.5,1766746009397
0,1.5,1766746009711
0,1.5,1766746010026
0,1.5,1766746010341
0,1.5,1766746010660
0,1.5,1766746010979
0,1.5,1766746011297
0,1.5,1766746011631
0,1.5,1766746011977
0,1.5,1766746012294
0,1.5,1766746012617
0,1.5,1766746012944
0,1.5,1766746013278
0,1.5,1766746013611
0,1.5,1766746013941
0,1.5,1766746014273
0,1.5,1766746014605
0,1.5,1766746014928
0,1.5,1766746015244
0,1.5,1766746015560
0,1.5,1766746015879
0,1.5,1766746016197
0,1.5,1766746016519
0,1.5,1766746016835
0,1.5,1766746017154
0,1.5,1766746017495
0,1.5,1766746017831
0,1.5,1766746018151
0,1.5,1766746018472
0,1.5,1766746018801
0,1.5,1766746019133
0,1.5,1766746019465
0,1.5,1766746019800
0,1.5,1766746020133
0,1.5,1766746020460
0,1.5,1766746020781
0,1.5,1766746021097
0,1.5,1766746021414
0,1.5,1766746021728
0,1.5,1766746022047
0,1.5,1766746022371
0,1.5,1766746022691
0,1.5,1766746023011
0,1.5,1766746023345
0,1.5,1766746023674
0,1.5,1766746023990
0,1.5,1766746024317
0,1.5,1766746024644
0,1.5,1766746024971
0,1.5,1766746025304
0,1.5,1766746025641
0,1.5,1766746025981
0,1.5,1766746026310
0,1.5,1766746026631
0,1.5,1766746026945
0,1.5,1766746027263
0,1.5,1766746027580
0,1.5,1766746027901
0,1.5,1766746028221
0,1.5,1766746028543
0,1.5,1766746028865
0,1.5,1766746029205
0,1.5,1766746029535
0,1.5,1766746029859
0,1.5,1766746030184
0,1.5,1766746030516
0,1.5,1766746030850
0,1.5,1766746031180
0,1.5,1766746031513
0,1.5,1766746031843
0,1.5,1766746032166
0,1.5,1766746032491
0,1.5,1766746032809
0,1.5,1766746033125
0,1.5,1766746033442
0,1.5,1766746033757
0,1.5,1766746034076
0,1.5,1766746034398
0,1.5,1766746034740
0,1.5,1766746035076
0,1.5,1766746035418
0,1.5,1766746035741
0,1.5,1766746036064
0,1.5,1766746036398
0,1.5,1766746036731
0,1.5,1766746037061
0,1.5,1766746037395
0,1.5,1766746037729
0,1.5,1766746038052
0,1.5,1766746038372
0,1.5,1766746038690
0,1.5,1766746039007
0,1.5,1766746039329
0,1.5,1766746039646
0,1.5,1766746039962
0,1.5,1766746040284
0,1.5,1766746040618
0,1.5,1766746040949
0,1.5,1766746041283
0,1.5,1766746041608
0,1.5,1766746041933
0,1.5,1766746042267
0,1.5,1766746042604
0,1.5,1766746042938
0,1.5,1766746043270
0,1.5,1766746043604
0,1.5,1766746043930
0,1.5,1766746044251
0,1.5,1766746044567
0,1.5,1766746044881
0,1.5,1766746045200
