gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,62.0,1766737414341
0,62.0,1766737414562
0,62.0,1766737414723
0,62.0,1766737414878
0,62.0,1766737415032
0,62.0,1766737415185
0,62.0,1766737415329
0,62.0,1766737415486
0,62.0,1766737415643
0,62.0,1766737415809
0,62.0,1766737415965
0,62.0,1766737416115
0,62.0,1766737416258
0,62.0,1766737416404
0,62.0,1766737416553
0,62.0,1766737416702
0,62.0,1766737416852
0,62.0,1766737417001
0,62.0,1766737417154
0,62.0,1766737417303
0,62.0,1766737417457
0,62.0,1766737417609
0,62.0,1766737417760
0,61.0,1766737417929
0,61.0,1766737418105
0,62.0,1766737418275
0,62.0,1766737418427
0,62.0,1766737418583
0,62.0,1766737418729
0,62.0,1766737418879
0,62.0,1766737419024
0,62.0,1766737419174
0,62.0,1766737419323
0,62.0,1766737419474
0,62.0,1766737419623
0,62.0,1766737419773
0,62.0,1766737419926
0,62.0,1766737420081
0,62.0,1766737420232
0,62.0,1766737420387
0,62.0,1766737420541
0,62.0,1766737420696
0,62.0,1766737420850
0,62.0,1766737421001
0,62.0,1766737421144
0,62.0,1766737421291
0,62.0,1766737421457
0,62.0,1766737421619
0,62.0,1766737421776
0,62.0,1766737421920
0,62.0,1766737422065
0,62.0,1766737422208
0,63.0,1766737422359
0,63.0,1766737422510
0,62.0,1766737422659
0,62.0,1766737422810
0,62.0,1766737422966
0,62.0,1766737423118
0,62.0,1766737423270
0,62.0,1766737423432
0,62.0,1766737423585
0,62.0,1766737423748
0,62.0,1766737423916
0,62.0,1766737424098
