gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,1.0,1766742076811
0,1.0,1766742077033
0,1.0,1766742077183
0,1.0,1766742077334
0,1.0,1766742077484
0,1.0,1766742077632
0,1.0,1766742077789
0,1.0,1766742077940
0,1.0,1766742078092
0,1.0,1766742078243
0,1.0,1766742078397
0,1.0,1766742078547
0,1.0,1766742078703
0,1.0,1766742078852
0,1.0,1766742079021
0,1.0,1766742079187
0,1.0,1766742079348
0,1.0,1766742079494
0,1.0,1766742079638
0,1.0,1766742079787
0,1.0,1766742079941
0,1.0,1766742080092
0,1.0,1766742080244
0,1.0,1766742080394
0,1.0,1766742080544
0,1.0,1766742080699
0,1.0,1766742080856
0,1.0,1766742081011
0,1.0,1766742081168
0,1.0,1766742081321
0,1.0,1766742081472
0,1.0,1766742081627
0,1.0,1766742081779
0,1.0,1766742081947
0,1.0,1766742082120
0,1.0,1766742082289
0,1.0,1766742082436
0,1.0,1766742082583
0,1.0,1766742082732
0,1.0,1766742082883
0,1.0,1766742083031
0,1.0,1766742083180
0,1.0,1766742083327
0,1.0,1766742083479
0,1.0,1766742083629
0,1.0,1766742083784
0,1.0,1766742083936
0,1.0,1766742084091
0,1.0,1766742084244
0,1.0,1766742084399
0,1.0,1766742084553
0,1.0,1766742084706
0,1.0,1766742084874
0,1.0,1766742085042
0,1.0,1766742085203
0,1.0,1766742085349
0,1.0,1766742085494
0,1.0,1766742085637
0,1.0,1766742085789
0,1.0,1766742085939
0,1.0,1766742086092
0,1.0,1766742086242
0,1.0,1766742086393
0,1.0,1766742086543
0,1.0,1766742086698
0,1.0,1766742086849
0,1.0,1766742087010
0,1.0,1766742087162
0,1.0,1766742087315
0,1.0,1766742087470
0,1.0,1766742087623
0,1.0,1766742087785
0,1.0,1766742087949
0,1.0,1766742088121
0,1.0,1766742088270
0,1.0,1766742088420
0,1.0,1766742088564
0,1.0,1766742088713
0,1.0,1766742088859
0,1.0,1766742089008
0,1.0,1766742089154
0,1.0,1766742089306
0,1.0,1766742089457
0,1.0,1766742089610
0,1.0,1766742089760
0,1.0,1766742089915
0,1.0,1766742090067
0,1.0,1766742090220
0,1.0,1766742090371
0,1.0,1766742090525
0,1.0,1766742090684
0,1.0,1766742090852
0,1.0,1766742091028
0,1.0,1766742091181
0,1.0,1766742091329
0,1.0,1766742091471
0,1.0,1766742091618
0,1.0,1766742091766
0,1.0,1766742091916
0,1.0,1766742092067
0,1.0,1766742092221
0,1.0,1766742092370
0,1.0,1766742092524
0,1.0,1766742092675
0,1.0,1766742092827
0,1.0,1766742092978
0,1.0,1766742093128
0,1.0,1766742093276
0,1.0,1766742093427
0,1.0,1766742093576
0,1.0,1766742093747
0,1.0,1766742093911
0,1.0,1766742094080
0,1.0,1766742094223
0,1.0,1766742094375
0,1.0,1766742094521
0,1.0,1766742094668
0,1.0,1766742094817
0,1.0,1766742094965
0,1.0,1766742095114
0,1.0,1766742095266
0,1.0,1766742095419
0,1.0,1766742095576
0,1.0,1766742095731
0,1.0,1766742095883
0,1.0,1766742096034
0,1.0,1766742096189
0,1.0,1766742096342
0,1.0,1766742096498
0,1.0,1766742096660
0,1.0,1766742096832
0,1.0,1766742096991
0,1.0,1766742097133
0,1.0,1766742097283
0,1.0,1766742097430
0,1.0,1766742097581
0,1.0,1766742097729
0,1.0,1766742097877
0,1.0,1766742098024
0,1.0,1766742098176
0,1.0,1766742098325
0,1.0,1766742098477
0,1.0,1766742098631
0,1.0,1766742098785
0,1.0,1766742098937
0,1.0,1766742099085
0,1.0,1766742099244
0,1.0,1766742099394
0,1.0,1766742099554
0,1.0,1766742099715
0,1.0,1766742099882
0,1.0,1766742100033
0,1.0,1766742100184
0,1.0,1766742100332
0,1.0,1766742100478
0,1.0,1766742100627
0,1.0,1766742100773
0,1.0,1766742100921
0,1.0,1766742101067
0,1.0,1766742101217
0,1.0,1766742101366
0,1.0,1766742101515
0,1.0,1766742101666
0,1.0,1766742101818
0,1.0,1766742101970
0,1.0,1766742102121
0,1.0,1766742102270
0,1.0,1766742102442
0,1.0,1766742102611
0,1.0,1766742102778
0,1.0,1766742102924
0,1.0,1766742103070
0,1.0,1766742103216
0,1.0,1766742103365
0,1.0,1766742103516
0,1.0,1766742103663
0,1.0,1766742103814
0,1.0,1766742103964
0,1.0,1766742104117
0,1.0,1766742104270
0,1.0,1766742104423
0,1.0,1766742104575
0,1.0,1766742104729
0,1.0,1766742104877
0,1.0,1766742105030
0,1.0,1766742105180
0,1.0,1766742105332
0,1.0,1766742105504
0,1.0,1766742105668
0,1.0,1766742105831
0,1.0,1766742105974
0,1.0,1766742106119
0,1.0,1766742106264
0,1.0,1766742106415
0,1.0,1766742106564
0,1.0,1766742106712
0,1.0,1766742106862
0,1.0,1766742107011
0,1.0,1766742107162
0,1.0,1766742107317
0,1.0,1766742107472
0,1.0,1766742107625
0,1.0,1766742107773
0,1.0,1766742107930
0,1.0,1766742108080
0,1.0,1766742108240
0,1.0,1766742108402
0,1.0,1766742108582
0,1.0,1766742108734
0,1.0,1766742108878
0,1.0,1766742109020
0,1.0,1766742109166
0,1.0,1766742109314
0,1.0,1766742109462
0,1.0,1766742109610
0,1.0,1766742109757
0,1.0,1766742109907
0,1.0,1766742110058
0,1.0,1766742110212
0,1.0,1766742110364
0,1.0,1766742110515
0,1.0,1766742110672
0,1.0,1766742110820
0,1.0,1766742110976
0,1.0,1766742111128
0,1.0,1766742111290
0,1.0,1766742111451
0,1.0,1766742111621
0,1.0,1766742111780
0,1.0,1766742111921
0,1.0,1766742112070
0,1.0,1766742112215
0,1.0,1766742112367
0,1.0,1766742112512
0,1.0,1766742112662
0,1.0,1766742112810
0,1.0,1766742112963
0,1.0,1766742113114
0,1.0,1766742113266
0,1.0,1766742113424
0,1.0,1766742113574
0,1.0,1766742113729
0,1.0,1766742113878
0,1.0,1766742114037
0,1.0,1766742114200
0,1.0,1766742114379
0,1.0,1766742114543
0,1.0,1766742114685
0,1.0,1766742114833
0,1.0,1766742114979
0,1.0,1766742115128
0,1.0,1766742115276
0,1.0,1766742115426
0,1.0,1766742115575
0,1.0,1766742115725
0,1.0,1766742115874
1,1.0,1766742116028
1,1.0,1766742116180
1,1.0,1766742116332
1,1.0,1766742116485
1,1.0,1766742116637
1,1.0,1766742116791
1,1.0,1766742116944
1,1.0,1766742117094
1,1.0,1766742117273
1,1.0,1766742117438
1,1.0,1766742117601
1,1.0,1766742117745
1,1.0,1766742117892
1,1.0,1766742118035
1,1.0,1766742118188
1,1.0,1766742118334
1,1.0,1766742118483
1,1.0,1766742118629
1,1.0,1766742118786
1,1.0,1766742118938
1,1.0,1766742119090
1,1.0,1766742119245
1,1.0,1766742119401
1,1.0,1766742119551
1,1.0,1766742119705
1,1.0,1766742119855
1,1.0,1766742120028
1,1.0,1766742120193
1,1.0,1766742120359
1,1.0,1766742120501
1,1.0,1766742120650
1,1.0,1766742120792
1,1.0,1766742120944
1,1.0,1766742121091
1,1.0,1766742121241
1,1.0,1766742121388
1,1.0,1766742121542
1,1.0,1766742121692
1,1.0,1766742121847
1,1.0,1766742122000
1,1.0,1766742122154
1,1.0,1766742122303
1,1.0,1766742122457
1,1.0,1766742122609
1,1.0,1766742122771
1,1.0,1766742122922
1,1.0,1766742123082
1,1.0,1766742123239
1,1.0,1766742123401
1,1.0,1766742123558
1,1.0,1766742123700
1,1.0,1766742123850
1,1.0,1766742123993
1,1.0,1766742124143
1,1.0,1766742124295
1,1.0,1766742124440
1,1.0,1766742124589
1,1.0,1766742124740
1,1.0,1766742124893
1,1.0,1766742125044
1,1.0,1766742125201
1,1.0,1766742125354
1,1.0,1766742125505
1,1.0,1766742125654
1,1.0,1766742125811
1,1.0,1766742125976
1,1.0,1766742126156
1,1.0,1766742126313
1,1.0,1766742126457
1,1.0,1766742126599
1,1.0,1766742126746
1,1.0,1766742126897
1,1.0,1766742127047
1,1.0,1766742127194
1,1.0,1766742127345
1,1.0,1766742127496
1,1.0,1766742127649
1,1.0,1766742127803
1,1.0,1766742127957
1,1.0,1766742128109
1,1.0,1766742128260
1,1.0,1766742128412
1,1.0,1766742128565
1,1.0,1766742128719
1,1.0,1766742128868
1,1.0,1766742129026
1,1.0,1766742129182
1,1.0,1766742129353
1,1.0,1766742129502
1,1.0,1766742129650
1,1.0,1766742129793
1,1.0,1766742129938
1,1.0,1766742130086
1,1.0,1766742130233
1,1.0,1766742130382
1,1.0,1766742130533
1,1.0,1766742130683
1,1.0,1766742130834
1,1.0,1766742130986
1,1.0,1766742131141
1,1.0,1766742131289
1,1.0,1766742131441
1,1.0,1766742131594
1,1.0,1766742131760
1,1.0,1766742131927
1,1.0,1766742132095
1,1.0,1766742132240
1,1.0,1766742132392
1,1.0,1766742132537
1,1.0,1766742132686
1,1.0,1766742132831
1,1.0,1766742132981
1,1.0,1766742133130
1,1.0,1766742133281
1,1.0,1766742133431
1,1.0,1766742133583
1,1.0,1766742133734
1,1.0,1766742133886
1,1.0,1766742134035
1,1.0,1766742134192
1,1.0,1766742134342
1,1.0,1766742134494
1,1.0,1766742134644
1,1.0,1766742134795
1,1.0,1766742134959
1,1.0,1766742135121
1,1.0,1766742135279
1,1.0,1766742135424
