memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,3.3,1766755884941
0,3.3,1766755885177
0,3.3,1766755885345
0,3.3,1766755885507
0,3.3,1766755885670
0,3.3,1766755885833
0,3.3,1766755885991
0,3.3,1766755886141
0,3.3,1766755886290
0,3.3,1766755886440
0,3.3,1766755886592
0,3.3,1766755886743
0,3.3,1766755886886
0,3.3,1766755887028
0,3.3,1766755887170
0,3.3,1766755887315
0,3.3,1766755887461
0,3.3,1766755887605
0,3.3,1766755887748
0,3.3,1766755887897
0,3.3,1766755888043
0,3.3,1766755888186
0,3.3,1766755888334
0,3.3,1766755888478
0,3.3,1766755888637
0,3.3,1766755888795
0,3.3,1766755888970
0,3.3,1766755889123
0,3.3,1766755889277
0,3.3,1766755889430
0,3.3,1766755889594
0,3.3,1766755889771
0,3.3,1766755889933
0,3.3,1766755890087
0,3.3,1766755890245
0,3.3,1766755890408
0,3.3,1766755890567
0,3.3,1766755890723
0,3.3,1766755890880
0,3.3,1766755891037
0,3.3,1766755891194
0,3.3,1766755891355
0,3.3,1766755891514
0,3.3,1766755891674
0,3.3,1766755891825
0,3.3,1766755891978
0,3.3,1766755892126
0,3.3,1766755892279
0,3.3,1766755892427
0,3.3,1766755892580
0,3.3,1766755892721
0,3.3,1766755892867
0,3.3,1766755893010
0,3.3,1766755893152
0,3.3,1766755893295
0,3.3,1766755893440
0,3.3,1766755893585
0,3.3,1766755893733
0,3.3,1766755893880
0,3.3,1766755894028
0,3.3,1766755894177
0,3.3,1766755894321
0,3.3,1766755894486
0,3.3,1766755894653
0,3.3,1766755894813
0,3.3,1766755894964
0,3.3,1766755895114
0,3.3,1766755895271
0,3.3,1766755895438
0,3.3,1766755895612
0,3.3,1766755895772
0,3.3,1766755895928
0,3.3,1766755896084
0,3.3,1766755896243
0,3.3,1766755896401
0,3.3,1766755896560
0,3.3,1766755896718
0,3.3,1766755896878
0,3.3,1766755897037
0,3.3,1766755897198
0,3.3,1766755897359
0,3.3,1766755897518
0,3.3,1766755897669
0,3.3,1766755897817
0,3.3,1766755897967
0,3.3,1766755898116
0,3.3,1766755898267
0,3.3,1766755898418
0,3.3,1766755898561
0,3.3,1766755898704
0,3.3,1766755898847
0,3.3,1766755898996
0,3.3,1766755899142
0,3.3,1766755899289
0,3.3,1766755899436
0,3.3,1766755899584
0,3.3,1766755899730
0,3.3,1766755899879
0,3.3,1766755900027
0,3.3,1766755900189
0,3.3,1766755900358
0,3.3,1766755900526
0,3.3,1766755900678
0,3.3,1766755900832
0,3.3,1766755900976
0,3.3,1766755901146
0,3.3,1766755901309
0,3.3,1766755901485
0,3.3,1766755901645
0,3.3,1766755901803
0,3.3,1766755901960
0,3.3,1766755902121
0,3.3,1766755902279
0,3.3,1766755902435
0,3.3,1766755902593
0,3.3,1766755902750
0,3.3,1766755902913
0,3.3,1766755903075
0,3.3,1766755903240
0,3.3,1766755903395
0,3.3,1766755903544
0,3.3,1766755903694
0,3.3,1766755903846
0,3.3,1766755903997
0,3.3,1766755904150
0,3.3,1766755904300
0,3.3,1766755904444
0,3.3,1766755904587
0,3.3,1766755904735
0,3.3,1766755904881
0,3.3,1766755905025
0,3.3,1766755905168
0,3.3,1766755905316
0,3.3,1766755905459
0,3.3,1766755905606
0,3.3,1766755905752
0,3.3,1766755905897
0,3.3,1766755906061
