memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,3.4,1766739330139
0,3.4,1766739335392
0,3.3,1766739340503
0,3.3,1766739346257
0,3.3,1766739352008
0,3.3,1766739357772
0,3.3,1766739363543
0,3.3,1766739369316
0,3.3,1766739375106
0,3.3,1766739380897
0,3.3,1766739386696
0,3.3,1766739392501
0,3.3,1766739398298
0,3.3,1766739404116
0,3.3,1766739409928
0,3.3,1766739415744
0,3.3,1766739421570
0,3.3,1766739427397
0,3.3,1766739433219
0,3.3,1766739439051
0,3.3,1766739444878
0,3.3,1766739450721
0,3.3,1766739456564
0,3.3,1766739462409
0,3.3,1766739468254
0,3.3,1766739474093
0,3.3,1766739479936
0,3.3,1766739485793
0,3.3,1766739491633
0,3.3,1766739497475
0,3.3,1766739503313
0,3.3,1766739509157
0,3.3,1766739514994
0,3.3,1766739520850
0,3.3,1766739526699
0,3.3,1766739532546
0,3.3,1766739538394
0,3.3,1766739544243
0,3.3,1766739550090
0,3.3,1766739555947
0,3.3,1766739561808
0,3.3,1766739567660
0,3.3,1766739573512
0,3.3,1766739579366
0,3.3,1766739585224
0,3.3,1766739591068
0,3.3,1766739596925
0,3.3,1766739602776
0,3.3,1766739608629
0,3.3,1766739614477
0,3.3,1766739620323
0,3.3,1766739626175
0,3.3,1766739632028
0,3.3,1766739637883
0,3.3,1766739643732
0,3.3,1766739649589
0,3.3,1766739655443
0,3.3,1766739661291
0,3.3,1766739667148
0,3.3,1766739673007
0,3.3,1766739678864
0,3.3,1766739684715
0,3.3,1766739690573
0,3.3,1766739696422
0,3.3,1766739702264
0,3.3,1766739708114
0,3.3,1766739713967
0,3.3,1766739719815
0,3.3,1766739725663
0,3.3,1766739731513
0,3.3,1766739737356
0,3.3,1766739743199
0,3.3,1766739749056
0,3.3,1766739754907
0,3.3,1766739760765
0,3.3,1766739766614
0,3.3,1766739772464
0,3.3,1766739778323
0,3.3,1766739784172
0,3.3,1766739790017
0,3.3,1766739795873
0,3.3,1766739801719
0,3.3,1766739807565
0,3.3,1766739813406
0,3.3,1766739819253
0,3.3,1766739825103
0,3.3,1766739830957
0,3.3,1766739836807
0,3.3,1766739842656
0,3.3,1766739848507
0,3.3,1766739854362
0,3.3,1766739860212
0,3.3,1766739866061
0,3.3,1766739871907
0,3.3,1766739877755
0,3.3,1766739883599
0,3.3,1766739889443
0,3.3,1766739895287
0,3.3,1766739901128
0,3.3,1766739906972
0,3.3,1766739912812
0,3.3,1766739918647
0,3.3,1766739924485
0,3.3,1766739930317
0,3.3,1766739936155
0,3.3,1766739941995
0,3.3,1766739947829
0,3.3,1766739953665
0,3.3,1766739959503
0,3.3,1766739965346
0,3.3,1766739971182
0,3.3,1766739977024
0,3.3,1766739982849
0,3.3,1766739988690
0,3.3,1766739994516
0,3.3,1766740000354
0,3.3,1766740006183
0,3.3,1766740012018
0,3.3,1766740017852
0,3.3,1766740023692
0,3.3,1766740029528
0,3.3,1766740035365
0,3.3,1766740041204
0,3.3,1766740047039
0,3.3,1766740052865
0,3.3,1766740058694
0,3.3,1766740064528
0,2.9,1766740070364
0,3.3,1766740076191
0,3.3,1766740082028
0,3.3,1766740087866
0,3.3,1766740093710
0,3.3,1766740099557
0,3.3,1766740105411
0,3.3,1766740111274
0,3.3,1766740117151
0,3.3,1766740123028
0,3.3,1766740128909
0,3.3,1766740134778
0,3.3,1766740140646
0,3.3,1766740146521
0,3.3,1766740152404
0,3.3,1766740158285
0,3.3,1766740164152
0,3.3,1766740170035
0,3.3,1766740175905
0,3.3,1766740181763
0,3.0,1766740187629
0,3.3,1766740193485
0,3.3,1766740199350
0,3.3,1766740205217
0,3.3,1766740211082
0,3.3,1766740216936
0,3.3,1766740222798
0,3.3,1766740228653
