gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,48.0,1766746241206
0,51.0,1766746246508
0,53.0,1766746251656
0,54.0,1766746257431
0,55.0,1766746263218
0,56.0,1766746269015
0,57.0,1766746274812
0,57.0,1766746280626
0,58.0,1766746286438
0,58.0,1766746292265
0,59.0,1766746298095
0,59.0,1766746303933
0,59.0,1766746309769
0,59.0,1766746315610
0,60.0,1766746321457
0,60.0,1766746327285
0,60.0,1766746333128
0,61.0,1766746338975
0,60.0,1766746344833
0,61.0,1766746350685
0,61.0,1766746356560
0,61.0,1766746362414
0,61.0,1766746368282
0,61.0,1766746374144
0,61.0,1766746380012
0,61.0,1766746385893
0,62.0,1766746391760
0,62.0,1766746397632
0,62.0,1766746403504
0,62.0,1766746409367
0,62.0,1766746415246
0,62.0,1766746421115
0,62.0,1766746426992
0,62.0,1766746432858
0,62.0,1766746438734
0,62.0,1766746444602
0,62.0,1766746450476
0,62.0,1766746456358
0,62.0,1766746462234
0,62.0,1766746468104
0,62.0,1766746473984
0,62.0,1766746479853
0,62.0,1766746485749
0,62.0,1766746491623
0,62.0,1766746497509
0,62.0,1766746503392
0,62.0,1766746509271
0,62.0,1766746515140
0,63.0,1766746521002
0,62.0,1766746526887
0,63.0,1766746532749
0,62.0,1766746538632
0,62.0,1766746544508
0,62.0,1766746550390
0,62.0,1766746556256
0,62.0,1766746562140
0,62.0,1766746568012
0,62.0,1766746573887
0,62.0,1766746579767
0,62.0,1766746585632
0,63.0,1766746591513
0,63.0,1766746597384
0,63.0,1766746603256
0,63.0,1766746609127
0,63.0,1766746614994
0,63.0,1766746620879
0,63.0,1766746626752
0,63.0,1766746632632
0,63.0,1766746638514
0,63.0,1766746644395
0,63.0,1766746650278
0,63.0,1766746656157
0,63.0,1766746662037
0,63.0,1766746667918
0,63.0,1766746673804
0,63.0,1766746679685
0,63.0,1766746685556
0,63.0,1766746691440
0,63.0,1766746697332
0,63.0,1766746703213
0,63.0,1766746709085
0,63.0,1766746714958
0,63.0,1766746720828
0,63.0,1766746726701
0,63.0,1766746732576
0,63.0,1766746738443
0,63.0,1766746744322
0,63.0,1766746750214
0,63.0,1766746756094
0,63.0,1766746761973
0,63.0,1766746767850
0,63.0,1766746773731
0,63.0,1766746779610
0,63.0,1766746785500
0,63.0,1766746791386
0,63.0,1766746797284
0,63.0,1766746803155
0,63.0,1766746809032
0,63.0,1766746814913
0,63.0,1766746820799
0,63.0,1766746826677
0,63.0,1766746832557
0,63.0,1766746838437
0,63.0,1766746844339
0,63.0,1766746850217
0,63.0,1766746856104
0,63.0,1766746861995
0,63.0,1766746867877
0,63.0,1766746873744
0,63.0,1766746879626
0,63.0,1766746885517
0,63.0,1766746891391
0,63.0,1766746897266
0,63.0,1766746903154
0,63.0,1766746909034
0,63.0,1766746914917
0,63.0,1766746920806
0,63.0,1766746926687
0,63.0,1766746932571
0,63.0,1766746938454
0,63.0,1766746944332
0,63.0,1766746950209
0,63.0,1766746956093
0,63.0,1766746961972
0,63.0,1766746967849
0,63.0,1766746973728
0,63.0,1766746979610
0,63.0,1766746985491
0,63.0,1766746991354
0,63.0,1766746997239
0,63.0,1766747003118
0,63.0,1766747008991
0,63.0,1766747014875
0,63.0,1766747020751
0,63.0,1766747026624
0,63.0,1766747032504
0,63.0,1766747038375
0,63.0,1766747044251
0,63.0,1766747050130
0,63.0,1766747056007
0,63.0,1766747061886
0,63.0,1766747067758
0,63.0,1766747073633
0,63.0,1766747079510
0,63.0,1766747085388
0,63.0,1766747091270
0,63.0,1766747097161
0,63.0,1766747103033
0,63.0,1766747108902
0,63.0,1766747114778
0,63.0,1766747120663
0,63.0,1766747126553
0,63.0,1766747132419
0,63.0,1766747138293
0,63.0,1766747144176
0,63.0,1766747150059
0,63.0,1766747155954
0,63.0,1766747161825
0,63.0,1766747167704
0,63.0,1766747173581
0,63.0,1766747179457
0,63.0,1766747185335
0,63.0,1766747191209
0,63.0,1766747197103
0,63.0,1766747202983
0,63.0,1766747208845
0,63.0,1766747214735
0,63.0,1766747220613
0,63.0,1766747226494
0,63.0,1766747232372
0,63.0,1766747238259
0,63.0,1766747244140
0,63.0,1766747250025
0,63.0,1766747255916
0,63.0,1766747261795
0,63.0,1766747267676
0,63.0,1766747273553
0,63.0,1766747279430
0,63.0,1766747285308
0,63.0,1766747291187
0,63.0,1766747297065
0,63.0,1766747302951
0,63.0,1766747308833
0,63.0,1766747314708
0,63.0,1766747320583
0,63.0,1766747326456
0,63.0,1766747332344
0,63.0,1766747338232
0,63.0,1766747344122
0,63.0,1766747349996
0,63.0,1766747355873
0,63.0,1766747361744
0,63.0,1766747367612
0,63.0,1766747373489
0,63.0,1766747379375
0,63.0,1766747385249
0,63.0,1766747391138
0,63.0,1766747397011
0,63.0,1766747402889
0,63.0,1766747408771
0,63.0,1766747414648
0,63.0,1766747420538
0,63.0,1766747426426
0,63.0,1766747432307
0,63.0,1766747438192
0,63.0,1766747444076
0,63.0,1766747449955
0,63.0,1766747455828
0,63.0,1766747461712
0,63.0,1766747467599
0,63.0,1766747473480
0,63.0,1766747479365
0,63.0,1766747485245
0,63.0,1766747491127
0,63.0,1766747496999
0,63.0,1766747502882
0,63.0,1766747508769
0,63.0,1766747514651
0,63.0,1766747520528
0,63.0,1766747526407
0,63.0,1766747532292
0,63.0,1766747538175
0,63.0,1766747544059
0,63.0,1766747549947
0,63.0,1766747555828
0,63.0,1766747561707
0,63.0,1766747567592
0,63.0,1766747573479
0,63.0,1766747579349
0,63.0,1766747585236
0,63.0,1766747591114
0,63.0,1766747596994
0,63.0,1766747602877
0,63.0,1766747608761
0,63.0,1766747614632
0,63.0,1766747620522
0,63.0,1766747626407
0,63.0,1766747632286
0,63.0,1766747638168
0,63.0,1766747644040
0,63.0,1766747649927
0,63.0,1766747655803
0,63.0,1766747661679
0,63.0,1766747667557
0,63.0,1766747673434
0,63.0,1766747679319
0,63.0,1766747685199
0,63.0,1766747691073
0,63.0,1766747696954
0,63.0,1766747702833
0,63.0,1766747708717
0,63.0,1766747714600
0,63.0,1766747720478
0,63.0,1766747726356
0,63.0,1766747732245
0,63.0,1766747738121
0,63.0,1766747743997
0,63.0,1766747749878
0,63.0,1766747755746
0,63.0,1766747761625
0,63.0,1766747767505
0,63.0,1766747773386
0,63.0,1766747779276
0,63.0,1766747785158
0,63.0,1766747791026
0,63.0,1766747796908
0,63.0,1766747802783
0,63.0,1766747808676
0,63.0,1766747814551
0,63.0,1766747820430
0,63.0,1766747826312
0,63.0,1766747832187
0,63.0,1766747838065
0,63.0,1766747843928
0,63.0,1766747849800
0,63.0,1766747855678
0,63.0,1766747861559
0,63.0,1766747867434
0,63.0,1766747873313
0,63.0,1766747879191
0,63.0,1766747885068
0,63.0,1766747890956
0,63.0,1766747896832
0,63.0,1766747902731
0,63.0,1766747908612
0,63.0,1766747914506
0,63.0,1766747920393
0,63.0,1766747926283
0,63.0,1766747932148
0,63.0,1766747938008
0,63.0,1766747943889
0,63.0,1766747949761
0,63.0,1766747955646
0,63.0,1766747961522
0,63.0,1766747967412
0,63.0,1766747973299
0,63.0,1766747979185
0,63.0,1766747985065
0,63.0,1766747990937
