disk_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,1.5,1766740624338
0,1.5,1766740629624
0,1.5,1766740634758
0,1.5,1766740640540
0,1.5,1766740646333
0,1.5,1766740652131
0,1.5,1766740657933
0,1.5,1766740663750
0,1.5,1766740669575
0,1.5,1766740675416
0,1.5,1766740681252
0,1.5,1766740687088
0,1.5,1766740692929
0,1.5,1766740698768
0,1.5,1766740704603
0,1.5,1766740710449
0,1.5,1766740716299
0,1.5,1766740722161
0,1.5,1766740728025
0,1.5,1766740733891
0,1.5,1766740739753
0,1.5,1766740745619
0,1.5,1766740751503
0,1.5,1766740757382
0,1.5,1766740763267
0,1.5,1766740769148
0,1.5,1766740775031
0,1.5,1766740780902
0,1.5,1766740786791
0,1.5,1766740792663
0,1.5,1766740798543
0,1.5,1766740804420
0,1.5,1766740810296
0,1.5,1766740816171
0,1.5,1766740822048
0,1.5,1766740827930
0,1.5,1766740833815
0,1.5,1766740839697
0,1.5,1766740845576
0,1.5,1766740851457
0,1.5,1766740857346
0,1.5,1766740863229
0,1.5,1766740869112
0,1.5,1766740874993
0,1.5,1766740880876
0,1.5,1766740886755
0,1.5,1766740892637
0,1.5,1766740898524
0,1.5,1766740904406
0,1.5,1766740910293
0,1.5,1766740916173
0,1.5,1766740922059
0,1.5,1766740927953
0,1.5,1766740933828
0,1.5,1766740939710
0,1.5,1766740945591
0,1.5,1766740951476
0,1.5,1766740957365
0,1.5,1766740963238
0,1.5,1766740969125
0,1.5,1766740975012
0,1.5,1766740980909
0,1.5,1766740986795
0,1.5,1766740992683
0,1.5,1766740998567
0,1.5,1766741004440
0,1.5,1766741010327
0,1.5,1766741016209
0,1.5,1766741022087
0,1.5,1766741027972
0,1.5,1766741033856
0,1.5,1766741039739
0,1.5,1766741045626
0,1.5,1766741051517
0,1.5,1766741057404
0,1.5,1766741063290
0,1.5,1766741069178
0,1.5,1766741075071
0,1.5,1766741080956
0,1.5,1766741086840
0,1.5,1766741092733
0,1.5,1766741098623
0,1.5,1766741104507
0,1.5,1766741110395
0,1.5,1766741116285
0,1.5,1766741122169
0,1.5,1766741128053
0,1.5,1766741133935
0,1.5,1766741139824
0,1.5,1766741145716
0,1.5,1766741151604
0,1.5,1766741157489
0,1.5,1766741163370
0,1.5,1766741169250
0,1.5,1766741175134
0,1.5,1766741181016
0,1.5,1766741186896
0,1.5,1766741192785
0,1.5,1766741198671
0,1.5,1766741204578
0,1.5,1766741210480
0,1.5,1766741216379
0,1.5,1766741222278
0,1.5,1766741228188
0,1.5,1766741234095
0,1.5,1766741240010
0,1.5,1766741245913
0,1.5,1766741251825
0,1.5,1766741257732
0,1.5,1766741263637
0,1.5,1766741269545
0,1.5,1766741275454
0,1.5,1766741281348
0,1.5,1766741287255
0,1.5,1766741293157
0,1.5,1766741299050
0,1.5,1766741304951
0,1.5,1766741310851
0,1.5,1766741316751
0,1.5,1766741322650
0,1.5,1766741328541
0,1.5,1766741334432
0,1.5,1766741340331
0,1.5,1766741346226
0,1.5,1766741352117
0,1.5,1766741358007
0,1.5,1766741363892
0,1.5,1766741369795
0,1.5,1766741375682
0,1.5,1766741381565
0,1.5,1766741387453
0,1.5,1766741393340
0,1.5,1766741399230
0,1.5,1766741405117
0,1.5,1766741410997
0,1.5,1766741416883
0,1.5,1766741422773
0,1.5,1766741428657
0,1.5,1766741434543
0,1.5,1766741440435
0,1.5,1766741446329
0,1.5,1766741452219
0,1.5,1766741458106
0,1.5,1766741463996
0,1.5,1766741469883
0,1.5,1766741475771
0,1.5,1766741481663
0,1.5,1766741487562
0,1.5,1766741493447
0,1.5,1766741499330
0,1.5,1766741505217
0,1.5,1766741511110
0,1.5,1766741516998
0,1.5,1766741522886
0,1.5,1766741528769
0,1.5,1766741534649
0,1.5,1766741540534
0,1.5,1766741546424
0,1.5,1766741552306
0,1.5,1766741558188
0,1.5,1766741564070
0,1.5,1766741569955
0,1.5,1766741575842
0,1.5,1766741581725
0,1.5,1766741587614
0,1.5,1766741593502
0,1.5,1766741599388
0,1.5,1766741605269
0,1.5,1766741611153
0,1.5,1766741617040
0,1.5,1766741622931
0,1.5,1766741628818
0,1.5,1766741634715
0,1.5,1766741640601
0,1.5,1766741646485
0,1.5,1766741652366
0,1.5,1766741658245
0,1.5,1766741664136
0,1.5,1766741670019
0,1.5,1766741675906
0,1.5,1766741681791
0,1.5,1766741687676
0,1.5,1766741693561
0,1.5,1766741699440
0,1.5,1766741705324
0,1.5,1766741711204
0,1.5,1766741717089
0,1.5,1766741722982
0,1.5,1766741728875
0,1.5,1766741734760
0,1.5,1766741740652
0,1.5,1766741746536
0,1.5,1766741752416
0,1.5,1766741758296
0,1.5,1766741764181
0,1.5,1766741770061
0,1.5,1766741775951
0,1.5,1766741781841
0,1.5,1766741787729
0,1.5,1766741793622
0,1.5,1766741799503
0,1.5,1766741805390
0,1.5,1766741811282
0,1.5,1766741817165
0,1.5,1766741823067
0,1.5,1766741828952
0,1.5,1766741834841
0,1.5,1766741840719
0,1.5,1766741846607
0,1.5,1766741852491
0,1.5,1766741858383
0,1.5,1766741864264
0,1.5,1766741870154
0,1.5,1766741876038
0,1.5,1766741881923
0,1.5,1766741887816
0,1.5,1766741893705
0,1.5,1766741899590
0,1.5,1766741905471
0,1.5,1766741911360
0,1.5,1766741917247
0,1.5,1766741923142
0,1.5,1766741929024
0,1.5,1766741934920
0,1.5,1766741940809
0,1.5,1766741946698
0,1.5,1766741952582
0,1.5,1766741958472
0,1.5,1766741964356
0,1.5,1766741970238
0,1.5,1766741976133
