gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.02,1766754988095
0,0.02,1766754988305
0,0.07,1766754988455
0,0.07,1766754988604
0,0.05,1766754988764
0,0.04,1766754988903
0,0.08,1766754989040
0,0.08,1766754989174
0,0.04,1766754989318
0,0.07,1766754989458
0,0.07,1766754989596
0,0.05,1766754989735
0,0.04,1766754989876
0,0.04,1766754990016
0,0.08,1766754990154
0,0.04,1766754990294
0,0.08,1766754990437
0,0.08,1766754990576
0,0.04,1766754990718
0,0.08,1766754990853
0,0.08,1766754990984
0,0.04,1766754991116
0,0.08,1766754991248
0,0.08,1766754991380
0,0.04,1766754991513
0,0.08,1766754991640
0,0.08,1766754991764
0,0.04,1766754991889
0,0.04,1766754992015
0,0.08,1766754992139
0,0.06,1766754992269
0,0.06,1766754992397
0,0.07,1766754992525
0,0.08,1766754992648
0,0.08,1766754992774
0,0.04,1766754992899
0,0.04,1766754993026
0,0.08,1766754993153
0,0.04,1766754993278
0,0.04,1766754993417
0,0.08,1766754993559
0,0.04,1766754993707
0,0.08,1766754993849
0,0.08,1766754993977
0,0.04,1766754994106
0,0.08,1766754994245
0,0.08,1766754994396
0,0.04,1766754994557
0,0.04,1766754994707
0,0.04,1766754994840
0,0.08,1766754994982
0,0.04,1766754995118
0,0.08,1766754995260
0,0.08,1766754995400
0,0.04,1766754995540
0,0.07,1766754995680
0,0.07,1766754995819
0,0.05,1766754995962
0,0.04,1766754996102
0,0.04,1766754996245
0,0.08,1766754996387
0,0.04,1766754996528
0,0.08,1766754996655
0,0.08,1766754996785
0,0.04,1766754996918
0,0.08,1766754997051
0,0.08,1766754997183
0,0.04,1766754997315
0,0.04,1766754997446
0,0.08,1766754997567
0,0.04,1766754997691
0,0.04,1766754997816
0,0.08,1766754997941
0,0.08,1766754998067
0,0.08,1766754998194
0,0.04,1766754998321
0,0.04,1766754998452
0,0.08,1766754998579
0,0.04,1766754998712
0,0.04,1766754998841
0,0.08,1766754998966
0,0.04,1766754999095
0,0.04,1766754999242
0,0.08,1766754999389
0,0.04,1766754999538
0,0.08,1766754999667
0,0.08,1766754999792
0,0.04,1766754999924
0,0.04,1766755000058
0,0.08,1766755000206
0,0.04,1766755000358
0,0.04,1766755000513
0,0.04,1766755000647
0,0.08,1766755000786
0,0.04,1766755000923
0,0.04,1766755001066
0,0.08,1766755001201
0,0.04,1766755001340
0,0.08,1766755001478
0,0.08,1766755001620
0,0.04,1766755001764
0,0.06,1766755001905
0,0.06,1766755002047
0,0.06,1766755002186
0,0.04,1766755002343
0,0.08,1766755002473
0,0.08,1766755002606
0,0.04,1766755002737
0,0.04,1766755002870
0,0.08,1766755003002
