cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,4.3,1766821003269
0,4.1,1766821003762
0,4.1,1766821004157
0,4.3,1766821004569
0,4.4,1766821004895
0,4.3,1766821005236
0,4.7,1766821005587
0,4.3,1766821005916
0,4.3,1766821006290
0,4.4,1766821006674
0,4.3,1766821007005
0,4.5,1766821007326
0,4.1,1766821007683
0,4.5,1766821008014
0,4.4,1766821008369
0,4.3,1766821008722
0,4.3,1766821009070
0,4.2,1766821009411
0,4.4,1766821009767
0,4.1,1766821010130
0,4.5,1766821010467
0,4.3,1766821010809
0,4.2,1766821011169
0,4.4,1766821011511
0,4.2,1766821011872
0,4.4,1766821012231
0,4.4,1766821012611
0,4.3,1766821012954
0,4.4,1766821013304
0,4.2,1766821013650
0,4.3,1766821014003
0,4.4,1766821014358
0,4.6,1766821014675
0,4.3,1766821015012
0,4.1,1766821015385
0,4.5,1766821015708
0,4.5,1766821016045
0,4.4,1766821016389
0,4.4,1766821016732
0,4.4,1766821017093
0,4.4,1766821017445
0,4.0,1766821017808
0,3.8,1766821018208
0,4.5,1766821018556
0,4.4,1766821018897
0,4.4,1766821019235
0,4.3,1766821019589
0,4.4,1766821019942
0,4.4,1766821020284
0,4.4,1766821020607
0,4.2,1766821020957
0,4.5,1766821021298
0,4.3,1766821021647
0,4.3,1766821021981
0,4.3,1766821022332
0,4.4,1766821022708
0,4.6,1766821023045
0,4.3,1766821023386
0,4.2,1766821023786
0,4.3,1766821024153
0,4.4,1766821024484
0,4.3,1766821024821
0,4.1,1766821025192
0,4.2,1766821025553
0,4.3,1766821025892
0,4.4,1766821026244
0,4.2,1766821026602
0,4.5,1766821026935
0,4.4,1766821027266
0,4.3,1766821027683
0,4.0,1766821028074
0,4.4,1766821028425
0,4.5,1766821028776
0,4.2,1766821029105
0,4.3,1766821029464
0,4.4,1766821029808
0,4.3,1766821030164
0,4.4,1766821030495
0,4.3,1766821030825
0,4.5,1766821031154
0,4.2,1766821031512
0,4.3,1766821031859
0,4.4,1766821032217
0,4.3,1766821032566
0,4.1,1766821032916
0,4.4,1766821033262
0,4.1,1766821033609
0,4.5,1766821033934
0,4.4,1766821034277
0,4.4,1766821034623
0,4.3,1766821034993
0,4.4,1766821035341
0,4.4,1766821035668
0,4.5,1766821035995
0,4.2,1766821036394
0,4.5,1766821036734
0,4.2,1766821037080
0,4.5,1766821037405
0,4.4,1766821037730
0,4.5,1766821038098
0,4.3,1766821038455
0,4.3,1766821038783
0,4.6,1766821039119
0,4.2,1766821039479
0,4.2,1766821039866
0,4.2,1766821040242
0,4.4,1766821040569
0,4.5,1766821040890
0,4.5,1766821041254
0,4.4,1766821041632
0,4.2,1766821041966
0,4.2,1766821042360
0,4.4,1766821042721
0,4.2,1766821043061
0,4.4,1766821043418
0,4.2,1766821043816
0,4.5,1766821044153
0,4.4,1766821044507
0,3.9,1766821044929
0,4.5,1766821045272
0,4.2,1766821045641
0,4.5,1766821046013
0,4.1,1766821046357
0,4.2,1766821046719
0,4.5,1766821047061
0,4.6,1766821047398
0,4.3,1766821047734
0,4.4,1766821048129
0,4.2,1766821048507
0,4.4,1766821048847
0,4.4,1766821049194
0,4.2,1766821049559
0,4.1,1766821049923
0,4.4,1766821050249
0,4.4,1766821050602
0,4.3,1766821050939
0,4.4,1766821051263
0,4.1,1766821051605
0,4.2,1766821051946
0,4.1,1766821052347
0,4.1,1766821052729
0,4.5,1766821053076
0,4.4,1766821053428
0,4.4,1766821053748
0,4.4,1766821054096
0,4.2,1766821054445
0,4.4,1766821054764
0,4.1,1766821055175
0,4.0,1766821055596
0,4.7,1766821055928
0,4.4,1766821056275
0,4.2,1766821056601
0,4.6,1766821056923
0,4.2,1766821057359
0,4.5,1766821057708
0,4.4,1766821058040
0,4.3,1766821058370
0,4.5,1766821058706
0,4.5,1766821059029
0,4.3,1766821059383
0,4.5,1766821059734
0,4.4,1766821060100
0,5.7,1766821060449
0,4.4,1766821060767
0,4.2,1766821061105
0,4.3,1766821061488
0,4.3,1766821061851
0,4.2,1766821062198
0,4.2,1766821062558
0,4.2,1766821062900
0,4.3,1766821063250
0,4.3,1766821063619
0,4.2,1766821063971
0,4.0,1766821064351
0,4.4,1766821064684
0,4.3,1766821065024
0,4.5,1766821065406
0,4.2,1766821065741
0,4.2,1766821066124
0,4.2,1766821066515
0,4.0,1766821066897
0,4.5,1766821067224
0,4.5,1766821067581
0,4.0,1766821067956
0,4.2,1766821068332
0,4.2,1766821068686
0,4.2,1766821069082
0,4.3,1766821069442
0,4.4,1766821069804
0,4.4,1766821070149
0,4.5,1766821070506
0,4.1,1766821070896
0,4.6,1766821071255
0,4.2,1766821071647
0,4.2,1766821072039
0,4.3,1766821072379
0,4.5,1766821072742
0,4.4,1766821073103
0,4.3,1766821073458
0,4.6,1766821073785
0,4.1,1766821074176
0,4.4,1766821074513
0,4.3,1766821074848
0,4.3,1766821075223
0,4.3,1766821075566
0,4.5,1766821075904
0,4.4,1766821076256
0,4.4,1766821076607
0,4.3,1766821076934
0,4.4,1766821077290
0,4.5,1766821077630
0,4.2,1766821077975
0,4.3,1766821078299
0,4.5,1766821078626
0,4.5,1766821078961
0,4.4,1766821079297
0,4.4,1766821079633
0,4.3,1766821079963
0,4.4,1766821080354
0,4.3,1766821080713
0,4.5,1766821081045
0,4.5,1766821081367
0,4.3,1766821081720
0,4.2,1766821082073
0,4.3,1766821082422
0,4.1,1766821082803
0,4.4,1766821083140
0,4.3,1766821083467
0,4.4,1766821083796
0,4.1,1766821084217
0,4.3,1766821084571
0,4.3,1766821084919
0,4.4,1766821085253
0,4.2,1766821085589
0,4.3,1766821085928
0,4.3,1766821086279
0,4.2,1766821086610
0,4.4,1766821086941
0,4.4,1766821087282
0,4.6,1766821087610
0,4.4,1766821087952
0,4.1,1766821088281
0,4.6,1766821088623
0,4.4,1766821088984
0,4.6,1766821089309
0,4.3,1766821089665
0,4.1,1766821090021
0,4.2,1766821090392
0,4.3,1766821090708
0,4.2,1766821091044
0,4.3,1766821091382
0,4.7,1766821091708
0,4.3,1766821092074
0,4.5,1766821092431
0,4.2,1766821092783
0,4.4,1766821093103
0,4.4,1766821093446
0,4.2,1766821093867
0,4.1,1766821094245
0,4.7,1766821094566
0,4.5,1766821094881
0,4.3,1766821095208
0,4.2,1766821095586
0,5.1,1766821095995
0,4.5,1766821096328
0,4.2,1766821096680
0,4.2,1766821097031
0,4.3,1766821097364
0,4.4,1766821097717
0,4.4,1766821098062
0,4.5,1766821098398
0,4.1,1766821098801
0,4.3,1766821099132
0,4.3,1766821099514
0,4.3,1766821099859
0,4.4,1766821100200
0,4.1,1766821100556
0,4.3,1766821100925
0,4.4,1766821101302
0,4.1,1766821101685
0,4.6,1766821102010
0,4.2,1766821102333
0,4.4,1766821102692
0,4.5,1766821103027
0,4.3,1766821103390
0,4.5,1766821103740
0,4.1,1766821104110
0,4.3,1766821104459
0,4.5,1766821104789
0,4.4,1766821105163
0,4.4,1766821105484
0,4.3,1766821105820
0,4.4,1766821106168
0,3.9,1766821106560
0,4.5,1766821106884
0,4.2,1766821107245
0,4.5,1766821107570
0,4.4,1766821107889
0,4.3,1766821108244
0,4.5,1766821108592
0,4.6,1766821108938
0,4.2,1766821109285
0,4.3,1766821109660
0,4.5,1766821110006
0,4.2,1766821110359
0,4.1,1766821110726
0,4.4,1766821111039
0,4.3,1766821111361
0,4.5,1766821111687
0,4.4,1766821112016
0,4.3,1766821112368
0,4.1,1766821112739
0,4.3,1766821113116
0,4.3,1766821113447
0,4.5,1766821113770
0,4.3,1766821114097
0,4.3,1766821114428
0,4.4,1766821114765
0,4.4,1766821115152
0,4.3,1766821115488
0,4.4,1766821115834
0,4.2,1766821116156
0,4.5,1766821116487
0,4.4,1766821116820
0,4.2,1766821117209
0,4.3,1766821117545
0,4.4,1766821117897
0,4.3,1766821118242
0,4.3,1766821118642
0,4.5,1766821118986
0,3.9,1766821119325
0,4.5,1766821119689
0,4.2,1766821120093
0,5.5,1766821120430
0,4.9,1766821120771
0,4.5,1766821121123
0,4.4,1766821121474
0,4.2,1766821121818
0,4.2,1766821122225
0,4.1,1766821122627
0,4.3,1766821123056
0,4.2,1766821123419
0,4.3,1766821123764
0,4.4,1766821124109
0,4.4,1766821124439
0,4.4,1766821124764
0,3.8,1766821125158
0,4.4,1766821125492
0,4.2,1766821125853
0,4.4,1766821126225
0,4.3,1766821126587
0,4.4,1766821126981
0,4.5,1766821127337
0,4.5,1766821127682
0,4.4,1766821128027
0,4.4,1766821128378
0,4.4,1766821128744
0,4.4,1766821129090
0,4.3,1766821129432
0,4.3,1766821129799
0,4.2,1766821130181
0,4.5,1766821130540
0,4.2,1766821130899
0,4.3,1766821131248
0,4.3,1766821131583
