memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,2.7,1766821631287
0,2.6,1766821631825
0,2.6,1766821632217
0,2.7,1766821632564
0,2.7,1766821632935
0,2.6,1766821633319
0,2.6,1766821633768
0,2.6,1766821634125
0,2.6,1766821634559
0,2.6,1766821634963
0,2.6,1766821635339
0,2.6,1766821635736
0,2.6,1766821636094
0,2.6,1766821636497
0,2.6,1766821636866
0,2.6,1766821637256
0,2.6,1766821637618
0,2.6,1766821637993
0,2.6,1766821638357
0,2.6,1766821638722
0,2.6,1766821639119
0,2.6,1766821639552
0,2.6,1766821639999
0,2.6,1766821640347
0,2.6,1766821640738
0,2.6,1766821641101
0,2.6,1766821641498
0,2.6,1766821641851
0,2.6,1766821642252
0,2.6,1766821642592
0,2.6,1766821643012
0,2.6,1766821643358
0,2.7,1766821643769
0,2.7,1766821644117
0,2.6,1766821644470
0,2.6,1766821644856
0,2.6,1766821645211
0,2.6,1766821645587
0,2.6,1766821646012
0,2.6,1766821646352
0,2.6,1766821646728
0,2.6,1766821647079
0,2.6,1766821647439
0,2.6,1766821647826
0,2.6,1766821648191
0,2.6,1766821648586
0,2.6,1766821648973
0,2.6,1766821649340
0,2.6,1766821649735
0,2.6,1766821650156
0,2.6,1766821650519
0,2.6,1766821650955
0,2.6,1766821651304
0,2.6,1766821651678
0,2.6,1766821652088
0,2.6,1766821652581
0,2.6,1766821653013
0,2.6,1766821653454
0,2.6,1766821653805
0,2.6,1766821654217
0,2.6,1766821654596
0,2.6,1766821655021
0,2.7,1766821655390
0,2.6,1766821655784
0,2.6,1766821656140
0,2.6,1766821656497
0,2.6,1766821656882
0,2.6,1766821657319
0,2.6,1766821657677
0,2.6,1766821658054
0,2.6,1766821658497
0,2.6,1766821658881
0,2.6,1766821659239
0,2.6,1766821659630
0,2.6,1766821659969
0,2.6,1766821660395
0,2.6,1766821660768
0,2.7,1766821661115
0,2.6,1766821661551
0,2.6,1766821661933
0,2.6,1766821662342
0,2.6,1766821662731
0,2.6,1766821663077
0,2.6,1766821663585
0,2.6,1766821663960
0,2.6,1766821664350
0,2.6,1766821664775
0,2.7,1766821665150
0,2.6,1766821665533
0,2.7,1766821665878
0,2.7,1766821666262
0,2.6,1766821666674
0,2.6,1766821667062
0,2.6,1766821667447
0,2.6,1766821667832
0,2.6,1766821668243
0,2.6,1766821668599
0,2.6,1766821668991
0,2.6,1766821669428
0,2.6,1766821669807
0,2.6,1766821670165
0,2.6,1766821670539
0,2.6,1766821670911
0,2.6,1766821671306
0,2.6,1766821671726
0,2.6,1766821672071
0,2.7,1766821672440
0,2.6,1766821672898
0,2.7,1766821673311
0,2.7,1766821673723
0,2.6,1766821674068
0,2.6,1766821674410
0,2.6,1766821674778
0,2.6,1766821675126
0,2.6,1766821675510
0,2.6,1766821675862
0,2.7,1766821676240
0,2.6,1766821676610
0,2.6,1766821676994
0,2.6,1766821677455
0,2.6,1766821677828
0,2.6,1766821678294
0,2.6,1766821678650
0,2.6,1766821679019
0,2.6,1766821679443
0,2.7,1766821679844
0,2.7,1766821680215
0,2.6,1766821680643
0,2.7,1766821681108
0,2.6,1766821681481
0,2.6,1766821681831
0,2.6,1766821682307
0,2.7,1766821682680
0,2.6,1766821683041
0,2.7,1766821683366
0,2.7,1766821683754
0,2.6,1766821684104
0,2.7,1766821684490
0,2.6,1766821684851
0,2.6,1766821685249
0,2.6,1766821685615
0,2.6,1766821685978
0,2.6,1766821686375
0,2.6,1766821686805
0,2.6,1766821687225
0,2.6,1766821687651
0,2.6,1766821688042
0,2.7,1766821688397
0,2.7,1766821688785
0,2.7,1766821689161
0,2.7,1766821689571
0,2.7,1766821689931
0,2.6,1766821690293
0,2.6,1766821690755
0,2.6,1766821691112
0,2.6,1766821691455
0,2.6,1766821691879
0,2.7,1766821692250
0,2.6,1766821692635
0,2.7,1766821692989
0,2.6,1766821693382
0,2.7,1766821693753
0,2.7,1766821694173
0,2.7,1766821694529
0,2.7,1766821694880
0,2.7,1766821695278
0,2.6,1766821695648
0,2.7,1766821695991
0,2.6,1766821696386
0,2.7,1766821696736
0,2.7,1766821697166
0,2.6,1766821697535
0,2.7,1766821697916
0,2.7,1766821698388
0,2.6,1766821698748
0,2.6,1766821699124
0,2.7,1766821699491
0,2.7,1766821699852
0,2.7,1766821700230
0,2.7,1766821700588
0,2.7,1766821700941
0,2.7,1766821701304
0,2.7,1766821701709
0,2.7,1766821702071
0,2.6,1766821702509
0,2.6,1766821702923
0,2.7,1766821703269
0,2.7,1766821703636
0,2.6,1766821703986
0,2.6,1766821704317
0,2.7,1766821704676
0,2.6,1766821705028
0,2.6,1766821705404
0,2.6,1766821705770
0,2.7,1766821706177
0,2.6,1766821706601
0,2.6,1766821706938
0,2.7,1766821707358
0,2.7,1766821707699
0,2.7,1766821708074
0,2.7,1766821708519
0,2.7,1766821708859
0,2.7,1766821709238
0,2.6,1766821709636
0,2.7,1766821709992
0,2.7,1766821710369
0,2.7,1766821710727
0,2.6,1766821711107
0,2.7,1766821711567
0,2.7,1766821711946
0,2.7,1766821712346
0,2.7,1766821712720
0,2.7,1766821713125
0,2.7,1766821713598
0,2.7,1766821713929
0,2.7,1766821714372
0,2.7,1766821714736
0,2.7,1766821715186
0,2.7,1766821715550
0,2.7,1766821715964
0,2.7,1766821716310
0,2.7,1766821716668
0,2.7,1766821717009
0,2.6,1766821717373
0,2.7,1766821717738
0,2.7,1766821718153
0,2.7,1766821718524
0,2.7,1766821718861
0,2.7,1766821719252
0,2.7,1766821719617
0,2.7,1766821720020
0,2.7,1766821720417
0,2.7,1766821720749
0,2.7,1766821721134
0,2.7,1766821721481
0,2.7,1766821721863
0,2.7,1766821722278
0,2.7,1766821722655
0,2.7,1766821723011
0,2.7,1766821723414
0,2.7,1766821723832
0,2.7,1766821724190
0,2.7,1766821724568
0,2.7,1766821724905
0,2.7,1766821725284
0,2.7,1766821725637
0,2.7,1766821725997
0,2.7,1766821726390
0,2.7,1766821726751
0,2.7,1766821727158
0,2.7,1766821727544
0,2.7,1766821727897
0,2.7,1766821728269
0,2.7,1766821728711
0,2.7,1766821729074
0,2.7,1766821729431
1,2.7,1766821729857
1,2.7,1766821730286
1,2.7,1766821730686
1,2.7,1766821731070
1,2.7,1766821731408
1,2.7,1766821731763
1,2.7,1766821732152
1,2.7,1766821732522
1,2.7,1766821732895
1,2.7,1766821733256
1,2.7,1766821733623
1,2.7,1766821733992
1,2.7,1766821734359
1,2.7,1766821734745
1,2.7,1766821735161
1,2.7,1766821735528
1,2.7,1766821735891
1,2.7,1766821736321
1,2.7,1766821736676
1,2.7,1766821737076
1,2.7,1766821737503
1,2.7,1766821737862
1,2.7,1766821738257
1,2.7,1766821738605
1,2.7,1766821738957
1,2.7,1766821739339
1,2.7,1766821739690
1,2.7,1766821740038
1,2.7,1766821740452
1,2.7,1766821740796
1,2.7,1766821741188
1,2.7,1766821741564
1,2.7,1766821741936
1,2.7,1766821742293
1,2.7,1766821742639
1,2.7,1766821743014
1,2.7,1766821743454
1,2.7,1766821743838
1,2.7,1766821744219
1,2.7,1766821744578
1,2.7,1766821744969
1,2.7,1766821745411
1,2.7,1766821745855
1,2.7,1766821746233
1,2.7,1766821746604
1,2.7,1766821747026
1,2.7,1766821747359
1,2.7,1766821747757
1,2.7,1766821748154
1,2.7,1766821748650
1,2.7,1766821748992
1,2.7,1766821749409
1,2.7,1766821749793
1,2.7,1766821750202
1,2.7,1766821750534
1,2.7,1766821750954
1,2.7,1766821751306
1,2.7,1766821751670
1,2.7,1766821752091
1,2.7,1766821752476
1,2.7,1766821752822
1,2.7,1766821753252
1,2.7,1766821753602
1,2.7,1766821754020
1,2.7,1766821754468
1,2.7,1766821754844
1,2.7,1766821755248
1,2.7,1766821755615
1,2.7,1766821756009
1,2.7,1766821756426
1,2.7,1766821756796
1,2.7,1766821757154
1,2.7,1766821757548
1,2.7,1766821757936
1,2.7,1766821758392
1,2.7,1766821758766
1,2.7,1766821759138
1,2.7,1766821759532
1,2.7,1766821759978
1,2.7,1766821760357
1,2.7,1766821760767
1,2.7,1766821761149
1,2.7,1766821761541
1,2.7,1766821761953
1,2.7,1766821762322
1,2.7,1766821762674
1,2.7,1766821763048
1,2.7,1766821763423
1,2.7,1766821763825
1,2.7,1766821764210
1,2.7,1766821764613
1,2.7,1766821765037
1,2.7,1766821765445
1,2.7,1766821765799
1,2.7,1766821766262
1,2.7,1766821766630
1,2.7,1766821766974
1,2.7,1766821767395
1,2.7,1766821767840
1,2.7,1766821768188
1,2.7,1766821768576
1,2.7,1766821769009
1,2.7,1766821769429
1,2.7,1766821769810
1,2.7,1766821770171
1,2.7,1766821770511
1,2.7,1766821770862
1,2.7,1766821771248
1,2.7,1766821771579
1,2.7,1766821771981
1,2.7,1766821772367
1,2.7,1766821772822
1,2.7,1766821773194
1,2.7,1766821773561
1,2.7,1766821773930
1,2.7,1766821774380
1,2.7,1766821774718
1,2.7,1766821775144
1,2.7,1766821775496
1,2.7,1766821775881
1,2.7,1766821776287
1,2.7,1766821776659
1,2.7,1766821777006
1,2.7,1766821777359
1,2.7,1766821777835
1,2.7,1766821778202
1,2.7,1766821778624
1,2.7,1766821779035
1,2.7,1766821779437
1,2.7,1766821779793
1,2.7,1766821780202
1,2.7,1766821780568
1,2.7,1766821780926
1,2.7,1766821781286
1,2.7,1766821781663
1,2.7,1766821782088
1,2.7,1766821782460
1,2.7,1766821782815
1,2.7,1766821783172
1,2.7,1766821783539
1,2.7,1766821783907
1,2.7,1766821784274
1,2.7,1766821784729
1,2.7,1766821785137
1,2.7,1766821785511
1,2.7,1766821785868
1,2.7,1766821786246
1,2.7,1766821786650
1,2.7,1766821787020
1,2.7,1766821787403
1,2.7,1766821787723
1,2.7,1766821788145
1,2.7,1766821788565
1,2.7,1766821788970
1,2.7,1766821789340
1,2.7,1766821789787
1,2.7,1766821790245
1,2.7,1766821790678
1,2.7,1766821791046
1,2.7,1766821791425
1,2.7,1766821791825
1,2.7,1766821792187
1,2.7,1766821792570
1,2.7,1766821792955
1,2.7,1766821793284
1,2.7,1766821793656
1,2.7,1766821794050
1,2.7,1766821794494
1,2.7,1766821794949
1,2.7,1766821795391
1,2.7,1766821795755
1,2.7,1766821796118
1,2.7,1766821796498
1,2.7,1766821796889
1,2.7,1766821797296
1,2.7,1766821797636
1,2.7,1766821798059
1,2.7,1766821798509
1,2.7,1766821798872
1,2.7,1766821799260
1,2.7,1766821799662
1,2.7,1766821800089
1,2.7,1766821800506
1,2.7,1766821800901
1,2.7,1766821801256
1,2.7,1766821801670
1,2.7,1766821802050
1,2.7,1766821802415
1,2.7,1766821802880
1,2.7,1766821803341
1,2.7,1766821803721
1,2.7,1766821804129
1,2.7,1766821804529
1,2.7,1766821804900
1,2.7,1766821805271
1,2.7,1766821805640
1,2.7,1766821806003
1,2.7,1766821806397
1,2.7,1766821806746
1,2.7,1766821807099
1,2.7,1766821807521
1,2.7,1766821807947
1,2.7,1766821808351
1,2.7,1766821808786
1,2.7,1766821809150
1,2.7,1766821809536
1,2.7,1766821809963
1,2.7,1766821810303
1,2.7,1766821810702
1,2.7,1766821811090
1,2.7,1766821811479
1,2.7,1766821811847
1,2.7,1766821812290
1,2.7,1766821812695
1,2.7,1766821813069
1,2.7,1766821813435
1,2.7,1766821813793
1,2.7,1766821814158
1,2.7,1766821814509
1,2.7,1766821814881
1,2.7,1766821815286
1,2.7,1766821815632
1,2.7,1766821816003
1,2.7,1766821816405
1,2.7,1766821816792
1,2.7,1766821817249
1,2.7,1766821817692
1,2.7,1766821818034
1,2.7,1766821818439
1,2.7,1766821818848
1,2.7,1766821819183
1,2.7,1766821819538
1,2.7,1766821819951
1,2.7,1766821820417
1,2.7,1766821820848
1,2.7,1766821821228
1,2.7,1766821821576
1,2.7,1766821821991
1,2.7,1766821822350
1,2.7,1766821822732
1,2.7,1766821823184
1,2.7,1766821823557
1,2.7,1766821823945
1,2.7,1766821824308
1,2.7,1766821824724
1,2.7,1766821825099
1,2.7,1766821825465
1,2.7,1766821825850
1,2.7,1766821826186
1,2.7,1766821826567
1,2.7,1766821826946
1,2.7,1766821827324
1,2.7,1766821827677
1,2.7,1766821828124
1,2.7,1766821828485
1,2.7,1766821828821
2,2.7,1766821829235
2,2.7,1766821829580
2,2.7,1766821829963
2,2.7,1766821830356
2,2.7,1766821830869
2,2.7,1766821831224
2,2.7,1766821831665
2,2.7,1766821832019
2,2.7,1766821832384
2,2.7,1766821832772
2,2.7,1766821833132
2,2.7,1766821833514
2,2.7,1766821833859
2,2.7,1766821834197
2,2.7,1766821834578
2,2.7,1766821834947
2,2.7,1766821835311
2,2.7,1766821835797
2,2.7,1766821836165
2,2.7,1766821836509
2,2.7,1766821836919
2,2.7,1766821837286
2,2.7,1766821837675
2,2.7,1766821838062
2,2.7,1766821838413
2,2.7,1766821838821
2,2.7,1766821839259
2,2.7,1766821839604
2,2.7,1766821840007
2,2.7,1766821840438
2,2.7,1766821840861
2,2.7,1766821841212
2,2.7,1766821841586
2,2.7,1766821841998
2,2.7,1766821842389
2,2.7,1766821842733
2,2.7,1766821843114
2,2.7,1766821843573
2,2.7,1766821843923
2,2.7,1766821844311
2,2.7,1766821844688
2,2.7,1766821845149
2,2.7,1766821845525
2,2.7,1766821845878
2,2.7,1766821846286
2,2.7,1766821846686
2,2.7,1766821847064
2,2.7,1766821847462
2,2.7,1766821847837
2,2.7,1766821848222
2,2.7,1766821848588
2,2.7,1766821848994
2,2.7,1766821849384
2,2.7,1766821849755
2,2.7,1766821850156
2,2.7,1766821850539
2,2.7,1766821850949
2,2.7,1766821851296
2,2.7,1766821851655
2,2.7,1766821852044
2,2.7,1766821852384
2,2.7,1766821852834
2,2.7,1766821853214
2,2.7,1766821853592
2,2.7,1766821854046
2,2.7,1766821854418
2,2.7,1766821854840
2,2.7,1766821855228
2,2.7,1766821855658
2,2.7,1766821856052
2,2.7,1766821856410
2,2.7,1766821856771
2,2.7,1766821857137
2,2.7,1766821857533
2,2.7,1766821857882
2,2.7,1766821858273
2,2.7,1766821858713
2,2.7,1766821859106
2,2.7,1766821859478
2,2.7,1766821859832
2,2.7,1766821860251
