Loss,Context.TRAINING,None
0,2.3311002254486084,1766822567070
0,61.593406677246094,1766822567520
0,46.24439239501953,1766822567863
0,57.790252685546875,1766822568177
0,52.87488555908203,1766822568531
0,52.571285247802734,1766822568861
0,28.83090591430664,1766822569178
0,13.777681350708008,1766822569503
0,13.544657707214355,1766822569835
0,10.648030281066895,1766822570165
0,6.4559831619262695,1766822570505
0,4.93802547454834,1766822570843
0,3.7313127517700195,1766822571187
0,3.745422124862671,1766822571509
0,3.9434664249420166,1766822571827
0,2.8965468406677246,1766822572148
0,3.0912439823150635,1766822572489
0,2.822417736053467,1766822572956
0,2.840506076812744,1766822573290
0,2.7754292488098145,1766822573640
0,3.0652313232421875,1766822573970
0,2.5079119205474854,1766822574312
0,2.4638381004333496,1766822574651
0,2.357560634613037,1766822574985
0,2.268244743347168,1766822575308
0,2.1998443603515625,1766822575657
0,2.408740520477295,1766822575994
0,2.395714282989502,1766822576332
0,2.3461828231811523,1766822576667
0,2.4040863513946533,1766822577009
0,2.2408976554870605,1766822577337
0,2.129375457763672,1766822577681
0,2.0592823028564453,1766822578029
0,2.0532546043395996,1766822578356
0,2.0947318077087402,1766822578689
0,2.219029188156128,1766822579022
0,2.047564744949341,1766822579350
0,1.8838226795196533,1766822579675
0,2.1880805492401123,1766822580022
0,1.9588408470153809,1766822580360
0,2.1121788024902344,1766822580691
0,2.1111462116241455,1766822581042
0,2.3189830780029297,1766822581385
0,1.9627015590667725,1766822581712
0,1.9521158933639526,1766822582038
0,1.8798705339431763,1766822582374
0,1.847836971282959,1766822582717
0,2.1350257396698,1766822583062
0,1.991084337234497,1766822583402
0,1.971187710762024,1766822583723
0,1.742856740951538,1766822584052
0,1.809175729751587,1766822584386
0,1.7932950258255005,1766822584701
0,1.8609782457351685,1766822585016
0,1.780224084854126,1766822585374
0,1.8372911214828491,1766822585689
0,1.8297486305236816,1766822586006
0,1.7153515815734863,1766822586354
0,1.659478783607483,1766822586683
0,1.683327555656433,1766822587034
0,1.7021682262420654,1766822587371
0,1.9109480381011963,1766822587699
0,1.4883430004119873,1766822588037
0,1.61204195022583,1766822588370
1,1.8167307376861572,1766822588697
1,1.5699942111968994,1766822589039
1,1.613044023513794,1766822589376
1,1.586063027381897,1766822589732
1,1.4529125690460205,1766822590067
1,1.5958728790283203,1766822590410
1,1.7800254821777344,1766822590750
1,1.7076002359390259,1766822591070
1,1.8241883516311646,1766822591396
1,1.5459346771240234,1766822591726
1,1.8097413778305054,1766822592039
1,1.5479059219360352,1766822592374
1,1.6553772687911987,1766822592726
1,1.6651780605316162,1766822593044
1,1.4522427320480347,1766822593369
1,1.5596264600753784,1766822593708
1,1.3214294910430908,1766822594048
1,1.359528660774231,1766822594381
1,1.713578701019287,1766822594722
1,1.511590600013733,1766822595066
1,1.3474690914154053,1766822595406
1,1.666164517402649,1766822595722
1,1.915126085281372,1766822596042
1,1.43171226978302,1766822596364
1,1.5887666940689087,1766822596690
1,1.5868096351623535,1766822597033
1,1.3180919885635376,1766822597360
1,1.4003134965896606,1766822597741
1,1.424337387084961,1766822598063
1,1.5605945587158203,1766822598409
1,1.400343894958496,1766822598737
1,1.4095423221588135,1766822599079
1,1.2083375453948975,1766822599422
1,1.4134808778762817,1766822599755
1,1.5156242847442627,1766822600096
1,1.1452572345733643,1766822600455
1,1.364577054977417,1766822600802
1,1.497356653213501,1766822601141
1,1.4381943941116333,1766822601504
1,1.4836136102676392,1766822601832
1,1.4050339460372925,1766822602166
1,1.2034817934036255,1766822602505
1,1.204223871231079,1766822602848
1,1.120346188545227,1766822603168
1,1.3036272525787354,1766822603612
1,1.5236997604370117,1766822603942
1,1.4235098361968994,1766822604291
1,1.40403151512146,1766822604621
1,1.1093940734863281,1766822604961
1,1.3251972198486328,1766822605299
1,0.9652266502380371,1766822605635
1,1.3233363628387451,1766822605955
1,1.3693604469299316,1766822606295
1,1.1343799829483032,1766822606843
