gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,44.0,1766822760534
0,44.0,1766822760972
0,44.0,1766822761281
0,44.0,1766822761599
0,44.0,1766822761900
0,44.0,1766822762222
0,44.0,1766822762537
0,44.0,1766822762868
0,44.0,1766822763176
0,43.0,1766822763489
0,43.0,1766822763808
0,43.0,1766822764109
0,43.0,1766822764434
0,43.0,1766822764746
0,43.0,1766822765071
0,43.0,1766822765395
1,43.0,1766822765823
1,43.0,1766822766137
1,43.0,1766822766436
1,43.0,1766822766757
1,43.0,1766822767082
1,43.0,1766822767412
1,43.0,1766822767714
1,43.0,1766822768030
1,42.0,1766822768385
1,42.0,1766822768691
1,42.0,1766822769012
1,42.0,1766822769314
1,42.0,1766822769623
1,42.0,1766822769948
1,42.0,1766822770263
1,42.0,1766822770582
2,42.0,1766822770899
2,42.0,1766822771407
2,42.0,1766822771737
2,43.0,1766822772047
2,43.0,1766822772355
2,43.0,1766822772675
2,48.0,1766822773007
2,49.0,1766822773322
2,50.0,1766822773646
2,51.0,1766822773995
2,52.0,1766822774302
2,52.0,1766822774632
2,48.0,1766822774939
2,46.0,1766822775256
2,46.0,1766822775563
2,45.0,1766822775882
3,45.0,1766822776231
3,44.0,1766822776534
3,44.0,1766822776853
3,44.0,1766822777174
3,44.0,1766822777496
3,44.0,1766822777806
3,44.0,1766822778124
3,44.0,1766822778431
3,44.0,1766822778744
3,43.0,1766822779053
3,43.0,1766822779375
3,43.0,1766822779698
3,43.0,1766822780015
3,43.0,1766822780325
3,43.0,1766822780639
3,43.0,1766822780954
4,43.0,1766822781260
4,43.0,1766822781577
4,43.0,1766822781896
4,43.0,1766822782218
4,43.0,1766822782548
4,43.0,1766822782872
4,43.0,1766822783185
4,43.0,1766822783520
4,43.0,1766822783845
4,43.0,1766822784141
4,43.0,1766822784467
4,42.0,1766822784771
4,43.0,1766822785096
4,42.0,1766822785420
4,42.0,1766822785728
4,42.0,1766822786048
5,42.0,1766822786360
5,42.0,1766822786664
5,42.0,1766822786991
5,42.0,1766822787325
5,42.0,1766822787637
5,42.0,1766822787960
5,42.0,1766822788289
5,42.0,1766822788594
5,42.0,1766822788954
5,42.0,1766822789272
5,42.0,1766822789584
5,42.0,1766822789903
5,42.0,1766822790206
5,42.0,1766822790520
5,42.0,1766822790848
5,42.0,1766822791167
6,42.0,1766822791483
6,42.0,1766822791811
6,42.0,1766822792120
6,42.0,1766822792451
6,42.0,1766822792769
6,41.0,1766822793079
6,41.0,1766822793392
6,41.0,1766822793752
6,41.0,1766822794063
6,41.0,1766822794381
6,41.0,1766822794704
6,41.0,1766822795020
6,41.0,1766822795336
6,41.0,1766822795645
6,41.0,1766822795952
6,41.0,1766822796276
