disk_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.3,1766818556218
0,0.3,1766818556626
0,0.3,1766818556927
0,0.3,1766818557231
0,0.3,1766818557536
0,0.3,1766818557841
0,0.3,1766818558147
0,0.3,1766818558454
0,0.3,1766818558758
0,0.3,1766818559062
0,0.3,1766818559364
0,0.3,1766818559670
0,0.3,1766818559976
0,0.3,1766818560279
0,0.3,1766818560584
0,0.3,1766818560897
0,0.3,1766818561201
0,0.3,1766818561504
0,0.3,1766818561808
0,0.3,1766818562113
0,0.3,1766818562446
0,0.3,1766818562749
0,0.3,1766818563057
0,0.3,1766818563364
0,0.3,1766818563667
0,0.3,1766818563969
0,0.3,1766818564283
0,0.3,1766818564589
0,0.3,1766818564904
0,0.3,1766818565207
0,0.3,1766818565514
0,0.3,1766818565822
0,0.3,1766818566129
0,0.3,1766818566436
0,0.3,1766818566740
0,0.3,1766818567135
0,0.3,1766818567441
0,0.3,1766818567752
0,0.3,1766818568057
0,0.3,1766818568361
0,0.3,1766818568689
0,0.3,1766818568995
0,0.3,1766818569298
0,0.3,1766818569618
0,0.3,1766818569925
0,0.3,1766818570229
0,0.3,1766818570538
0,0.3,1766818570841
0,0.3,1766818571147
0,0.3,1766818571454
0,0.3,1766818571759
0,0.3,1766818572061
0,0.3,1766818572365
0,0.3,1766818572673
0,0.3,1766818572987
0,0.3,1766818573294
0,0.3,1766818573598
0,0.3,1766818573907
0,0.3,1766818574215
0,0.3,1766818574530
0,0.3,1766818574836
0,0.3,1766818575138
0,0.3,1766818575440
0,0.3,1766818575746
0,0.3,1766818576053
0,0.3,1766818576361
0,0.3,1766818576664
0,0.3,1766818576966
0,0.3,1766818577269
0,0.3,1766818577575
0,0.3,1766818577885
0,0.3,1766818578191
0,0.3,1766818578496
0,0.3,1766818578802
0,0.3,1766818579107
0,0.3,1766818579413
0,0.3,1766818579717
0,0.3,1766818580019
0,0.3,1766818580324
0,0.3,1766818580630
0,0.3,1766818580935
0,0.3,1766818581240
0,0.3,1766818581543
0,0.3,1766818581852
0,0.3,1766818582159
0,0.3,1766818582466
0,0.3,1766818582775
0,0.3,1766818583079
0,0.3,1766818583393
0,0.3,1766818583700
0,0.3,1766818584009
0,0.3,1766818584326
0,0.3,1766818584628
0,0.3,1766818584932
0,0.3,1766818585237
0,0.3,1766818585544
0,0.3,1766818585849
0,0.3,1766818586152
0,0.3,1766818586457
0,0.3,1766818586775
0,0.3,1766818587080
0,0.3,1766818587385
0,0.3,1766818587688
0,0.3,1766818587992
0,0.3,1766818588297
0,0.3,1766818588604
0,0.3,1766818588912
0,0.3,1766818589240
0,0.3,1766818589543
0,0.3,1766818589848
0,0.3,1766818590156
0,0.3,1766818590463
0,0.3,1766818590769
0,0.3,1766818591072
0,0.3,1766818591375
0,0.3,1766818591679
0,0.3,1766818591986
0,0.3,1766818592292
0,0.3,1766818592598
0,0.3,1766818592904
0,0.3,1766818593211
0,0.3,1766818593516
0,0.3,1766818593821
0,0.3,1766818594132
0,0.3,1766818594435
0,0.3,1766818594739
0,0.3,1766818595053
0,0.3,1766818595364
0,0.3,1766818595672
0,0.3,1766818595977
0,0.3,1766818596285
0,0.3,1766818596597
0,0.3,1766818596905
0,0.3,1766818597214
0,0.3,1766818597532
0,0.3,1766818597955
0,0.3,1766818598264
0,0.3,1766818598574
0,0.3,1766818598891
0,0.3,1766818599201
0,0.3,1766818599529
0,0.3,1766818599838
0,0.3,1766818600143
0,0.3,1766818600454
0,0.3,1766818600776
0,0.3,1766818601086
0,0.3,1766818601394
0,0.3,1766818601698
0,0.3,1766818602003
0,0.3,1766818602325
0,0.3,1766818602671
0,0.3,1766818602980
0,0.3,1766818603289
0,0.3,1766818603596
0,0.3,1766818603906
0,0.3,1766818604212
0,0.3,1766818604519
0,0.3,1766818604827
0,0.3,1766818605136
0,0.3,1766818605446
0,0.3,1766818605753
0,0.3,1766818606064
0,0.3,1766818606373
0,0.3,1766818606681
0,0.3,1766818606990
0,0.3,1766818607300
0,0.3,1766818607607
0,0.3,1766818607912
0,0.3,1766818608224
0,0.3,1766818608542
0,0.3,1766818608850
0,0.3,1766818609161
0,0.3,1766818609467
0,0.3,1766818609773
0,0.3,1766818610079
0,0.3,1766818610387
0,0.3,1766818610697
0,0.3,1766818611005
0,0.3,1766818611316
0,0.3,1766818611622
0,0.3,1766818611928
0,0.3,1766818612237
0,0.3,1766818612549
0,0.3,1766818612855
0,0.3,1766818613164
0,0.3,1766818613471
0,0.3,1766818613778
0,0.3,1766818614109
0,0.3,1766818614437
0,0.3,1766818614810
0,0.3,1766818615132
0,0.3,1766818615463
0,0.3,1766818615810
0,0.3,1766818616123
0,0.3,1766818616453
0,0.3,1766818616763
0,0.3,1766818617117
0,0.3,1766818617459
0,0.3,1766818617772
0,0.3,1766818618106
0,0.3,1766818618438
0,0.3,1766818618757
0,0.3,1766818619070
0,0.3,1766818619386
0,0.3,1766818619717
0,0.3,1766818620039
0,0.3,1766818620363
0,0.3,1766818620700
0,0.3,1766818621032
0,0.3,1766818621373
0,0.3,1766818621722
0,0.3,1766818622048
0,0.3,1766818622388
0,0.3,1766818622735
0,0.3,1766818623047
0,0.3,1766818623364
0,0.3,1766818623683
0,0.3,1766818624000
0,0.3,1766818624325
0,0.3,1766818624664
0,0.3,1766818624990
0,0.3,1766818625305
0,0.3,1766818625629
0,0.3,1766818625958
0,0.3,1766818626285
