cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,5.3,1766822607316
0,5.1,1766822607625
0,4.6,1766822607809
0,5.4,1766822607993
0,4.4,1766822608189
0,6.0,1766822608380
0,4.3,1766822608566
0,5.2,1766822608787
0,5.2,1766822608960
0,5.1,1766822609146
0,5.3,1766822609336
0,5.2,1766822609531
0,5.7,1766822609728
0,3.6,1766822609916
0,4.7,1766822610104
0,2.6,1766822610294
0,4.5,1766822610484
0,3.3,1766822610650
0,4.5,1766822610828
0,5.0,1766822611018
0,4.6,1766822611408
0,5.9,1766822611621
0,4.9,1766822611800
0,4.4,1766822612000
0,4.8,1766822612175
0,4.3,1766822612337
0,4.5,1766822612519
0,4.1,1766822612715
0,4.8,1766822612893
0,4.1,1766822613088
0,4.8,1766822613298
0,4.5,1766822613473
0,4.7,1766822613659
0,4.7,1766822613849
0,3.9,1766822614063
0,5.1,1766822614255
0,3.8,1766822614451
0,4.5,1766822614654
0,4.4,1766822614857
0,4.1,1766822615059
0,4.6,1766822615228
0,3.9,1766822615405
0,4.4,1766822615594
0,3.8,1766822615785
0,4.9,1766822615999
0,4.0,1766822616185
0,4.5,1766822616374
0,4.7,1766822616578
0,4.1,1766822616755
0,4.5,1766822616933
0,4.2,1766822617123
0,5.0,1766822617326
0,4.3,1766822617519
0,4.3,1766822617731
0,4.6,1766822617910
0,3.8,1766822618108
0,5.1,1766822618299
0,3.9,1766822618484
0,5.1,1766822618678
0,4.1,1766822618852
0,4.5,1766822619038
0,4.4,1766822619227
0,4.1,1766822619409
0,4.6,1766822619605
1,3.9,1766822619852
1,4.9,1766822620072
1,5.5,1766822620256
1,5.9,1766822620457
1,5.6,1766822620628
1,4.4,1766822620786
1,4.7,1766822620982
1,3.8,1766822621174
1,4.9,1766822621421
1,4.1,1766822621604
1,4.5,1766822621795
1,4.9,1766822622002
1,4.0,1766822622157
1,5.4,1766822622347
1,3.5,1766822622544
1,5.2,1766822622718
1,3.8,1766822622903
1,4.7,1766822623102
1,4.0,1766822623291
1,4.4,1766822623481
1,4.9,1766822623662
1,4.1,1766822623847
1,4.7,1766822624041
1,3.8,1766822624218
1,5.3,1766822624401
1,3.7,1766822624586
1,5.1,1766822624774
1,3.5,1766822624959
1,4.9,1766822625148
1,4.5,1766822625334
1,4.5,1766822625526
1,4.4,1766822625727
1,3.7,1766822625911
1,5.2,1766822626105
1,3.8,1766822626272
1,5.0,1766822626474
1,4.4,1766822626664
1,4.3,1766822626873
1,5.0,1766822627072
1,3.6,1766822627269
1,4.8,1766822627499
1,4.1,1766822627686
1,4.2,1766822627889
1,5.1,1766822628073
1,3.9,1766822628256
1,4.8,1766822628445
1,3.6,1766822628622
1,5.1,1766822628826
1,3.9,1766822629003
1,4.6,1766822629176
1,4.5,1766822629349
1,4.4,1766822629556
1,4.8,1766822629738
1,3.9,1766822629932
1,5.1,1766822630106
1,3.5,1766822630301
1,5.1,1766822630489
1,4.4,1766822630684
1,4.5,1766822630891
1,4.4,1766822631070
1,4.2,1766822631279
1,4.9,1766822631461
1,4.2,1766822631630
1,4.8,1766822631837
2,3.9,1766822632012
2,4.8,1766822632218
2,4.3,1766822632369
2,4.5,1766822632591
2,4.6,1766822632777
2,4.2,1766822632949
2,5.0,1766822633133
2,3.7,1766822633334
2,4.9,1766822633521
2,3.8,1766822633710
2,4.6,1766822633929
2,4.6,1766822634105
2,4.3,1766822634298
2,4.7,1766822634489
2,3.9,1766822634682
2,5.1,1766822634878
2,3.9,1766822635059
2,4.7,1766822635270
2,4.2,1766822635479
2,4.2,1766822635656
2,4.9,1766822635858
2,3.8,1766822636017
2,4.8,1766822636256
2,4.2,1766822636425
2,4.1,1766822636649
2,4.9,1766822636843
2,3.8,1766822637038
