gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.03,1766821518230
0,0.04,1766821518504
0,0.03,1766821518658
0,0.03,1766821518841
0,0.0,1766821519081
0,0.06,1766821519241
0,0.03,1766821519413
0,0.03,1766821519570
0,0.03,1766821519730
0,0.04,1766821519896
0,0.03,1766821520046
0,0.04,1766821520219
0,0.03,1766821520368
0,0.04,1766821520543
0,0.03,1766821520691
0,0.03,1766821520863
0,0.03,1766821521020
0,0.03,1766821521184
0,0.03,1766821521349
0,0.03,1766821521528
0,0.03,1766821521673
0,0.03,1766821521823
0,0.03,1766821521974
0,0.03,1766821522164
0,0.03,1766821522328
0,0.03,1766821522485
0,0.03,1766821522662
0,0.03,1766821522835
0,0.03,1766821523008
0,0.03,1766821523167
0,0.03,1766821523368
0,0.03,1766821523535
0,0.03,1766821523722
0,0.03,1766821523882
0,0.03,1766821524061
0,0.03,1766821524227
0,0.03,1766821524398
0,0.03,1766821524556
0,0.03,1766821524736
0,0.03,1766821524898
0,0.03,1766821525069
0,0.03,1766821525217
0,0.03,1766821525371
0,0.03,1766821525532
0,0.03,1766821525696
0,0.03,1766821525871
0,0.03,1766821526017
0,0.03,1766821526180
0,0.03,1766821526344
0,0.03,1766821526494
0,0.03,1766821526644
0,0.03,1766821526785
0,0.03,1766821526945
0,0.06,1766821527099
0,0.06,1766821527255
0,0.03,1766821527406
0,0.04,1766821527593
0,0.03,1766821527749
0,0.03,1766821527904
0,0.03,1766821528070
0,0.03,1766821528235
0,0.03,1766821528423
0,0.03,1766821528581
0,0.03,1766821528773
0,0.03,1766821528919
0,0.03,1766821529083
0,0.03,1766821529257
0,0.03,1766821529460
0,0.04,1766821529607
0,0.03,1766821529775
0,0.03,1766821529925
0,0.03,1766821530078
0,0.03,1766821530249
0,0.03,1766821530403
0,0.03,1766821530560
0,0.03,1766821530730
0,0.03,1766821530874
0,0.03,1766821531030
0,0.03,1766821531187
0,0.03,1766821531350
0,0.06,1766821531507
0,0.04,1766821531666
0,0.03,1766821531818
0,0.03,1766821532004
0,0.03,1766821532174
0,0.03,1766821532331
0,0.03,1766821532497
0,0.03,1766821532659
0,0.03,1766821532809
0,0.03,1766821533003
0,0.03,1766821533174
0,0.03,1766821533333
0,0.03,1766821533516
0,0.03,1766821533660
0,0.03,1766821533843
0,0.03,1766821534011
0,0.03,1766821534187
0,0.03,1766821534343
0,0.03,1766821534511
0,0.03,1766821534673
0,0.03,1766821534838
0,0.03,1766821534991
0,0.03,1766821535169
0,0.03,1766821535316
0,0.03,1766821535475
0,0.03,1766821535639
0,0.06,1766821535797
0,0.01,1766821535975
0,0.03,1766821536148
0,0.03,1766821536332
0,0.03,1766821536504
0,0.03,1766821536692
0,0.03,1766821536835
0,0.03,1766821537003
0,0.03,1766821537346
0,0.0,1766821537541
0,0.03,1766821537731
0,0.03,1766821537884
0,0.03,1766821538043
0,0.03,1766821538197
0,0.03,1766821538353
0,0.06,1766821538523
0,0.02,1766821538688
0,0.05,1766821538864
0,0.04,1766821539027
0,0.03,1766821539193
0,0.03,1766821539354
0,0.03,1766821539510
0,0.03,1766821539664
0,0.03,1766821539855
0,0.03,1766821540022
0,0.03,1766821540181
0,0.03,1766821540339
0,0.03,1766821540502
0,0.03,1766821540661
0,0.03,1766821540834
0,0.03,1766821541003
0,0.03,1766821541181
0,0.03,1766821541346
0,0.03,1766821541508
0,0.03,1766821541669
0,0.03,1766821541850
0,0.03,1766821542017
