disk_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.3,1766822835042
0,0.3,1766822835322
0,0.3,1766822835468
0,0.3,1766822835606
0,0.3,1766822835751
0,0.3,1766822835891
0,0.3,1766822836037
0,0.3,1766822836182
0,0.3,1766822836341
0,0.3,1766822836506
0,0.3,1766822836662
0,0.3,1766822836806
0,0.3,1766822836971
0,0.3,1766822837110
0,0.3,1766822837293
0,0.3,1766822837433
1,0.3,1766822837579
1,0.3,1766822837730
1,0.3,1766822837886
1,0.3,1766822838044
1,0.3,1766822838192
1,0.3,1766822838346
1,0.3,1766822838496
1,0.3,1766822838646
1,0.3,1766822838801
1,0.3,1766822838952
1,0.3,1766822839104
1,0.3,1766822839258
1,0.3,1766822839405
1,0.3,1766822839558
1,0.3,1766822839712
1,0.3,1766822839885
2,0.3,1766822840052
2,0.3,1766822840210
2,0.3,1766822840367
2,0.3,1766822840502
2,0.3,1766822840641
2,0.3,1766822840785
2,0.3,1766822840928
2,0.3,1766822841068
2,0.3,1766822841215
2,0.3,1766822841355
2,0.3,1766822841495
2,0.3,1766822841633
2,0.3,1766822841803
2,0.3,1766822841941
2,0.3,1766822842079
2,0.3,1766822842218
