gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.89,1766819970837
0,1.0,1766819971137
0,0.87,1766819971351
0,0.71,1766819971553
0,1.0,1766819971742
0,0.7,1766819971953
0,0.88,1766819972146
0,1.0,1766819972357
0,0.97,1766819972561
0,1.0,1766819972885
0,0.69,1766819973104
0,1.0,1766819973275
0,0.89,1766819973482
0,1.0,1766819973722
0,1.0,1766819973919
0,0.79,1766819974126
0,1.0,1766819974315
0,0.83,1766819974524
0,0.55,1766819974773
0,1.0,1766819974970
0,0.93,1766819975153
0,1.0,1766819975374
0,1.0,1766819975612
0,0.7,1766819975835
0,0.9,1766819976056
0,0.67,1766819976272
0,1.0,1766819976477
0,0.8,1766819976666
0,1.0,1766819976899
0,1.0,1766819977148
0,0.82,1766819977331
0,1.0,1766819977539
0,0.81,1766819977753
0,1.0,1766819977967
0,0.91,1766819978158
0,0.99,1766819978355
0,0.9,1766819978569
0,0.99,1766819978771
0,0.78,1766819979003
0,0.89,1766819979236
0,1.0,1766819979432
0,0.83,1766819979714
0,0.56,1766819979973
0,1.0,1766819980165
0,0.82,1766819980368
0,1.0,1766819980553
0,1.0,1766819980766
0,0.81,1766819980941
0,0.91,1766819981120
0,0.99,1766819981305
0,0.75,1766819981497
0,1.0,1766819981724
0,1.0,1766819981970
0,0.36,1766819982145
0,1.0,1766819982317
0,0.76,1766819982508
0,1.0,1766819982711
0,0.85,1766819982908
0,0.91,1766819983086
0,0.97,1766819983269
0,1.0,1766819983467
0,0.77,1766819983696
0,1.0,1766819983899
0,0.65,1766819984087
0,1.0,1766819984275
0,1.0,1766819984481
0,0.54,1766819984739
0,0.99,1766819984933
0,0.91,1766819985121
0,0.98,1766819985317
0,0.92,1766819985501
0,0.86,1766819985679
0,0.86,1766819985878
0,1.0,1766819986083
0,1.0,1766819986430
0,0.56,1766819986661
0,1.0,1766819986843
0,0.89,1766819987018
0,0.77,1766819987232
0,1.0,1766819987406
0,0.78,1766819987611
0,1.0,1766819987789
0,0.91,1766819987987
0,1.0,1766819988233
0,1.0,1766819988502
0,1.0,1766819988691
0,0.89,1766819988957
0,0.47,1766819989155
0,1.0,1766819989325
0,0.92,1766819989494
0,1.0,1766819989754
0,0.53,1766819989963
0,0.98,1766819990149
0,0.98,1766819990351
0,0.92,1766819990526
0,0.99,1766819990718
0,0.97,1766819990926
0,0.87,1766819991211
0,0.37,1766819991394
0,1.0,1766819991565
0,0.87,1766819991761
0,1.0,1766819991932
0,0.92,1766819992143
0,0.85,1766819992370
0,1.0,1766819992577
0,0.71,1766819992809
0,1.0,1766819993030
0,1.0,1766819993255
0,0.93,1766819993446
0,1.0,1766819993680
0,1.0,1766819993907
0,0.7,1766819994118
0,0.9,1766819994329
0,0.87,1766819994567
0,1.0,1766819994750
0,0.86,1766819994944
0,1.0,1766819995169
0,0.66,1766819995381
0,0.81,1766819995586
0,1.0,1766819995819
0,0.62,1766819996019
0,1.0,1766819996202
0,0.94,1766819996404
0,0.73,1766819996627
0,1.0,1766819996807
0,0.93,1766819996992
0,1.0,1766819997195
0,0.84,1766819997389
0,1.0,1766819997568
0,0.84,1766819997745
0,1.0,1766819997917
0,0.86,1766819998105
0,0.17,1766819998318
0,0.93,1766819998516
0,0.69,1766819998720
0,1.0,1766819998884
0,0.77,1766819999094
0,1.0,1766819999263
0,1.0,1766819999490
0,0.83,1766819999734
0,0.8,1766819999976
0,1.0,1766820000150
0,1.0,1766820000393
0,0.44,1766820000619
0,1.0,1766820000797
0,0.88,1766820000989
0,0.76,1766820001181
0,1.0,1766820001385
0,0.79,1766820001567
0,1.0,1766820001837
0,0.81,1766820002026
0,1.0,1766820002210
0,0.81,1766820002416
0,1.0,1766820002639
0,0.64,1766820002809
0,1.0,1766820003029
0,1.0,1766820003263
0,0.79,1766820003472
0,0.89,1766820003651
0,1.0,1766820003875
0,0.97,1766820004104
0,0.86,1766820004311
0,1.0,1766820004498
0,0.77,1766820004683
0,1.0,1766820004879
0,1.0,1766820005237
0,0.24,1766820005437
0,1.0,1766820005605
0,1.0,1766820005840
0,0.85,1766820006024
0,1.0,1766820006228
0,0.74,1766820006401
0,1.0,1766820006621
0,0.95,1766820006904
0,0.86,1766820007111
0,0.7,1766820007278
0,1.0,1766820007499
0,1.0,1766820007700
0,0.73,1766820007931
0,1.0,1766820008159
0,0.72,1766820008378
0,0.64,1766820008658
0,0.71,1766820008872
0,1.0,1766820009058
0,1.0,1766820009304
0,0.66,1766820009485
0,1.0,1766820009681
0,0.79,1766820009908
0,0.72,1766820010112
0,1.0,1766820010339
0,0.95,1766820010527
0,1.0,1766820010723
0,1.0,1766820011006
0,0.76,1766820011190
0,1.0,1766820011418
0,0.79,1766820011604
0,0.81,1766820011809
0,0.82,1766820012006
0,1.0,1766820012202
0,0.8,1766820012446
0,1.0,1766820012651
0,1.0,1766820012872
0,0.87,1766820013046
