gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,28.0,1766818555141
0,28.0,1766818555862
0,28.0,1766818556009
0,28.0,1766818556156
0,28.0,1766818556294
0,28.0,1766818556431
0,28.0,1766818556591
0,28.0,1766818556753
0,28.0,1766818556918
0,28.0,1766818557072
0,28.0,1766818557237
0,28.0,1766818557380
0,28.0,1766818557557
0,28.0,1766818557699
0,28.0,1766818557869
0,28.0,1766818558019
0,28.0,1766818558176
0,28.0,1766818558333
0,28.0,1766818558477
0,28.0,1766818558611
0,28.0,1766818558757
0,28.0,1766818558909
0,28.0,1766818559057
0,28.0,1766818559196
0,28.0,1766818559338
0,28.0,1766818559484
0,28.0,1766818559623
0,28.0,1766818559776
0,28.0,1766818559938
0,28.0,1766818560085
0,28.0,1766818560226
0,28.0,1766818560371
0,28.0,1766818560526
0,28.0,1766818560691
0,28.0,1766818560837
0,28.0,1766818560985
0,28.0,1766818561132
0,28.0,1766818561292
0,28.0,1766818561449
0,28.0,1766818561602
0,28.0,1766818561768
0,28.0,1766818561917
0,28.0,1766818562068
0,28.0,1766818562249
0,28.0,1766818562398
0,28.0,1766818562550
0,28.0,1766818562705
0,28.0,1766818562858
0,28.0,1766818563013
0,28.0,1766818563158
0,28.0,1766818563319
0,28.0,1766818563472
0,28.0,1766818563621
0,28.0,1766818563769
0,28.0,1766818563922
0,28.0,1766818564070
0,28.0,1766818564219
0,28.0,1766818564369
0,28.0,1766818564519
0,28.0,1766818564686
0,28.0,1766818564833
0,28.0,1766818564994
0,28.0,1766818565146
0,28.0,1766818565297
0,28.0,1766818565448
0,28.0,1766818565600
0,28.0,1766818565749
0,28.0,1766818565927
0,28.0,1766818566081
0,28.0,1766818566241
0,28.0,1766818566399
0,28.0,1766818566550
0,28.0,1766818566916
0,28.0,1766818567092
0,28.0,1766818567250
0,29.0,1766818567413
0,29.0,1766818567581
0,29.0,1766818567740
0,29.0,1766818567885
0,29.0,1766818568039
0,29.0,1766818568186
0,34.0,1766818568431
0,34.0,1766818568602
0,36.0,1766818568757
0,36.0,1766818568896
0,37.0,1766818569059
0,37.0,1766818569213
0,38.0,1766818569391
0,38.0,1766818569567
0,38.0,1766818569721
0,39.0,1766818569869
0,39.0,1766818570021
0,38.0,1766818570169
0,35.0,1766818570329
0,34.0,1766818570472
0,33.0,1766818570619
0,33.0,1766818570790
0,32.0,1766818570947
0,32.0,1766818571096
0,32.0,1766818571278
0,32.0,1766818571446
0,32.0,1766818571591
0,32.0,1766818571745
0,31.0,1766818571884
0,31.0,1766818572032
0,31.0,1766818572201
0,31.0,1766818572353
0,31.0,1766818572504
0,31.0,1766818572662
0,31.0,1766818572824
0,31.0,1766818572987
0,31.0,1766818573135
0,31.0,1766818573312
0,31.0,1766818573459
0,31.0,1766818573609
0,31.0,1766818573756
0,31.0,1766818573903
0,31.0,1766818574046
0,31.0,1766818574245
0,31.0,1766818574393
0,31.0,1766818574551
0,31.0,1766818574699
0,31.0,1766818574868
0,31.0,1766818575010
0,31.0,1766818575156
0,31.0,1766818575301
0,31.0,1766818575451
0,31.0,1766818575597
0,31.0,1766818575738
0,31.0,1766818575885
0,31.0,1766818576032
0,31.0,1766818576180
0,31.0,1766818576347
0,31.0,1766818576495
0,31.0,1766818576641
0,31.0,1766818576787
0,31.0,1766818576994
0,31.0,1766818577141
