memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,2.9,1766818555061
0,2.9,1766818555782
0,3.0,1766818555918
0,3.0,1766818556073
0,3.0,1766818556214
0,3.1,1766818556352
0,3.1,1766818556505
0,3.2,1766818556673
0,3.2,1766818556824
0,3.2,1766818556989
0,3.3,1766818557150
0,3.3,1766818557298
0,3.3,1766818557440
0,3.3,1766818557621
0,3.4,1766818557766
0,3.4,1766818557933
0,3.4,1766818558095
0,3.5,1766818558250
0,3.5,1766818558395
0,3.5,1766818558533
0,3.5,1766818558668
0,3.6,1766818558825
0,3.6,1766818558971
0,3.6,1766818559114
0,3.7,1766818559252
0,3.7,1766818559397
0,3.7,1766818559543
0,3.8,1766818559691
0,3.8,1766818559840
0,3.8,1766818560002
0,3.8,1766818560143
0,3.9,1766818560284
0,3.9,1766818560433
0,3.9,1766818560586
0,4.0,1766818560748
0,4.0,1766818560896
0,4.0,1766818561044
0,4.1,1766818561210
0,4.1,1766818561354
0,4.1,1766818561511
0,4.2,1766818561662
0,4.2,1766818561828
0,4.2,1766818561975
0,4.3,1766818562132
0,4.3,1766818562312
0,4.3,1766818562458
0,4.4,1766818562617
0,4.4,1766818562775
0,4.4,1766818562924
0,4.5,1766818563076
0,4.5,1766818563235
0,4.5,1766818563385
0,4.6,1766818563532
0,4.6,1766818563682
0,4.6,1766818563833
0,4.7,1766818563979
0,4.7,1766818564131
0,4.7,1766818564282
0,4.8,1766818564431
0,4.8,1766818564592
0,4.8,1766818564747
0,4.9,1766818564906
0,4.9,1766818565060
0,4.9,1766818565208
0,5.0,1766818565359
0,5.0,1766818565507
0,5.0,1766818565660
0,5.1,1766818565837
0,5.1,1766818565989
0,5.1,1766818566143
0,5.2,1766818566311
0,5.2,1766818566465
0,5.2,1766818566618
0,5.3,1766818566985
0,5.2,1766818567157
0,4.7,1766818567317
0,3.8,1766818567482
0,3.8,1766818567646
0,3.8,1766818567804
0,2.6,1766818567950
0,2.6,1766818568104
0,2.6,1766818568249
0,2.6,1766818568494
0,2.6,1766818568659
0,2.6,1766818568818
0,2.6,1766818568975
0,2.6,1766818569128
0,2.6,1766818569285
0,2.6,1766818569478
0,2.6,1766818569637
0,2.6,1766818569785
0,2.6,1766818569938
0,2.6,1766818570079
0,2.6,1766818570230
0,2.6,1766818570387
0,2.6,1766818570530
0,2.6,1766818570677
0,2.6,1766818570856
0,2.6,1766818571009
0,2.6,1766818571188
0,2.6,1766818571348
0,2.6,1766818571507
0,2.6,1766818571656
0,2.6,1766818571802
0,2.6,1766818571944
0,2.6,1766818572120
0,2.6,1766818572267
0,2.6,1766818572420
0,2.6,1766818572568
0,2.6,1766818572728
0,2.6,1766818572885
0,2.6,1766818573048
0,2.6,1766818573213
0,2.6,1766818573378
0,2.6,1766818573521
0,2.6,1766818573676
0,2.6,1766818573821
0,2.6,1766818573961
0,2.4,1766818574104
0,2.2,1766818574310
0,2.2,1766818574468
0,2.2,1766818574610
0,2.2,1766818574771
0,2.2,1766818574926
0,2.2,1766818575072
0,2.2,1766818575217
0,2.2,1766818575368
0,2.2,1766818575515
0,2.2,1766818575656
0,2.3,1766818575797
0,2.3,1766818575945
0,2.3,1766818576092
0,2.3,1766818576246
0,2.3,1766818576413
0,2.3,1766818576550
0,2.3,1766818576707
0,2.3,1766818576860
0,2.3,1766818577061
0,2.3,1766818577207
0,2.3,1766818577347
0,2.3,1766818577492
0,2.3,1766818577644
0,2.3,1766818577805
0,2.3,1766818577946
0,2.3,1766818578090
0,2.3,1766818578242
0,2.3,1766818578387
0,2.3,1766818578536
0,2.4,1766818578678
